,,,,,,,,,,,,,,,,,,,,,,,,,,iShares New York Muni Bond ETF
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,186,081.80",0.22,"1,186,081.80","1,000,000.00",64966QFN5,US64966QFN51,-,117.61,United States,-,USD,9.61,2.74,1.0,"Oct 01, 2039",4.0,13.02,-,1.58,6.73,1.58,USD,"Oct 22, 2019","Oct 22, 2019"
PORT AUTH N Y & N J,Transportation,Fixed Income,"1,184,660.53",0.22,"1,184,660.53","1,000,000.00",73358W3M4,US73358W3M42,-,117.13,United States,-,USD,10.43,2.99,1.0,"Sep 01, 2045",4.0,15.51,-,1.61,6.64,1.61,USD,"Aug 16, 2019","Aug 16, 2019"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"1,181,508.58",0.22,"1,181,508.58","1,000,000.00",650036CK0,US650036CK04,-,116.97,United States,-,USD,11.51,3.07,1.0,"Mar 15, 2049",4.0,17.22,-,1.88,7.41,1.88,USD,"Jul 23, 2020","Jul 23, 2020"
PORT AUTH N Y & N J,Transportation,Fixed Income,"1,180,628.69",0.22,"1,180,628.69","1,000,000.00",73358WD92,US73358WD929,-,117.42,United States,-,USD,7.53,3.9,1.0,"Nov 15, 2046",5.0,14.29,-,1.3,4.38,1.3,USD,"Nov 16, 2016","Nov 16, 2016"
NEW YORK ST TWY AUTH ST PERS I,State Tax-Backed,Fixed Income,"1,180,628.60",0.22,"1,180,628.60","1,000,000.00",650028XV0,US650028XV06,-,116.36,United States,-,USD,12.24,3.24,1.0,"Mar 15, 2059",4.0,20.32,-,2.04,7.72,2.04,USD,"Jul 28, 2021","Jul 28, 2021"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,180,346.43",0.22,"1,180,346.43","1,000,000.00",64971WM64,US64971WM640,-,117.2,United States,-,USD,6.46,3.7,1.0,"May 01, 2040",5.0,11.98,-,0.94,3.94,0.94,USD,"Jul 28, 2016","Jul 28, 2016"
MONROE CNTY N Y INDL DEV CORP,Education,Fixed Income,"1,179,930.10",0.22,"1,179,930.10","1,000,000.00",61075TUV8,US61075TUV87,-,115.99,United States,-,USD,11.42,3.15,1.0,"Jul 01, 2050",4.0,17.53,-,1.95,7.2,1.95,USD,"Aug 05, 2020","Aug 05, 2020"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"1,177,420.00",0.22,"1,177,420.00","1,000,000.00",64990GXY3,US64990GXY33,-,115.74,United States,-,USD,10.24,3.08,1.0,"Jul 01, 2046",4.0,15.19,-,1.75,6.47,1.75,USD,"Jan 29, 2020","Jan 29, 2020"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"1,176,439.32",0.22,"1,176,439.32","1,000,000.00",64986DAW5,US64986DAW56,-,117.42,United States,-,USD,6.67,3.73,1.0,"Jun 15, 2041",5.0,12.12,-,0.99,4.06,0.99,USD,"Jun 29, 2016","Jun 29, 2016"
PORT AUTH N Y & N J,Transportation,Fixed Income,"1,176,175.99",0.22,"1,176,175.99","1,000,000.00",73358WM35,US73358WM359,-,116.98,United States,-,USD,3.57,0.56,1.0,"Nov 15, 2025",5.0,3.57,-,0.56,3.57,0.56,USD,"Aug 17, 2017","Aug 17, 2017"
TRIBOROUGH BRIDGE & TUNNEL AUTH RE,Transportation,Fixed Income,"1,175,757.29",0.21,"1,175,757.29","1,000,000.00",89602RCC7,US89602RCC79,-,116.94,United States,-,USD,3.57,0.57,1.0,"Nov 15, 2025",5.0,3.57,-,0.57,3.57,0.57,USD,"Nov 17, 2017","Nov 17, 2017"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,175,458.37",0.21,"1,175,458.37","1,000,000.00",64971XLL0,US64971XLL00,-,116.88,United States,-,USD,9.96,2.93,1.0,"May 01, 2043",4.0,14.82,-,1.56,6.42,1.56,USD,"Aug 15, 2019","Aug 15, 2019"
NEW YORK ST PWR AUTH REV,Utility,Fixed Income,"1,173,560.51",0.21,"1,173,560.51","1,000,000.00",64989KLF1,US64989KLF11,-,116.84,United States,-,USD,11.67,3.18,1.0,"Nov 15, 2055",4.0,18.98,-,1.82,7.21,1.82,USD,"May 12, 2020","May 12, 2020"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,173,184.42",0.21,"1,173,184.42","1,000,000.00",64990EW52,US64990EW522,-,115.85,United States,-,USD,4.67,3.02,1.0,"Mar 15, 2031",5.0,7.43,-,0.66,3.4,0.66,USD,"Sep 11, 2015","Sep 11, 2015"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,171,567.63",0.21,"1,171,567.63","1,000,000.00",64971WWN6,US64971WWN63,-,115.07,United States,-,USD,5.52,3.66,1.0,"Aug 01, 2036",5.0,10.45,-,0.73,3.27,0.73,USD,"Sep 29, 2015","Sep 29, 2015"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"1,171,111.58",0.21,"1,171,111.58","1,000,000.00",64972GXG4,US64972GXG45,-,116.93,United States,-,USD,11.52,3.1,1.0,"Jun 15, 2050",4.0,17.84,-,1.83,7.29,1.83,USD,"Jun 10, 2020","Jun 10, 2020"
PORT AUTH N Y & N J,Transportation,Fixed Income,"1,170,967.26",0.21,"1,170,967.26","1,000,000.00",73358WZA5,US73358WZA51,-,116.04,United States,-,USD,4.5,2.7,1.0,"Oct 15, 2029",5.0,6.51,-,0.7,3.48,0.7,USD,"Oct 20, 2015","Oct 20, 2015"
NEW YORK ST TWY AUTH GEN REV J,Transportation,Fixed Income,"1,168,034.40",0.21,"1,168,034.40","1,000,000.00",650010CK5,US650010CK53,-,114.8,United States,-,USD,10.91,3.2,1.0,"Jan 01, 2050",4.0,16.65,-,1.99,6.83,1.99,USD,"Oct 30, 2019","Oct 30, 2019"
PORT AUTH N Y & N J,Transportation,Fixed Income,"1,167,718.66",0.21,"1,167,718.66","1,000,000.00",73358WZF4,US73358WZF49,-,115.72,United States,-,USD,5.49,3.47,1.0,"Oct 15, 2034",5.0,9.6,-,0.78,3.48,0.78,USD,"Oct 20, 2015","Oct 20, 2015"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,166,337.43",0.21,"1,166,337.43","1,000,000.00",64966QAZ3,US64966QAZ37,-,116.3,United States,-,USD,9.51,2.92,1.0,"Dec 01, 2041",4.0,14.16,-,1.51,6.12,1.51,USD,"Dec 18, 2018","Dec 18, 2018"
LONG ISLAND PWR AUTH N Y ELEC,Utility,Fixed Income,"1,161,698.91",0.21,"1,161,698.91","965,000.00",5426908D7,US5426908D73,-,118.72,United States,-,USD,5.25,2.58,1.0,"Sep 01, 2030",5.0,7.1,-,0.9,4.19,0.9,USD,"Oct 26, 2016","Oct 26, 2016"
NEW YORK ST,State Tax-Backed,Fixed Income,"1,160,336.99",0.21,"1,160,336.99","1,000,000.00",649791MX5,US649791MX53,-,114.14,United States,-,USD,2.9,0.43,1.0,"Feb 15, 2025",5.0,2.89,-,0.43,2.89,0.43,USD,"Mar 15, 2018","Mar 15, 2018"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,158,752.09",0.21,"1,158,752.09","1,000,000.00",59261AME4,US59261AME46,-,115.24,United States,-,USD,8.54,4.11,1.0,"Nov 15, 2051",5.0,16.08,-,1.99,4.75,1.99,USD,"Mar 16, 2017","Mar 16, 2017"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,152,672.49",0.21,"1,152,672.49","1,000,000.00",64990FTP9,US64990FTP98,-,113.38,United States,-,USD,4.18,3.29,1.0,"Feb 15, 2031",5.0,7.31,-,0.66,2.89,0.66,USD,"Jun 19, 2015","Jun 19, 2015"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,152,099.52",0.21,"1,152,099.52","1,000,000.00",64990EYL5,US64990EYL54,-,113.74,United States,-,USD,4.26,3.26,1.0,"Mar 15, 2031",5.0,7.4,-,0.66,2.97,0.66,USD,"Jan 14, 2015","Jan 14, 2015"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,140,705.51",0.21,"1,140,705.51","1,000,000.00",59261AH91,US59261AH912,-,113.56,United States,-,USD,11.84,3.27,1.0,"Nov 15, 2050",4.0,17.76,-,2.3,7.53,2.3,USD,"Sep 18, 2020","Sep 18, 2020"
NASSAU CNTY N Y INTERIM FIN AU,Local Tax-Backed,Fixed Income,"1,137,907.09",0.21,"1,137,907.09","1,000,000.00",631663PP0,US631663PP04,-,113.15,United States,-,USD,2.71,0.39,1.0,"Nov 15, 2024",5.0,2.7,-,0.39,2.7,0.39,USD,"Oct 22, 2015","Oct 22, 2015"
WESTCHESTER CNTY N Y,Local Tax-Backed,Fixed Income,"1,137,605.97",0.21,"1,137,605.97","1,000,000.00",95736U4Q4,US95736U4Q42,-,113.34,United States,-,USD,2.75,0.39,1.0,"Dec 01, 2024",5.0,2.75,-,0.39,2.75,0.39,USD,"Dec 10, 2018","Dec 10, 2018"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,135,720.93",0.21,"1,135,720.93","1,000,000.00",64966LMC2,US64966LMC27,-,111.49,United States,-,USD,3.19,3.06,1.0,"Aug 01, 2028",5.0,5.56,-,0.52,2.41,0.52,USD,"Jun 23, 2014","Jun 23, 2014"
NASSAU CNTY N Y FOR ISSUES DTD,Local Tax-Backed,Fixed Income,"1,133,774.00",0.21,"1,133,774.00","1,000,000.00",63165TRF4,US63165TRF48,-,112.13,United States,-,USD,2.58,0.55,1.0,"Oct 01, 2024",5.0,2.58,-,0.55,2.58,0.55,USD,"Feb 09, 2016","Feb 09, 2016"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,132,143.01",0.21,"1,132,143.01","1,000,000.00",59261AE37,US59261AE372,-,112.7,United States,-,USD,11.7,3.34,1.0,"Nov 15, 2052",4.0,18.39,-,2.32,7.16,2.32,USD,"Jan 16, 2020","Jan 16, 2020"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,129,968.37",0.21,"1,129,968.37","920,000.00",64990FVZ4,US64990FVZ43,-,120.93,United States,-,USD,5.11,1.85,1.0,"Feb 15, 2029",5.0,6.04,-,0.82,4.55,0.82,USD,"Jul 13, 2017","Jul 13, 2017"
NEW YORK ST DORM AUTH REVS NON,Prerefund/Escrow,Fixed Income,"1,123,343.22",0.21,"1,123,343.22","1,025,000.00",649907WP3,US649907WP37,-,107.09,United States,-,USD,1.43,0.26,1.0,"Jul 01, 2023",5.0,1.43,-,0.26,1.43,0.26,USD,"Oct 08, 2013","Oct 08, 2013"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,117,598.59",0.2,"1,117,598.59","1,000,000.00",64990EVJ3,US64990EVJ36,-,109.87,United States,-,USD,2.01,0.33,1.0,"Feb 15, 2024",5.0,2.01,-,0.33,2.01,0.33,USD,"Dec 30, 2014","Dec 30, 2014"
SUFFOLK CNTY N Y WTR AUTH WTRW,Utility,Fixed Income,"1,115,946.43",0.2,"1,115,946.43","1,000,000.00",864784EW9,US864784EW90,-,111.26,United States,-,USD,4.91,2.64,1.0,"Jun 01, 2031",4.0,7.9,-,0.66,3.22,0.66,USD,"Nov 17, 2015","Nov 17, 2015"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,114,054.86",0.2,"1,114,054.86","985,000.00",64971WS50,US64971WS506,-,111.44,United States,-,USD,7.37,3.15,1.0,"Aug 01, 2039",4.0,12.69,-,1.41,4.16,1.41,USD,"Sep 22, 2016","Sep 22, 2016"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"1,113,274.72",0.2,"1,113,274.72","1,000,000.00",64972GEZ3,US64972GEZ37,-,111.11,United States,-,USD,3.34,3.31,1.0,"Jun 15, 2029",5.0,6.27,-,0.45,2.34,0.45,USD,"Sep 24, 2014","Sep 24, 2014"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"1,103,979.92",0.2,"1,103,979.92","1,000,000.00",64972GDJ0,US64972GDJ04,-,110.18,United States,-,USD,5.17,4.34,1.0,"Jun 15, 2047",5.0,14.85,-,0.81,2.33,0.81,USD,"Feb 06, 2014","Feb 06, 2014"
TRIBOROUGH BRDG & TUNL AUTH N,Local Tax-Backed,Fixed Income,"1,100,074.39",0.2,"1,100,074.39","925,000.00",89602HAA5,US89602HAA59,-,118.42,United States,-,USD,11.61,2.94,1.0,"May 15, 2046",4.0,16.1,-,1.85,7.94,1.85,USD,"May 05, 2021","May 05, 2021"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,095,233.73",0.2,"1,095,233.73","1,000,000.00",64966LMR9,US64966LMR95,-,107.44,United States,-,USD,1.51,0.29,1.0,"Aug 01, 2023",5.0,1.51,-,0.29,1.51,0.29,USD,"Jun 23, 2014","Jun 23, 2014"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,094,091.47",0.2,"1,094,091.47","900,000.00",64966QXT2,US64966QXT20,-,120.18,United States,-,USD,10.71,2.62,1.0,"Aug 01, 2040",4.0,13.48,-,1.71,8.05,1.71,USD,"Aug 26, 2021","Aug 26, 2021"
UTILITY DEBT SECURITIZATION AU,Utility,Fixed Income,"1,089,536.12",0.2,"1,089,536.12","1,000,000.00",91802RAP4,US91802RAP47,-,108.73,United States,-,USD,3.82,4.17,1.0,"Dec 15, 2035",5.0,10.15,-,0.51,1.88,0.51,USD,"Dec 18, 2013","Dec 18, 2013"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,083,933.77",0.2,"1,083,933.77","940,000.00",64971WTX8,US64971WTX82,-,113.23,United States,-,USD,4.86,3.71,1.0,"Feb 01, 2035",5.0,9.63,-,0.66,2.85,0.66,USD,"Apr 23, 2015","Apr 23, 2015"
ONONDAGA CNTY N Y WTR AUTH WTR,Utility,Fixed Income,"1,083,495.93",0.2,"1,083,495.93","1,000,000.00",682760JQ7,US682760JQ71,-,107.47,United States,-,USD,11.1,2.56,1.0,"Sep 15, 2044",3.0,15.48,-,1.95,6.85,1.95,USD,"Nov 21, 2019","Nov 21, 2019"
UTILITY DEBT SECURITIZATION AU,Utility,Fixed Income,"1,080,640.37",0.2,"1,080,640.37","995,000.00",91802RAQ2,US91802RAQ20,-,108.38,United States,-,USD,4.28,4.37,1.0,"Dec 15, 2041",5.0,12.85,-,0.68,1.88,0.68,USD,"Dec 18, 2013","Dec 18, 2013"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,079,550.01",0.2,"1,079,550.01","950,000.00",64971WT91,US64971WT918,-,112.8,United States,-,USD,2.67,0.45,1.0,"Nov 01, 2024",5.0,2.66,-,0.45,2.66,0.45,USD,"Mar 22, 2017","Mar 22, 2017"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,075,307.33",0.2,"1,075,307.33","1,050,000.00",64990EFF9,US64990EFF97,-,100.94,United States,-,USD,0.46,4.87,1.0,"Mar 15, 2031",5.0,7.22,-,0.43,0.21,0.43,USD,"Jul 26, 2012","Jul 26, 2012"
NEW YORK ST,State Tax-Backed,Fixed Income,"1,072,389.17",0.2,"1,072,389.17","1,000,000.00",649791PD6,US649791PD62,-,105.57,United States,-,USD,1.13,0.21,1.0,"Mar 01, 2023",5.0,1.13,-,0.21,1.13,0.21,USD,"Mar 21, 2019","Mar 21, 2019"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"1,072,002.52",0.2,"1,072,002.52","1,000,000.00",650035E38,US650035E388,-,105.73,United States,-,USD,1.32,2.26,1.0,"Mar 15, 2024",5.0,2.13,-,0.24,1.24,0.24,USD,"Sep 26, 2013","Sep 26, 2013"
MTA HUDSON RAIL YARDS TR OBLIG,Other Industries,Fixed Income,"1,069,152.19",0.2,"1,069,152.19","1,000,000.00",62476RAC9,US62476RAC97,-,106.28,United States,-,USD,5.06,4.63,1.0,"Nov 15, 2056",5.0,16.86,-,1.58,1.79,1.58,USD,"Sep 22, 2016","Sep 22, 2016"
WESTCHESTER CNTY N Y,Local Tax-Backed,Fixed Income,"1,060,875.00",0.19,"1,060,875.00","1,035,000.00",95736UT20,US95736UT201,-,100.0,United States,-,USD,0.01,0.0,1.0,"Jan 01, 2022",5.0,0.0,-,0.0,0.0,0.0,USD,"Apr 19, 2016","Apr 19, 2016"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"1,058,206.26",0.19,"1,058,206.26","900,000.00",64971WYC8,US64971WYC80,-,116.75,United States,-,USD,3.76,1.4,1.0,"Nov 01, 2026",5.0,4.34,-,0.58,3.53,0.58,USD,"Nov 05, 2015","Nov 05, 2015"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,048,029.83",0.19,"1,048,029.83","1,000,000.00",64966JL20,US64966JL201,-,102.72,United States,-,USD,0.58,3.22,1.0,"Aug 01, 2023",5.0,1.49,-,0.33,0.57,0.33,USD,"Jun 07, 2012","Jun 07, 2012"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"1,048,034.02",0.19,"1,048,034.02","1,000,000.00",64990ECG0,US64990ECG08,-,104.58,United States,-,USD,1.15,3.74,1.0,"Dec 15, 2025",5.0,3.57,-,0.2,0.94,0.2,USD,"Jun 28, 2012","Jun 28, 2012"
BATTERY PK CITY AUTH N Y REV,Local Tax-Backed,Fixed Income,"1,045,614.63",0.19,"1,045,614.63","955,000.00",07133AGM8,US07133AGM80,-,108.66,United States,-,USD,1.88,1.85,1.0,"Nov 01, 2024",5.0,2.64,-,0.26,1.76,0.26,USD,"Oct 23, 2013","Oct 23, 2013"
LONG IS PWR AUTH N Y ELEC SYS,Utility,Fixed Income,"1,036,497.70",0.19,"1,036,497.70","910,000.00",542691AD2,US542691AD26,-,112.23,United States,-,USD,2.51,0.38,1.0,"Sep 01, 2024",5.0,2.5,-,0.38,2.5,0.38,USD,"Dec 14, 2017","Dec 14, 2017"
NEW YORK ST TWY AUTH GEN REV,Prerefund/Escrow,Fixed Income,"1,025,000.00",0.19,"1,025,000.00","1,000,000.00",650009ZB2,US650009ZB27,-,100.0,United States,-,USD,0.02,0.0,1.0,"Jan 01, 2022",5.0,0.0,-,0.0,0.0,0.0,USD,"Jul 11, 2012","Jul 11, 2012"
ROCKLAND CNTY N Y,Local Tax-Backed,Fixed Income,"1,024,378.17",0.19,"1,024,378.17","1,000,000.00",77355PQX4,US77355PQX41,-,100.77,United States,-,USD,0.16,0.36,1.0,"Mar 01, 2022",5.0,0.17,-,0.36,0.17,0.36,USD,"Mar 13, 2014","Mar 13, 2014"
NEW YORK N Y,Prerefund/Escrow,Fixed Income,"1,024,286.40",0.19,"1,024,286.40","1,000,000.00",64966JE36,US64966JE362,-,101.18,United States,-,USD,0.25,0.28,1.0,"Apr 01, 2022",5.0,0.25,-,0.28,0.25,0.28,USD,"Apr 05, 2012","Apr 05, 2012"
NEW YORK ST,State Tax-Backed,Fixed Income,"1,024,260.36",0.19,"1,024,260.36","1,000,000.00",649791JE1,US649791JE10,-,101.37,United States,-,USD,0.29,0.25,1.0,"Apr 15, 2022",5.0,0.29,-,0.25,0.29,0.25,USD,"Mar 19, 2013","Mar 19, 2013"
NEW YORK ST DORM AUTH REVS ST,State Tax-Backed,Fixed Income,"1,023,917.99",0.19,"1,023,917.99","1,000,000.00",64990HMT4,US64990HMT40,-,101.75,United States,-,USD,0.7,4.74,1.0,"May 15, 2030",5.0,6.75,-,0.28,0.37,0.28,USD,"Feb 23, 2012","Feb 23, 2012"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"1,023,788.42",0.19,"1,023,788.42","1,000,000.00",64972F7G5,US64972F7G57,-,102.16,United States,-,USD,1.13,4.75,1.0,"Jun 15, 2033",5.0,8.67,-,0.26,0.45,0.26,USD,"Jun 28, 2012","Jun 28, 2012"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"1,018,188.66",0.19,"1,018,188.66","835,000.00",64986DDZ5,US64986DDZ50,-,121.72,United States,-,USD,7.9,3.65,1.0,"Jun 15, 2046",5.0,14.54,-,0.91,4.88,0.91,USD,"Apr 13, 2017","Apr 13, 2017"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,014,075.63",0.19,"1,014,075.63","800,000.00",64966QCV0,US64966QCV05,-,124.68,United States,-,USD,9.02,3.28,1.0,"Aug 01, 2041",5.0,13.06,-,1.54,6.39,1.54,USD,"Aug 13, 2019","Aug 13, 2019"
NEW YORK ST TWY AUTH GEN REV,Transportation,Fixed Income,"1,007,168.18",0.18,"1,007,168.18","810,000.00",650009Q48,US650009Q486,-,121.84,United States,-,USD,6.99,2.96,1.0,"Jan 01, 2035",5.0,9.72,-,1.21,5.2,1.21,USD,"Mar 08, 2018","Mar 08, 2018"
NEW YORK CITY NY TRANSITIONAL FIN,Local Tax-Backed,Fixed Income,"1,005,354.81",0.18,"1,005,354.81","885,000.00",64971WMZ0,US64971WMZ04,-,111.52,United States,-,USD,3.78,3.68,1.0,"Aug 01, 2032",5.0,8.18,-,0.51,2.41,0.51,USD,"Nov 13, 2014","Nov 13, 2014"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"999,588.14",0.18,"999,588.14","900,000.00",59259Y3A5,US59259Y3A57,-,110.43,United States,-,USD,5.2,4.17,1.0,"Nov 15, 2039",5.0,11.58,-,1.29,2.69,1.29,USD,"Nov 04, 2014","Nov 04, 2014"
WESTCHESTER CNTY N Y,Local Tax-Backed,Fixed Income,"966,001.23",0.18,"966,001.23","900,000.00",95736UT38,US95736UT383,-,104.83,United States,-,USD,0.97,0.16,1.0,"Jan 01, 2023",5.0,0.97,-,0.16,0.97,0.16,USD,"Apr 19, 2016","Apr 19, 2016"
NEW YORK ST PWR AUTH REV,Utility,Fixed Income,"934,802.81",0.17,"934,802.81","800,000.00",64989KLH7,US64989KLH76,-,116.34,United States,-,USD,11.87,3.26,1.0,"Nov 15, 2060",4.0,20.44,-,1.88,7.2,1.88,USD,"May 12, 2020","May 12, 2020"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"933,860.02",0.17,"933,860.02","690,000.00",64972GWQ3,US64972GWQ36,-,135.12,United States,-,USD,7.87,1.08,1.0,"Jun 15, 2031",5.0,7.89,-,1.08,7.89,1.08,USD,"Mar 18, 2020","Mar 18, 2020"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"931,698.24",0.17,"931,698.24","805,000.00",64972GVU5,US64972GVU56,-,115.52,United States,-,USD,3.22,0.47,1.0,"Jun 15, 2025",5.0,3.22,-,0.47,3.22,0.47,USD,"Dec 12, 2019","Dec 12, 2019"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"930,752.41",0.17,"930,752.41","725,000.00",64990FJG0,US64990FJG00,-,126.83,United States,-,USD,7.98,3.21,1.0,"Mar 15, 2039",5.25,11.9,-,1.09,5.77,1.09,USD,"Dec 21, 2018","Dec 21, 2018"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"930,452.84",0.17,"930,452.84","750,000.00",64990FFY5,US64990FFY51,-,122.17,United States,-,USD,5.89,2.29,1.0,"Feb 15, 2031",5.0,7.42,-,0.94,4.94,0.94,USD,"Oct 13, 2017","Oct 13, 2017"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"928,828.73",0.17,"928,828.73","890,000.00",59259YRD3,US59259YRD30,-,103.72,United States,-,USD,1.65,4.49,1.0,"Nov 15, 2030",5.0,7.1,-,0.71,0.86,0.71,USD,"Aug 20, 2012","Aug 20, 2012"
DUTCHESS CNTY N Y LOC DEV CORP,Education,Fixed Income,"926,038.12",0.17,"926,038.12","750,000.00",267045JX1,US267045JX12,-,120.97,United States,-,USD,7.56,3.55,1.0,"Jul 01, 2042",5.0,12.48,-,1.06,4.82,1.06,USD,"Apr 25, 2017","Apr 25, 2017"
NEW YORK ST TWY AUTH ST PERS I,State Tax-Backed,Fixed Income,"919,945.69",0.17,"919,945.69","775,000.00",650028XN8,US650028XN89,-,117.0,United States,-,USD,11.93,3.13,1.0,"Mar 15, 2052",4.0,18.23,-,1.97,7.73,1.97,USD,"Jul 28, 2021","Jul 28, 2021"
NEW YORK CITY NY TRANSITIONALFIN A,Local Tax-Backed,Fixed Income,"918,943.35",0.17,"918,943.35","765,000.00",64971WS68,US64971WS688,-,118.04,United States,-,USD,6.86,3.65,1.0,"Aug 01, 2040",5.0,12.41,-,0.97,4.1,0.97,USD,"Sep 22, 2016","Sep 22, 2016"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"916,156.20",0.17,"916,156.20","1,000,000.00",59261APF8,US59261APF83,-,91.62,United States,-,USD,5.85,1.5,1.0,"Nov 15, 2027",0.0,5.79,-,1.5,5.79,1.5,USD,"Dec 14, 2017","Dec 14, 2017"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"911,316.78",0.17,"911,316.78","755,000.00",59261AMJ3,US59261AMJ33,-,120.07,United States,-,USD,4.95,1.43,1.0,"Nov 15, 2027",5.0,5.17,-,1.14,4.79,1.14,USD,"Mar 16, 2017","Mar 16, 2017"
NEW YORK ST,State Tax-Backed,Fixed Income,"904,814.12",0.17,"904,814.12","810,000.00",649791PE4,US649791PE46,-,110.04,United States,-,USD,2.05,0.35,1.0,"Mar 01, 2024",5.0,2.05,-,0.35,2.05,0.35,USD,"Mar 21, 2019","Mar 21, 2019"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"896,199.59",0.16,"896,199.59","750,000.00",59261ANH6,US59261ANH67,-,118.85,United States,-,USD,4.4,1.02,1.0,"Nov 15, 2026",5.0,4.39,-,1.02,4.39,1.02,USD,"Sep 28, 2017","Sep 28, 2017"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"894,794.20",0.16,"894,794.20","750,000.00",64971WC32,US64971WC328,-,117.22,United States,-,USD,4.46,2.35,1.0,"Feb 01, 2029",5.0,5.97,-,0.71,3.7,0.71,USD,"Feb 26, 2016","Feb 26, 2016"
TRIBOROUGH BRDG & TUNL AUTH N,Local Tax-Backed,Fixed Income,"888,313.54",0.16,"888,313.54","835,000.00",89602HAE7,US89602HAE71,-,106.13,United States,-,USD,5.99,1.0,1.0,"May 15, 2028",2.0,5.98,-,1.0,5.98,1.0,USD,"May 05, 2021","May 05, 2021"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"886,145.28",0.16,"886,145.28","845,000.00",64966J3P9,US64966J3P96,-,102.79,United States,-,USD,0.57,0.22,1.0,"Aug 01, 2022",5.0,0.57,-,0.22,0.57,0.22,USD,"Oct 23, 2012","Oct 23, 2012"
PORT AUTH N Y & N J,Transportation,Fixed Income,"881,839.45",0.16,"881,839.45","750,000.00",73358WX74,US73358WX745,-,116.25,United States,-,USD,9.27,2.98,1.0,"Sep 01, 2043",4.0,13.95,-,1.44,5.87,1.44,USD,"Aug 29, 2018","Aug 29, 2018"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"879,888.32",0.16,"879,888.32","750,000.00",650035Q76,US650035Q762,-,115.85,United States,-,USD,4.25,2.58,1.0,"Mar 15, 2029",5.0,6.07,-,0.66,3.4,0.66,USD,"Dec 17, 2015","Dec 17, 2015"
UTILITY DEBT SECURITIZATION AU,Utility,Fixed Income,"878,560.29",0.16,"878,560.29","750,000.00",91802RBV0,US91802RBV06,BYQ5G75,116.92,United States,-,USD,5.91,3.6,1.0,"Dec 15, 2037",5.0,11.18,-,0.66,3.65,0.66,USD,"Oct 27, 2015","Oct 27, 2015"
