,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Mar 2023 Term Corporate ex-Financials ETF
TRANSCANADA PIPELINES LIMITED,Energy,Fixed Income,"45,912.00",0.15,"45,912.00","45,000.00",893526DM2,US893526DM20,B83D476,100.99,Canada,-,USD,0.58,0.8,1.0,"Aug 01, 2022",2.5,0.57,-,0.8,0.57,0.8,USD,"Aug 02, 2012","Aug 02, 2012"
VIATRIS INC,Consumer Non-Cyclical,Fixed Income,"45,113.45",0.15,"45,113.45","45,000.00",92556VAA4,US92556VAA44,-,100.22,United States,-,USD,0.47,0.65,1.0,"Jun 22, 2022",1.13,0.47,-,0.65,0.47,0.65,USD,"Jun 22, 2021","Oct 28, 2021"
PAYPAL HOLDINGS INC,Technology,Fixed Income,"43,782.41",0.14,"43,782.41","43,000.00",70450YAB9,US70450YAB92,BK71DK6,101.24,United States,-,USD,0.73,0.51,1.0,"Sep 26, 2022",2.2,0.73,-,0.51,0.73,0.51,USD,"Sep 26, 2019","Sep 26, 2019"
ENERGY TRANSFER LP,Energy,Fixed Income,"42,376.30",0.14,"42,376.30","41,000.00",86765BAL3,US86765BAL36,B83F3M0,101.77,United States,-,USD,0.77,1.73,1.0,"Jan 15, 2023",3.45,1.01,-,1.2,0.77,1.2,USD,"Jan 10, 2013","Jan 10, 2013"
EASTMAN CHEMICAL CO,Basic Industry,Fixed Income,"41,971.29",0.14,"41,971.29","41,000.00",277432AN0,US277432AN05,B8FL100,101.01,United States,-,USD,0.37,1.96,1.0,"Aug 15, 2022",3.6,0.61,-,0.88,0.37,0.88,USD,"Jun 05, 2012","Jun 05, 2012"
DOMINION RESOURCES INC/VA,Electric,Fixed Income,"41,714.52",0.14,"41,714.52","41,000.00",25746UBP3,US25746UBP30,B8N2M68,100.93,United States,-,USD,0.45,1.41,1.0,"Sep 15, 2022",2.75,0.69,-,0.7,0.45,0.7,USD,"Sep 13, 2012","Sep 13, 2012"
CENTERPOINT ENERGY HOUSTON ELECTRI,Electric,Fixed Income,"41,623.81",0.14,"41,623.81","41,000.00",15189XAL2,US15189XAL29,B7MGJ30,100.58,United States,-,USD,0.33,1.24,1.0,"Aug 01, 2022",2.25,0.57,-,0.49,0.33,0.49,USD,"Aug 10, 2012","Aug 10, 2012"
PROGRESS ENERGY INC,Electric,Fixed Income,"41,400.78",0.14,"41,400.78","41,000.00",743263AS4,US743263AS47,B77NX90,100.19,United States,-,USD,0.08,2.37,1.0,"Apr 01, 2022",3.15,0.25,-,0.76,0.08,0.76,USD,"Mar 08, 2012","Mar 08, 2012"
CABOT CORPORATION,Basic Industry,Fixed Income,"41,298.84",0.13,"41,298.84","40,000.00",127055AH4,US127055AH48,B8J4PV4,101.54,United States,-,USD,0.53,0.83,1.0,"Jul 15, 2022",3.7,0.53,-,0.83,0.53,0.83,USD,"Jul 12, 2012","Jul 12, 2012"
ENTERGY CORPORATION,Electric,Fixed Income,"41,209.78",0.13,"41,209.78","40,000.00",29364GAH6,US29364GAH65,BYY0L22,101.18,United States,-,USD,0.36,1.79,1.0,"Jul 15, 2022",4.0,0.52,-,0.81,0.36,0.81,USD,"Jul 01, 2015","Jul 01, 2015"
PARKER HANNIFIN CORP MTN,Capital Goods,Fixed Income,"41,187.82",0.13,"41,187.82","40,000.00",70109HAK1,US70109HAK14,B64PMD9,101.94,United States,-,USD,0.7,0.74,1.0,"Sep 15, 2022",3.5,0.69,-,0.74,0.69,0.74,USD,"Sep 10, 2010","Sep 10, 2010"
UNION PACIFIC CORP,Transportation,Fixed Income,"41,183.04",0.13,"41,183.04","40,000.00",907818DK1,US907818DK19,B75C3K0,101.04,United States,-,USD,0.28,2.21,1.0,"Jul 15, 2022",4.16,0.52,-,0.52,0.27,0.52,USD,"Jun 23, 2011","Oct 28, 2011"
MOSAIC CO,Basic Industry,Fixed Income,"40,963.71",0.13,"40,963.71","40,000.00",61945CAF0,US61945CAF05,BD5W7Y4,101.99,United States,-,USD,0.78,0.95,1.0,"Nov 15, 2022",3.25,0.86,-,0.71,0.78,0.71,USD,"Nov 13, 2017","Nov 13, 2017"
AUTODESK INC,Technology,Fixed Income,"40,851.60",0.13,"40,851.60","40,000.00",052769AB2,US052769AB25,B952JG2,101.97,United States,-,USD,0.7,1.52,1.0,"Dec 15, 2022",3.6,0.94,-,0.8,0.7,0.8,USD,"Dec 13, 2012","Dec 13, 2012"
GEORGIA POWER COMPANY,Electric,Fixed Income,"40,517.67",0.13,"40,517.67","40,000.00",373334JX0,US373334JX00,B8BPLQ2,100.93,United States,-,USD,0.37,0.35,1.0,"May 15, 2022",2.85,0.37,-,0.35,0.37,0.35,USD,"May 11, 2012","May 11, 2012"
JOHN DEERE CAPITAL CORP MTN,Capital Goods,Fixed Income,"38,676.73",0.13,"38,676.73","38,000.00",24422ETV1,US24422ETV10,BD72PZ9,101.11,United States,-,USD,0.68,0.53,1.0,"Sep 08, 2022",2.15,0.68,-,0.53,0.68,0.53,USD,"Sep 08, 2017","Sep 08, 2017"
AUTOZONE INC,Consumer Cyclical,Fixed Income,"38,332.92",0.13,"38,332.92","38,000.00",053332AM4,US053332AM44,B828NK8,100.1,United States,-,USD,0.08,3.34,1.0,"Apr 15, 2022",3.7,0.28,-,2.42,0.08,2.42,USD,"Apr 24, 2012","Apr 24, 2012"
ASTRAZENECA PLC,Consumer Non-Cyclical,Fixed Income,"38,300.71",0.12,"38,300.71","38,000.00",046353AQ1,US046353AQ14,BF4SNM7,100.67,United Kingdom,-,USD,0.36,0.88,1.0,"Jun 12, 2022",2.38,0.45,-,0.54,0.37,0.54,USD,"Jun 12, 2017","Jun 12, 2017"
MONDELEZ INTERNATIONAL INC,Consumer Non-Cyclical,Fixed Income,"38,145.73",0.12,"38,145.73","38,000.00",609207AV7,US609207AV77,-,100.07,United States,-,USD,0.5,0.48,1.0,"Jul 01, 2022",0.63,0.5,-,0.48,0.5,0.48,USD,"Jul 02, 2020","Jul 02, 2020"
GENERAL MILLS INC,Consumer Non-Cyclical,Fixed Income,"36,705.80",0.12,"36,705.80","36,000.00",370334CA0,US370334CA00,BF22YJ5,101.39,United States,-,USD,0.69,0.81,1.0,"Oct 12, 2022",2.6,0.77,-,0.6,0.69,0.6,USD,"Oct 12, 2017","Oct 12, 2017"
LOCKHEED MARTIN CORPORATION,Capital Goods,Fixed Income,"36,236.36",0.12,"36,236.36","35,000.00",539830BG3,US539830BG38,BD869B4,102.1,United States,-,USD,0.86,1.06,1.0,"Jan 15, 2023",3.1,1.01,-,0.68,0.85,0.68,USD,"Nov 23, 2015","Nov 23, 2015"
NATIONAL FUEL GAS CO,Energy,Fixed Income,"36,227.10",0.12,"36,227.10","35,000.00",636180BL4,US636180BL49,B9CHSW9,102.26,United States,-,USD,0.9,1.79,1.0,"Mar 01, 2023",3.75,1.13,-,1.27,0.89,1.27,USD,"Feb 15, 2013","Feb 15, 2013"
CATERPILLAR FINANCIAL SERVICES COR MTN,Capital Goods,Fixed Income,"33,679.36",0.11,"33,679.36","33,000.00",14913Q2E8,US14913Q2E80,BD2BDF7,101.83,United States,-,USD,0.9,0.53,1.0,"Nov 29, 2022",2.55,0.9,-,0.53,0.9,0.53,USD,"Nov 29, 2017","Nov 29, 2017"
ROPER INDUSTRIES INC,Capital Goods,Fixed Income,"33,626.11",0.11,"33,626.11","33,000.00",776696AE6,US776696AE65,B91P0Y0,101.5,United States,-,USD,0.62,1.39,1.0,"Nov 15, 2022",3.13,0.86,-,0.7,0.61,0.7,USD,"Nov 21, 2012","Nov 21, 2012"
JABIL CIRCUIT INC,Technology,Fixed Income,"32,248.65",0.11,"32,248.65","31,000.00",466313AG8,US466313AG80,B8Q8Q27,102.64,United States,-,USD,0.69,0.93,1.0,"Sep 15, 2022",4.7,0.69,-,0.93,0.69,0.93,USD,"Aug 03, 2012","Aug 03, 2012"
VMWARE INC,Technology,Fixed Income,"31,734.17",0.1,"31,734.17","31,000.00",928563AB1,US928563AB16,BDT5LB4,101.3,United States,-,USD,0.55,0.9,1.0,"Aug 21, 2022",2.95,0.63,-,0.6,0.55,0.6,USD,"Aug 21, 2017","Aug 21, 2017"
CELANESE US HOLDINGS LLC,Basic Industry,Fixed Income,"31,362.84",0.1,"31,362.84","30,000.00",15089QAD6,US15089QAD60,B7FBKP1,103.18,United States,-,USD,0.85,0.95,1.0,"Nov 15, 2022",4.63,0.85,-,0.95,0.85,0.95,USD,"Nov 13, 2012","Nov 13, 2012"
MOHAWK INDUSTRIES INC,Capital Goods,Fixed Income,"31,217.15",0.1,"31,217.15","30,000.00",608190AJ3,US608190AJ33,B953BY7,102.45,United States,-,USD,0.82,1.56,1.0,"Feb 01, 2023",3.85,1.05,-,0.89,0.81,0.89,USD,"Jan 31, 2013","Jan 31, 2013"
ORACLE CORPORATION,Technology,Fixed Income,"30,829.40",0.1,"30,829.40","30,000.00",68389XBR5,US68389XBR52,BD390Y8,101.77,United States,-,USD,1.03,1.03,1.0,"Feb 15, 2023",2.63,1.1,-,0.91,1.02,0.91,USD,"Nov 09, 2017","Nov 09, 2017"
ALTRIA GROUP INC,Consumer Non-Cyclical,Fixed Income,"30,746.15",0.1,"30,746.15","30,000.00",02209SAN3,US02209SAN36,B8JZ904,101.36,United States,-,USD,0.6,0.59,1.0,"Aug 09, 2022",2.85,0.6,-,0.59,0.6,0.59,USD,"Aug 09, 2012","Aug 09, 2012"
FIDELITY NATIONAL INFORMATION SERV,Technology,Fixed Income,"28,901.11",0.09,"28,901.11","29,000.00",31620MBP0,US31620MBP05,-,99.53,United States,-,USD,1.16,0.78,1.0,"Mar 01, 2023",0.38,1.16,-,0.78,1.16,0.78,USD,"Mar 02, 2021","Mar 02, 2021"
EBAY INC,Consumer Cyclical,Fixed Income,"28,847.23",0.09,"28,847.23","28,000.00",278642AS2,US278642AS20,BD82MT1,101.88,United States,-,USD,0.98,1.0,1.0,"Jan 30, 2023",2.75,1.06,-,0.86,0.98,0.86,USD,"Jun 06, 2017","Jun 06, 2017"
MCCORMICK & COMPANY INCORPORATED,Consumer Non-Cyclical,Fixed Income,"27,579.42",0.09,"27,579.42","27,000.00",579780AL1,US579780AL12,BF53JH8,101.13,United States,-,USD,0.53,0.88,1.0,"Aug 15, 2022",2.7,0.61,-,0.6,0.53,0.6,USD,"Aug 11, 2017","Aug 11, 2017"
STARBUCKS CORPORATION,Consumer Cyclical,Fixed Income,"26,926.21",0.09,"26,926.21","26,000.00",855244AN9,US855244AN97,BG1TXB9,102.53,United States,-,USD,1.07,0.92,1.0,"Mar 01, 2023",3.1,1.14,-,0.75,1.06,0.75,USD,"Feb 28, 2018","Feb 28, 2018"
CONAGRA BRANDS INC,Consumer Non-Cyclical,Fixed Income,"26,846.73",0.09,"26,846.73","26,000.00",205887BR2,US205887BR27,B905G54,101.87,United States,-,USD,0.8,1.43,1.0,"Jan 25, 2023",3.2,1.04,-,0.9,0.8,0.9,USD,"Jan 25, 2013","Jan 25, 2013"
CVS HEALTH CORP,Consumer Non-Cyclical,Fixed Income,"26,786.72",0.09,"26,786.72","26,000.00",126650CQ1,US126650CQ12,BD3JDL6,102.63,United States,-,USD,0.66,1.84,1.0,"Dec 01, 2022",4.75,0.9,-,0.79,0.66,0.79,USD,"Jun 01, 2016","Jun 07, 2016"
ONCOR ELECTRIC DELIVERY CO.,Electric,Fixed Income,"26,593.58",0.09,"26,593.58","25,000.00",68233DAR8,US68233DAR89,2364704,104.04,United States,-,USD,0.65,0.9,1.0,"Sep 01, 2022",7.0,0.65,-,0.9,0.65,0.9,USD,"Aug 30, 2002","Feb 25, 2003"
PACCAR FINANCIAL CORP MTN,Consumer Cyclical,Fixed Income,"25,508.50",0.08,"25,508.50","25,000.00",69371RQ41,US69371RQ417,BG0TV27,101.27,United States,-,USD,1.09,0.73,1.0,"Feb 07, 2023",1.9,1.08,-,0.73,1.08,0.73,USD,"Nov 07, 2019","Nov 07, 2019"
ABBVIE INC,Consumer Non-Cyclical,Fixed Income,"25,419.39",0.08,"25,419.39","25,000.00",00287YBM0,US00287YBM03,BK76XL2,101.42,United States,-,USD,0.88,0.69,1.0,"Nov 21, 2022",2.3,0.88,-,0.69,0.88,0.69,USD,"May 21, 2020","Nov 19, 2020"
CINTAS CORPORATION NO 2,Industrial Other,Fixed Income,"25,268.25",0.08,"25,268.25","25,000.00",17252MAM2,US17252MAM29,-,100.35,United States,-,USD,0.16,1.49,1.0,"Apr 01, 2022",2.9,0.25,-,0.79,0.17,0.79,USD,"Mar 14, 2017","Mar 14, 2017"
TOYOTA MOTOR CREDIT CORP MTN,Consumer Cyclical,Fixed Income,"24,845.04",0.08,"24,845.04","24,000.00",89236TGW9,US89236TGW99,-,102.8,United States,-,USD,1.22,0.65,1.0,"Mar 30, 2023",2.9,1.23,-,0.65,1.23,0.65,USD,"Apr 01, 2020","Apr 01, 2020"
KINDER MORGAN ENERGY PARTNERS LP,Energy,Fixed Income,"23,611.95",0.08,"23,611.95","23,000.00",494550BL9,US494550BL94,B76YC20,101.34,United States,-,USD,0.41,1.91,1.0,"Sep 01, 2022",3.95,0.65,-,0.71,0.41,0.71,USD,"Mar 14, 2012","Mar 14, 2012"
ITC HOLDINGS CORP,Electric,Fixed Income,"23,432.63",0.08,"23,432.63","23,000.00",465685AM7,US465685AM76,BFMQXT0,101.54,United States,-,USD,0.78,0.93,1.0,"Nov 15, 2022",2.7,0.86,-,0.74,0.78,0.74,USD,"May 15, 2018","Jun 18, 2018"
APPLE INC,Technology,Fixed Income,"23,330.38",0.08,"23,330.38","23,000.00",037833DL1,US037833DL15,-,100.92,United States,-,USD,0.69,0.38,1.0,"Sep 11, 2022",1.7,0.69,-,0.38,0.69,0.38,USD,"Sep 11, 2019","Sep 11, 2019"
CONSTELLATION BRANDS INC,Consumer Non-Cyclical,Fixed Income,"22,781.64",0.07,"22,781.64","22,000.00",21036PAX6,US21036PAX69,BF42Z78,102.34,United States,-,USD,1.02,1.09,1.0,"Feb 15, 2023",3.2,1.09,-,0.93,1.01,0.93,USD,"Feb 07, 2018","Feb 07, 2018"
BRISTOL-MYERS SQUIBB CO,Consumer Non-Cyclical,Fixed Income,"22,696.28",0.07,"22,696.28","22,000.00",110122CY2,US110122CY24,-,102.13,United States,-,USD,1.02,0.84,1.0,"Feb 15, 2023",2.75,1.1,-,0.69,1.02,0.69,USD,"Feb 15, 2020","Jul 17, 2020"
CAMPBELL SOUP COMPANY,Consumer Non-Cyclical,Fixed Income,"21,867.87",0.07,"21,867.87","21,000.00",134429BE8,US134429BE86,BG1XJ13,103.06,United States,-,USD,1.1,1.09,1.0,"Mar 15, 2023",3.65,1.17,-,0.9,1.09,0.9,USD,"Mar 16, 2018","Mar 16, 2018"
APPLE INC,Technology,Fixed Income,"21,354.45",0.07,"21,354.45","21,000.00",037833DC1,US037833DC16,BF93V67,101.05,United States,-,USD,0.61,0.59,1.0,"Sep 12, 2022",2.1,0.69,-,0.38,0.6,0.38,USD,"Sep 12, 2017","Sep 12, 2017"
CHEVRON USA INC,Energy,Fixed Income,"21,013.35",0.07,"21,013.35","21,000.00",166756AF3,US166756AF32,-,99.94,United States,-,USD,0.61,0.44,1.0,"Aug 12, 2022",0.33,0.61,-,0.44,0.61,0.44,USD,"Aug 12, 2020","Aug 12, 2020"
ILLUMINA INC,Consumer Non-Cyclical,Fixed Income,"20,926.86",0.07,"20,926.86","21,000.00",452327AL3,US452327AL38,-,99.5,United States,-,USD,1.22,0.96,1.0,"Mar 23, 2023",0.55,1.22,-,0.96,1.22,0.96,USD,"Mar 23, 2021","Mar 23, 2021"
WALGREEN CO,Consumer Cyclical,Fixed Income,"20,520.76",0.07,"20,520.76","20,000.00",931422AH2,US931422AH23,B8QB7D4,101.69,United States,-,USD,0.7,0.69,1.0,"Sep 15, 2022",3.1,0.7,-,0.69,0.7,0.69,USD,"Sep 13, 2012","Sep 13, 2012"
UNITED PARCEL SERVICE INC,Transportation,Fixed Income,"20,173.55",0.07,"20,173.55","20,000.00",911312BC9,US911312BC97,BYPBSZ6,100.57,United States,-,USD,0.29,0.81,1.0,"May 16, 2022",2.35,0.37,-,0.38,0.29,0.38,USD,"May 16, 2017","May 16, 2017"
ENBRIDGE INC,Energy,Fixed Income,"17,402.94",0.06,"17,402.94","17,000.00",29250NAQ8,US29250NAQ88,BF5CKV6,101.03,Canada,-,USD,0.45,0.97,1.0,"Jul 15, 2022",2.9,0.53,-,0.63,0.44,0.63,USD,"Jul 07, 2017","Jul 07, 2017"
DH EUROPE FINANCE II SARL,Consumer Non-Cyclical,Fixed Income,"17,246.32",0.06,"17,246.32","17,000.00",23291KAF2,US23291KAF21,BG0WNC0,101.19,United States,-,USD,0.87,0.68,1.0,"Nov 15, 2022",2.05,0.86,-,0.68,0.86,0.68,USD,"Nov 07, 2019","Nov 07, 2019"
KINDER MORGAN INC,Energy,Fixed Income,"15,556.27",0.05,"15,556.27","15,000.00",49456BAM3,US49456BAM37,BZ5ZRP8,102.26,United States,-,USD,0.94,0.96,1.0,"Jan 15, 2023",3.15,1.01,-,0.78,0.93,0.78,USD,"Aug 10, 2017","Aug 10, 2017"
EQUIFAX INC.,Technology,Fixed Income,"15,288.10",0.05,"15,288.10","15,000.00",294429AJ4,US294429AJ43,B950FT1,101.77,United States,-,USD,0.7,1.42,1.0,"Dec 15, 2022",3.3,0.94,-,0.77,0.7,0.77,USD,"Dec 17, 2012","Dec 17, 2012"
DISCOVERY COMMUNICATIONS LLC,Communications,Fixed Income,"14,436.61",0.05,"14,436.61","14,000.00",25470DAQ2,US25470DAQ25,BDGS6K0,102.29,United States,-,USD,1.12,1.05,1.0,"Mar 20, 2023",2.95,1.19,-,0.92,1.11,0.92,USD,"Sep 21, 2017","Sep 21, 2017"
DTE ENERGY COMPANY,Electric,Fixed Income,"13,211.64",0.04,"13,211.64","13,000.00",233331BE6,US233331BE67,-,101.25,United States,-,USD,0.83,0.74,1.0,"Nov 01, 2022",2.25,0.82,-,0.74,0.82,0.74,USD,"Nov 05, 2019","Nov 05, 2019"
REGENCY ENERGY PARTNERS LP/REGENCY,Energy,Fixed Income,"12,390.12",0.04,"12,390.12","12,000.00",75886AAQ1,US75886AAQ13,BPC1VJ1,102.0,United States,-,USD,0.49,2.29,1.0,"Oct 01, 2022",5.0,0.73,-,0.98,0.49,0.98,USD,"Jul 25, 2014","Jul 25, 2014"
USD CASH,Cash and/or Derivatives,Cash,"9,857.36",0.03,"9,857.36","9,857.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
BLOCK FINANCIAL LLC,Consumer Cyclical,Fixed Income,"8,186.61",0.03,"8,186.61","8,000.00",093662AE4,US093662AE40,B8Q8RM4,101.42,United States,-,USD,0.33,3.75,1.0,"Nov 01, 2022",5.5,0.8,-,1.22,0.33,1.22,USD,"Oct 25, 2012","Oct 25, 2012"
