,,,,,,,,,,,,,,,,,,,,,,,,,,iShares Short-Term National Muni Bond ETF
VIRGINIA ST PUB SCH AUTH SCH F,School Districts,Fixed Income,"2,220,715.74",0.03,"2,220,715.74","1,885,000.00",92818HBH3,US92818HBH30,-,115.73,United States,-,USD,3.28,0.56,1.0,"Aug 01, 2025",5.0,3.28,-,0.56,3.28,0.56,USD,"Feb 17, 2015","Feb 17, 2015"
SAN ANTONIO TEX ELEC & GAS REV,Utility,Fixed Income,"2,207,841.75",0.03,"2,207,841.75","2,155,000.00",79625GCX9,US79625GCX97,-,100.37,United States,-,USD,0.09,0.56,1.0,"Feb 01, 2022",5.0,0.08,-,0.56,0.08,0.56,USD,"Jul 28, 2016","Jul 01, 2016"
COLORADO ST BRD GOVERNORS UNIV,Prerefund/Escrow,Fixed Income,"2,203,265.10",0.03,"2,203,265.10","2,055,000.00",196707RA3,US196707RA35,-,105.55,United States,-,USD,1.13,0.23,1.0,"Mar 01, 2023",5.0,1.13,-,0.23,1.13,0.23,USD,"Dec 31, 2013","Dec 31, 2013"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"2,201,419.80",0.03,"2,201,419.80","2,010,000.00",64966MD55,US64966MD558,-,107.44,United States,-,USD,1.51,0.29,1.0,"Aug 01, 2023",5.0,1.51,-,0.29,1.51,0.29,USD,"Aug 22, 2018","Aug 22, 2018"
ALLEGHENY CNTY PA SAN AUTH SWR,Utility,Fixed Income,"2,199,495.41",0.03,"2,199,495.41","2,100,000.00",017357ZQ0,US017357ZQ04,-,104.32,United States,-,USD,0.91,0.28,1.0,"Dec 01, 2022",5.0,0.9,-,0.28,0.9,0.28,USD,"Sep 03, 2015","Sep 03, 2015"
FAIRFAX CNTY VA,Local Tax-Backed,Fixed Income,"2,196,576.91",0.03,"2,196,576.91","2,095,000.00",30382ACE0,US30382ACE01,-,103.6,United States,-,USD,0.74,0.2,1.0,"Oct 01, 2022",5.0,0.74,-,0.2,0.74,0.2,USD,"Nov 04, 2014","Nov 04, 2014"
NEW YORK ST DORM AUTH REVS NON,Education,Fixed Income,"2,191,605.38",0.03,"2,191,605.38","1,925,000.00",64990CUX7,US64990CUX72,-,111.35,United States,-,USD,2.33,0.43,1.0,"Jul 01, 2024",5.0,2.33,-,0.43,2.33,0.43,USD,"Apr 27, 2017","Apr 27, 2017"
ILLINOIS ST,State Tax-Backed,Fixed Income,"2,191,341.06",0.03,"2,191,341.06","1,905,000.00",452153AD1,US452153AD11,-,113.36,United States,-,USD,2.94,0.72,1.0,"Mar 01, 2025",5.0,2.93,-,0.72,2.93,0.72,USD,"Mar 24, 2021","Mar 24, 2021"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"2,191,049.18",0.03,"2,191,049.18","1,880,000.00",59261AAJ6,US59261AAJ60,-,115.91,United States,-,USD,3.57,0.82,1.0,"Nov 15, 2025",5.0,3.56,-,0.82,3.56,0.82,USD,"Dec 17, 2015","Dec 17, 2015"
CONNECTICUT ST SPL TAX OBLIG R,State Tax-Backed,Fixed Income,"2,190,802.34",0.03,"2,190,802.34","1,835,000.00",207758ZM8,US207758ZM83,-,118.56,United States,-,USD,3.95,0.65,1.0,"May 01, 2026",5.0,3.95,-,0.65,3.95,0.65,USD,"May 29, 2020","May 29, 2020"
NEW JERSEY ST TRANSN TR FD AUT,State Tax-Backed,Fixed Income,"2,189,327.68",0.03,"2,189,327.68","2,050,000.00",646136U25,US646136U254,-,106.57,United States,-,USD,1.42,0.46,1.0,"Jun 15, 2023",5.0,1.42,-,0.46,1.42,0.46,USD,"Nov 25, 2014","Nov 25, 2014"
CENTRAL PUGET SOUND WASH REGL,Local Tax-Backed,Fixed Income,"2,187,398.93",0.03,"2,187,398.93","2,000,000.00",155048DN8,US155048DN89,-,108.58,United States,-,USD,1.77,0.3,1.0,"Nov 01, 2023",5.0,1.76,-,0.3,1.76,0.3,USD,"Nov 04, 2021","Nov 04, 2021"
NEW YORK ST ENVIRONMENTAL FACS,Utility,Fixed Income,"2,186,762.17",0.03,"2,186,762.17","1,890,000.00",64986DKU8,US64986DKU80,-,115.48,United States,-,USD,3.22,0.48,1.0,"Jun 15, 2025",5.0,3.22,-,0.48,3.22,0.48,USD,"Jun 30, 2021","Jun 30, 2021"
CONNECTICUT ST SPL TAX OBLIG R,State Tax-Backed,Fixed Income,"2,186,277.90",0.03,"2,186,277.90","2,085,000.00",207758TU7,US207758TU73,-,102.77,United States,-,USD,0.57,0.24,1.0,"Aug 01, 2022",5.0,0.57,-,0.24,0.57,0.24,USD,"Oct 15, 2015","Oct 15, 2015"
SALT RIV PROJ AGRIC IMPT & PWR,Utility,Fixed Income,"2,184,037.80",0.03,"2,184,037.80","1,830,000.00",79574CEV1,US79574CEV19,-,117.69,United States,-,USD,3.65,0.52,1.0,"Jan 01, 2026",5.0,3.65,-,0.52,3.65,0.52,USD,"Sep 02, 2021","Sep 02, 2021"
INDIANA ST FIN AUTH WASTEWATER,Utility,Fixed Income,"2,180,054.45",0.03,"2,180,054.45","2,080,000.00",45505MJC1,US45505MJC10,-,103.56,United States,-,USD,0.74,0.25,1.0,"Oct 01, 2022",5.0,0.74,-,0.25,0.74,0.25,USD,"Jul 06, 2021","Jul 06, 2021"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"2,179,620.13",0.03,"2,179,620.13","1,915,000.00",64971XHA9,US64971XHA90,-,111.73,United States,-,USD,2.42,0.43,1.0,"Aug 01, 2024",5.0,2.41,-,0.43,2.41,0.43,USD,"Sep 25, 2018","Sep 25, 2018"
NEW YORK ST DORM AUTH ST PERS,Prerefund/Escrow,Fixed Income,"2,175,957.99",0.03,"2,175,957.99","2,030,000.00",64990FE59,US64990FE592,-,105.3,United States,-,USD,1.09,0.27,1.0,"Feb 15, 2023",5.0,1.09,-,0.27,1.09,0.27,USD,"Jul 13, 2017","Jul 13, 2017"
UTAH ST,State Tax-Backed,Fixed Income,"2,171,442.42",0.03,"2,171,442.42","2,070,000.00",917542WW8,US917542WW89,-,102.4,United States,-,USD,0.49,0.19,1.0,"Jul 01, 2022",5.0,0.49,-,0.19,0.49,0.19,USD,"May 27, 2020","May 27, 2020"
NEW YORK ST URBAN DEV CORP ST,State Tax-Backed,Fixed Income,"2,170,336.91",0.03,"2,170,336.91","2,035,000.00",64985TBU4,US64985TBU43,-,105.68,United States,-,USD,1.17,0.28,1.0,"Mar 15, 2023",5.0,1.17,-,0.28,1.17,0.28,USD,"Oct 21, 2021","Oct 21, 2021"
PENNSYLVANIA ST,State Tax-Backed,Fixed Income,"2,165,123.15",0.03,"2,165,123.15","2,065,000.00",70914PYN6,US70914PYN67,-,102.96,United States,-,USD,0.61,0.24,1.0,"Aug 15, 2022",5.0,0.61,-,0.24,0.61,0.24,USD,"Jun 16, 2015","Jun 16, 2015"
CENTRAL PUGET SOUND WASH REGL,Prerefund/Escrow,Fixed Income,"2,163,652.23",0.03,"2,163,652.23","1,835,000.00",15504RGE3,US15504RGE36,-,117.08,United States,-,USD,3.54,0.5,1.0,"Nov 01, 2025",5.0,3.53,-,0.5,3.53,0.5,USD,"Sep 10, 2015","Sep 10, 2015"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"2,163,086.62",0.03,"2,163,086.62","1,975,000.00",64966MAR0,US64966MAR07,-,107.44,United States,-,USD,1.51,0.29,1.0,"Aug 01, 2023",5.0,1.51,-,0.29,1.51,0.29,USD,"May 27, 2016","May 27, 2016"
NEW JERSEY ST TRANSN TR FD AUTH,State Tax-Backed,Fixed Income,"2,158,211.51",0.03,"2,158,211.51","2,000,000.00",646135Z71,US646135Z719,-,107.66,United States,-,USD,1.41,0.47,1.0,"Jun 15, 2023",5.75,1.41,-,0.47,1.41,0.47,USD,"Sep 02, 2004","Sep 02, 2004"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"2,156,279.27",0.03,"2,156,279.27","2,105,000.00",13063DNS3,US13063DNS35,-,101.19,United States,-,USD,0.25,0.25,1.0,"Apr 01, 2022",5.0,0.25,-,0.25,0.25,0.25,USD,"Apr 18, 2019","Apr 18, 2019"
OHIO ST WTR DEV AUTH WTR POLLU,Utility,Fixed Income,"2,150,900.36",0.03,"2,150,900.36","2,100,000.00",67766WWB4,US67766WWB44,-,102.01,United States,-,USD,0.42,0.18,1.0,"Jun 01, 2022",5.0,0.42,-,0.18,0.42,0.18,USD,"Dec 30, 2014","Dec 30, 2014"
MARYLAND ST DEPT TRANSN CONS T,State Tax-Backed,Fixed Income,"2,150,585.67",0.03,"2,150,585.67","2,000,000.00",574204E58,US574204E581,-,106.2,United States,-,USD,1.68,0.28,1.0,"Sep 01, 2023",4.0,1.68,-,0.28,1.68,0.28,USD,"Nov 10, 2016","Nov 10, 2016"
WISCONSIN ST,Prerefund/Escrow,Fixed Income,"2,140,573.47",0.03,"2,140,573.47","2,090,000.00",97705LU70,US97705LU706,-,101.59,United States,-,USD,0.33,0.23,1.0,"May 01, 2022",5.0,0.33,-,0.23,0.33,0.23,USD,"May 01, 2012","May 01, 2012"
MIAMI-DADE CNTY FLA WTR & SWR,Utility,Fixed Income,"2,139,066.28",0.03,"2,139,066.28","2,040,000.00",59334DHV9,US59334DHV91,-,103.61,United States,-,USD,0.74,0.19,1.0,"Oct 01, 2022",5.0,0.74,-,0.19,0.74,0.19,USD,"Jun 03, 2015","Jun 03, 2015"
NEW MEXICO ST SEVERANCE TAX,State Tax-Backed,Fixed Income,"2,135,128.35",0.03,"2,135,128.35","2,055,000.00",647310X48,US647310X480,-,101.9,United States,-,USD,0.49,0.2,1.0,"Jul 01, 2022",4.0,0.49,-,0.2,0.49,0.2,USD,"Jun 23, 2016","Jun 23, 2016"
SALES TAX ASSET RECEIVABLE COR,Prerefund/Escrow,Fixed Income,"2,133,384.83",0.03,"2,133,384.83","2,035,000.00",794665GC7,US794665GC79,-,103.78,United States,-,USD,0.78,0.2,1.0,"Oct 15, 2022",5.0,0.78,-,0.2,0.78,0.2,USD,"Oct 15, 2014","Oct 15, 2014"
TEXAS TRANSN COMMN ST HWY FD R,State Tax-Backed,Fixed Income,"2,133,494.06",0.03,"2,133,494.06","1,810,000.00",88283LJX5,US88283LJX55,-,116.62,United States,-,USD,3.45,0.52,1.0,"Oct 01, 2025",5.0,3.45,-,0.52,3.45,0.52,USD,"Jul 22, 2015","Jul 22, 2015"
NEW YORK N Y CITY MUN WTR FIN,Prerefund/Escrow,Fixed Income,"2,131,707.94",0.03,"2,131,707.94","1,990,000.00",64972GSA3,US64972GSA30,-,106.9,United States,-,USD,1.42,0.25,1.0,"Jun 15, 2023",5.0,1.42,-,0.25,1.42,0.25,USD,"Aug 21, 2018","Aug 21, 2018"
MASSACHUSETTS ST SCH BLDG AUTH,State Tax-Backed,Fixed Income,"2,128,938.52",0.03,"2,128,938.52","2,030,000.00",576000YE7,US576000YE70,-,102.98,United States,-,USD,0.61,0.2,1.0,"Aug 15, 2022",5.0,0.61,-,0.2,0.61,0.2,USD,"Aug 16, 2012","Aug 16, 2012"
MARYLAND ST,State Tax-Backed,Fixed Income,"2,120,496.34",0.03,"2,120,496.34","2,070,000.00",574193LN6,US574193LN68,-,100.77,United States,-,USD,0.16,0.35,1.0,"Mar 01, 2022",5.0,0.17,-,0.35,0.17,0.35,USD,"Mar 17, 2015","Mar 17, 2015"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"2,119,277.27",0.03,"2,119,277.27","1,935,000.00",64966MNY1,US64966MNY11,-,107.44,United States,-,USD,1.51,0.29,1.0,"Aug 01, 2023",5.0,1.51,-,0.29,1.51,0.29,USD,"Aug 10, 2017","Aug 10, 2017"
NEW JERSEY ST TPK AUTH TPK REV,Prerefund/Escrow,Fixed Income,"2,113,256.23",0.03,"2,113,256.23","1,970,000.00",646139Z73,US646139Z737,-,104.77,United States,-,USD,0.97,0.22,1.0,"Jan 01, 2023",5.0,0.97,-,0.22,0.97,0.22,USD,"Sep 20, 2012","Sep 20, 2012"
BATTERY PK CITY AUTH N Y REV,Local Tax-Backed,Fixed Income,"2,106,543.16",0.03,"2,106,543.16","1,925,000.00",07133AGN6,US07133AGN63,-,108.6,United States,-,USD,2.04,2.63,1.0,"Nov 01, 2025",5.0,3.48,-,0.29,1.76,0.29,USD,"Oct 23, 2013","Oct 23, 2013"
NEW YORK ST DORM AUTH SALES TA,State Tax-Backed,Fixed Income,"2,104,118.65",0.03,"2,104,118.65","1,815,000.00",64990ADS1,US64990ADS15,-,114.46,United States,-,USD,3.17,1.44,1.0,"Mar 15, 2026",5.0,3.8,-,0.45,2.97,0.45,USD,"Jul 30, 2015","Jul 30, 2015"
HUDSON YDS INFRASTRUCTURE CORP,Local Tax-Backed,Fixed Income,"2,102,027.73",0.03,"2,102,027.73","1,810,000.00",44420RAJ9,US44420RAJ95,-,114.25,United States,-,USD,2.9,0.4,1.0,"Feb 15, 2025",5.0,2.89,-,0.4,2.89,0.4,USD,"May 30, 2017","May 30, 2017"
MICHIGAN FIN AUTH REV,Utility,Fixed Income,"2,097,307.40",0.03,"2,097,307.40","2,000,000.00",59447PZD6,US59447PZD67,-,102.37,United States,-,USD,0.49,0.26,1.0,"Jul 01, 2022",5.0,0.49,-,0.26,0.49,0.26,USD,"Sep 04, 2014","Sep 04, 2014"
MICHIGAN FIN AUTH REV,Utility,Fixed Income,"2,097,307.40",0.03,"2,097,307.40","2,000,000.00",59447PC82,US59447PC825,-,102.37,United States,-,USD,0.49,0.26,1.0,"Jul 01, 2022",5.0,0.49,-,0.26,0.49,0.26,USD,"Sep 04, 2014","Sep 04, 2014"
CARY N C ENTERPRISE SYS REV,Prerefund/Escrow,Fixed Income,"2,095,883.93",0.03,"2,095,883.93","2,000,000.00",147056DL6,US147056DL61,-,104.38,United States,-,USD,0.91,0.22,1.0,"Dec 01, 2022",5.0,0.9,-,0.22,0.9,0.22,USD,"Jan 29, 2013","Jan 29, 2013"
METROPOLITAN TRANSN AUTH N Y D,Local Tax-Backed,Fixed Income,"2,094,779.78",0.03,"2,094,779.78","2,000,000.00",59259NR21,US59259NR215,-,104.1,United States,-,USD,0.89,2.74,1.0,"Nov 15, 2023",5.0,1.78,-,0.29,0.86,0.29,USD,"Oct 25, 2012","Oct 25, 2012"
DENVER COLO CITY & CNTY ARPT R,Transportation,Fixed Income,"2,093,065.98",0.03,"2,093,065.98","2,000,000.00",249182NP7,US249182NP74,-,104.01,United States,-,USD,0.86,0.38,1.0,"Nov 15, 2022",5.0,0.86,-,0.38,0.86,0.38,USD,"Nov 15, 2019","Nov 15, 2019"
WISCONSIN ST FOR ISSUES DTD PR,State Tax-Backed,Fixed Income,"2,091,214.73",0.03,"2,091,214.73","1,995,000.00",97705MBH7,US97705MBH79,-,103.99,United States,-,USD,0.82,0.21,1.0,"Nov 01, 2022",5.0,0.82,-,0.21,0.82,0.21,USD,"Mar 08, 2016","Mar 08, 2016"
NEW YORK ST DORM AUTH SALES TA,State Tax-Backed,Fixed Income,"2,084,664.63",0.03,"2,084,664.63","2,035,000.00",64990AJL0,US64990AJL08,-,100.97,United States,-,USD,0.2,0.28,1.0,"Mar 15, 2022",5.0,0.21,-,0.28,0.21,0.28,USD,"Jul 19, 2018","Jul 19, 2018"
CHESTERFIELD CNTY VA,Local Tax-Backed,Fixed Income,"2,080,582.87",0.03,"2,080,582.87","1,790,000.00",1663936Q6,US1663936Q68,-,113.73,United States,-,USD,2.78,0.39,1.0,"Jan 01, 2025",5.0,2.77,-,0.39,2.77,0.39,USD,"Jun 29, 2017","Jun 29, 2017"
ATLANTA GA ARPT PASSENGER FAC,Transportation,Fixed Income,"2,071,786.85",0.03,"2,071,786.85","1,975,000.00",04780TDS0,US04780TDS06,-,102.4,United States,-,USD,0.49,0.19,1.0,"Jul 01, 2022",5.0,0.49,-,0.19,0.49,0.19,USD,"Oct 29, 2019","Oct 29, 2019"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"2,068,242.37",0.03,"2,068,242.37","1,890,000.00",64971XRH3,US64971XRH34,-,108.6,United States,-,USD,1.77,0.29,1.0,"Nov 01, 2023",5.0,1.76,-,0.29,1.76,0.29,USD,"Sep 01, 2020","Sep 01, 2020"
VIRGINIA COLLEGE BLDG AUTH VA,State Tax-Backed,Fixed Income,"2,064,844.56",0.03,"2,064,844.56","1,780,000.00",92778VFD5,US92778VFD55,-,113.92,United States,-,USD,2.86,0.45,1.0,"Feb 01, 2025",5.0,2.85,-,0.45,2.85,0.45,USD,"Dec 21, 2017","Dec 21, 2017"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"2,063,604.86",0.03,"2,063,604.86","1,925,000.00",650035F60,US650035F609,-,105.73,United States,-,USD,1.23,2.32,1.0,"Mar 15, 2024",5.0,2.07,-,0.24,1.17,0.24,USD,"Dec 19, 2013","Dec 19, 2013"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"2,058,889.33",0.03,"2,058,889.33","2,000,000.00",544532BV5,US544532BV55,-,101.43,United States,-,USD,0.52,0.17,1.0,"Jul 01, 2022",3.0,0.52,-,0.17,0.52,0.17,USD,"Jun 29, 2021","Jun 29, 2021"
NEW MEXICO FIN AUTH REV,State Tax-Backed,Fixed Income,"2,056,387.78",0.03,"2,056,387.78","1,845,000.00",64711N5Q4,US64711N5Q46,-,111.24,United States,-,USD,2.35,0.4,1.0,"Jun 15, 2024",5.0,2.34,-,0.4,2.34,0.4,USD,"Nov 28, 2018","Nov 28, 2018"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"2,053,107.36",0.03,"2,053,107.36","1,800,000.00",5444957A6,US5444957A61,-,111.56,United States,-,USD,2.33,0.35,1.0,"Jul 01, 2024",5.0,2.33,-,0.35,2.33,0.35,USD,"May 09, 2019","May 09, 2019"
PHILADELPHIA PA,Local Tax-Backed,Fixed Income,"2,049,082.57",0.03,"2,049,082.57","1,840,000.00",717813YK9,US717813YK95,-,110.53,United States,-,USD,2.22,0.46,1.0,"May 01, 2024",5.0,2.22,-,0.46,2.22,0.46,USD,"Aug 11, 2021","Aug 11, 2021"
NORTH CAROLINA ST GRANT ANTIC,Transportation,Fixed Income,"2,044,330.07",0.03,"2,044,330.07","2,000,000.00",658268EG8,US658268EG83,-,100.76,United States,-,USD,0.16,0.43,1.0,"Mar 01, 2022",5.0,0.17,-,0.43,0.17,0.43,USD,"Sep 16, 2021","Sep 16, 2021"
LEWISVILLE TX INDEP SCH DIST,School Districts,Fixed Income,"2,041,300.11",0.03,"2,041,300.11","1,865,000.00",5288286U5,US5288286U52,-,107.56,United States,-,USD,1.55,0.32,1.0,"Aug 15, 2023",5.0,1.55,-,0.32,1.55,0.32,USD,"May 15, 2015","May 15, 2015"
ILLINOIS ST,State Tax-Backed,Fixed Income,"2,038,378.08",0.03,"2,038,378.08","1,805,000.00",452152P88,US452152P882,-,112.1,United States,-,USD,2.67,0.68,1.0,"Nov 01, 2024",5.0,2.66,-,0.68,2.66,0.68,USD,"Nov 08, 2017","Nov 08, 2017"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"2,037,134.74",0.03,"2,037,134.74","1,860,000.00",64966K4Y6,US64966K4Y68,-,107.44,United States,-,USD,1.51,0.29,1.0,"Aug 01, 2023",5.0,1.51,-,0.29,1.51,0.29,USD,"Oct 16, 2013","Oct 16, 2013"
NEW JERSEY ST TRANSN TR FD AUT,Transportation,Fixed Income,"2,031,402.60",0.03,"2,031,402.60","1,985,000.00",6461363A7,US6461363A70,-,102.12,United States,-,USD,0.45,0.35,1.0,"Jun 15, 2022",5.0,0.45,-,0.35,0.45,0.35,USD,"Jul 25, 2018","Jul 25, 2018"
UTILITY DEBT SECURITIZATION AU,Utility,Fixed Income,"2,026,619.39",0.03,"2,026,619.39","1,935,000.00",91802RDE6,US91802RDE62,-,104.51,United States,-,USD,1.06,3.38,1.0,"Dec 15, 2024",5.0,2.74,-,0.27,0.94,0.27,USD,"Sep 08, 2016","Sep 08, 2016"
SAN ANTONIO TEX WTR REV,Utility,Fixed Income,"2,021,514.93",0.03,"2,021,514.93","2,000,000.00",79642GNB4,US79642GNB40,-,100.91,United States,-,USD,4.83,0.81,1.0,"Nov 01, 2026",1.0,4.7,-,0.81,4.7,0.81,USD,"Nov 01, 2021","Oct 01, 2013"
NEW YORK ST DORM AUTH SALES TA,State Tax-Backed,Fixed Income,"2,019,825.62",0.03,"2,019,825.62","1,740,000.00",64990AFP5,US64990AFP57,-,114.61,United States,-,USD,2.98,0.41,1.0,"Mar 15, 2025",5.0,2.97,-,0.41,2.97,0.41,USD,"Sep 29, 2016","Sep 29, 2016"
TRIBOROUGH BRDG & TUNL AUTH N,Local Tax-Backed,Fixed Income,"2,018,054.41",0.03,"2,018,054.41","1,925,000.00",89602HAD9,US89602HAD98,-,104.58,United States,-,USD,4.19,0.93,1.0,"May 15, 2026",2.0,4.18,-,0.93,4.18,0.93,USD,"May 05, 2021","May 05, 2021"
NEW JERSEY ST TRANSPRTN TRUST FUND,Transportation,Fixed Income,"2,013,543.07",0.03,"2,013,543.07","1,815,000.00",646136Z95,US646136Z956,-,110.72,United States,-,USD,2.35,0.6,1.0,"Jun 15, 2024",5.0,2.34,-,0.6,2.34,0.6,USD,"Nov 02, 2016","Nov 02, 2016"
OHIO ST UNIV GEN RCPTS,Education,Fixed Income,"2,012,854.40",0.03,"2,012,854.40","1,700,000.00",677632L33,US677632L337,-,117.15,United States,-,USD,3.59,0.57,1.0,"Dec 01, 2025",5.0,3.59,-,0.57,3.59,0.57,USD,"Sep 30, 2021","Sep 30, 2021"
WISCONSIN ST CLEAN WTR REV,Prerefund/Escrow,Fixed Income,"2,011,805.83",0.03,"2,011,805.83","1,805,000.00",977092XG5,US977092XG52,-,111.04,United States,-,USD,2.31,0.4,1.0,"Jun 01, 2024",5.0,2.3,-,0.4,2.3,0.4,USD,"Apr 12, 2016","Apr 12, 2016"
LOUISIANA ST,State Tax-Backed,Fixed Income,"2,011,560.54",0.03,"2,011,560.54","1,680,000.00",546417CT1,US546417CT12,-,118.07,United States,-,USD,3.78,0.6,1.0,"Mar 01, 2026",5.0,3.78,-,0.6,3.78,0.6,USD,"Mar 11, 2020","Mar 11, 2020"
FLORIDA ST BRD ED LOTTERY REV,State Tax-Backed,Fixed Income,"2,010,380.01",0.03,"2,010,380.01","1,765,000.00",341507P47,US341507P478,-,111.4,United States,-,USD,2.33,0.41,1.0,"Jul 01, 2024",5.0,2.33,-,0.41,2.33,0.41,USD,"Jun 23, 2016","Jun 23, 2016"
NEW YORK ST URBAN DEV CORP REV,State Tax-Backed,Fixed Income,"2,007,834.24",0.03,"2,007,834.24","1,960,000.00",650035ZK7,US650035ZK73,-,100.97,United States,-,USD,0.2,0.28,1.0,"Mar 15, 2022",5.0,0.21,-,0.28,0.21,0.28,USD,"Mar 19, 2013","Mar 19, 2013"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"2,002,603.55",0.03,"2,002,603.55","1,910,000.00",13063CQA1,US13063CQA17,-,104.02,United States,-,USD,0.82,0.18,1.0,"Nov 01, 2022",5.0,0.82,-,0.18,0.82,0.18,USD,"Nov 25, 2014","Nov 25, 2014"
PENNSYLVANIA ST,State Tax-Backed,Fixed Income,"2,001,870.57",0.03,"2,001,870.57","1,700,000.00",70914PB50,US70914PB508,-,116.28,United States,-,USD,3.4,0.55,1.0,"Sep 15, 2025",5.0,3.4,-,0.55,3.4,0.55,USD,"Jun 17, 2016","Jun 17, 2016"
MARYLAND ST,State Tax-Backed,Fixed Income,"2,000,879.77",0.03,"2,000,879.77","1,755,000.00",574193SU3,US574193SU39,-,111.93,United States,-,USD,2.42,0.36,1.0,"Aug 01, 2024",5.0,2.42,-,0.36,2.42,0.36,USD,"Mar 18, 2020","Mar 18, 2020"
METROPOLITAN WTR DIST SOUTHN C,Utility,Fixed Income,"1,999,919.20",0.03,"1,999,919.20","1,755,000.00",59266TRT0,US59266TRT06,-,111.46,United States,-,USD,2.33,0.39,1.0,"Jul 01, 2024",5.0,2.33,-,0.39,2.33,0.39,USD,"Apr 01, 2020","Apr 01, 2020"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"1,998,749.65",0.03,"1,998,749.65","1,715,000.00",59261AWW3,US59261AWW34,-,115.91,United States,-,USD,3.57,0.82,1.0,"Nov 15, 2025",5.0,3.56,-,0.82,3.56,0.82,USD,"Aug 23, 2018","Aug 23, 2018"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"1,996,498.66",0.03,"1,996,498.66","1,855,000.00",13062PHG0,US13062PHG00,-,105.44,United States,-,USD,1.05,0.22,1.0,"Feb 01, 2023",5.25,1.05,-,0.22,1.05,0.22,USD,"Jul 01, 2003","Jul 01, 2003"
TRIBOROUGH BRDG & TUNL AUTH N,Local Tax-Backed,Fixed Income,"1,992,348.35",0.03,"1,992,348.35","1,925,000.00",89602HAC1,US89602HAC16,-,103.24,United States,-,USD,2.32,0.62,1.0,"May 15, 2024",2.0,2.32,-,0.62,2.32,0.62,USD,"May 05, 2021","May 05, 2021"
DENVER COLO CITY & CNTY ARPT R,Transportation,Fixed Income,"1,985,775.51",0.03,"1,985,775.51","1,815,000.00",249182JV9,US249182JV98,-,108.77,United States,-,USD,1.8,0.3,1.0,"Nov 15, 2023",5.0,1.8,-,0.3,1.8,0.3,USD,"Dec 01, 2016","Dec 01, 2016"
NEW YORK N Y,Local Tax-Backed,Fixed Income,"1,982,370.52",0.03,"1,982,370.52","1,850,000.00",64966KEQ2,US64966KEQ22,-,105.07,United States,-,USD,1.14,2.95,1.0,"Aug 01, 2024",5.0,2.38,-,0.31,1.05,0.31,USD,"Jan 03, 2013","Jan 03, 2013"
ALABAMA ST PUB SCH & COLLEGE A,State Tax-Backed,Fixed Income,"1,979,355.48",0.03,"1,979,355.48","1,845,000.00",010609AS4,US010609AS44,-,104.78,United States,-,USD,0.97,0.21,1.0,"Jan 01, 2023",5.0,0.97,-,0.21,0.97,0.21,USD,"Jul 10, 2014","Jul 10, 2014"
WISCONSIN ST FOR ISSUES DTD PR,State Tax-Backed,Fixed Income,"1,978,799.31",0.03,"1,978,799.31","1,680,000.00",97705MJH9,US97705MJH97,-,116.95,United States,-,USD,3.54,0.53,1.0,"Nov 01, 2025",5.0,3.53,-,0.53,3.53,0.53,USD,"Nov 15, 2017","Nov 15, 2017"
CLARK CNTY NEV SCH DIST FOR IS,School Districts,Fixed Income,"1,976,088.25",0.03,"1,976,088.25","1,930,000.00",181059WS1,US181059WS18,-,102.17,United States,-,USD,0.45,0.24,1.0,"Jun 15, 2022",5.0,0.46,-,0.24,0.46,0.24,USD,"Jun 28, 2017","Jun 28, 2017"
LOUISIANA ST,State Tax-Backed,Fixed Income,"1,970,232.62",0.03,"1,970,232.62","1,700,000.00",546417CS3,US546417CS39,-,114.23,United States,-,USD,2.94,0.47,1.0,"Mar 01, 2025",5.0,2.93,-,0.47,2.93,0.47,USD,"Mar 11, 2020","Mar 11, 2020"
CLARK CNTY NEV SCH DIST FOR IS,School Districts,Fixed Income,"1,969,494.27",0.03,"1,969,494.27","1,840,000.00",181059UL8,US181059UL82,-,106.82,United States,-,USD,1.42,0.3,1.0,"Jun 15, 2023",5.0,1.42,-,0.3,1.42,0.3,USD,"Jun 16, 2016","Jun 16, 2016"
SALT RIV PROJ AGRIC IMPT & PWR,Utility,Fixed Income,"1,966,872.69",0.03,"1,966,872.69","1,760,000.00",79574CBP7,US79574CBP77,-,109.25,United States,-,USD,1.89,0.35,1.0,"Jan 01, 2024",5.0,1.89,-,0.35,1.89,0.35,USD,"Dec 01, 2016","Dec 01, 2016"
