,,,,,,,,,,,,,,,,,,,,,,,,,,iShares 10+ Year Investment Grade Corporate Bond ETF
MEMORIAL SLOAN-KETTERING CANCER CT,Consumer Non-Cyclical,Fixed Income,"554,629.70",0.02,"554,629.70","411,000.00",586054AA6,US586054AA68,B7DX7R0,132.45,United States,-,USD,13.59,2.89,1.0,"Jul 01, 2042",5.0,13.66,-,2.89,13.66,2.89,USD,"Dec 08, 2011","Dec 08, 2011"
ONCOR ELECTRIC DELIVERY CO LLC,Electric,Fixed Income,"554,615.37",0.02,"554,615.37","445,000.00",68233JAT1,US68233JAT16,B8B7B80,124.25,United States,-,USD,13.62,2.93,1.0,"Dec 01, 2041",4.55,13.81,-,2.91,13.58,2.91,USD,"Jun 01, 2012","Aug 23, 2012"
MINEJESA CAPITAL BV 144A,Electric,Fixed Income,"554,775.00",0.02,"554,775.00","520,000.00",602736AB6,US602736AB68,BDFB462,104.5,Indonesia,-,USD,9.11,5.14,1.0,"Aug 10, 2037",5.63,9.02,-,5.14,9.02,5.14,USD,"Aug 10, 2017","Aug 10, 2017"
WILLIAMS COMPANIES INC,Energy,Fixed Income,"554,415.14",0.02,"554,415.14","368,000.00",969457BM1,US969457BM15,2744146,148.08,United States,-,USD,7.38,3.19,1.0,"Mar 15, 2032",8.75,7.34,-,3.19,7.34,3.19,USD,"Mar 15, 2003","Jun 03, 2003"
AMFAM HOLDINGS INC 144A,Insurance,Fixed Income,"554,381.11",0.02,"554,381.11","497,000.00",03115AAC7,US03115AAC71,-,110.37,United States,-,USD,17.72,3.28,1.0,"Mar 11, 2051",3.83,17.92,-,3.27,17.74,3.27,USD,"Mar 11, 2021","Mar 11, 2021"
NORTHWELL HEALTHCARE INC,Consumer Non-Cyclical,Fixed Income,"553,996.91",0.02,"553,996.91","485,000.00",667274AA2,US667274AA29,BD8BW10,113.56,United States,-,USD,15.94,3.18,1.0,"Nov 01, 2046",3.98,16.24,-,3.16,15.83,3.16,USD,"Sep 27, 2016","Sep 27, 2016"
PRUDENTIAL FINANCIAL INC MTN,Insurance,Fixed Income,"554,029.81",0.02,"554,029.81","444,000.00",74432QCD5,US74432QCD51,BFNNX67,123.63,United States,-,USD,16.28,3.1,1.0,"Mar 27, 2048",4.42,16.49,-,3.08,16.31,3.08,USD,"Mar 27, 2018","Mar 27, 2018"
WR BERKLEY CORPORATION,Insurance,Fixed Income,"553,939.52",0.02,"553,939.52","482,000.00",084423AU6,US084423AU64,-,114.41,United States,-,USD,17.42,3.22,1.0,"May 12, 2050",4.0,17.62,-,3.21,17.44,3.21,USD,"May 12, 2020","May 12, 2020"
ALTRIA GROUP INC,Consumer Non-Cyclical,Fixed Income,"553,204.99",0.02,"553,204.99","530,000.00",02209SAQ6,US02209SAQ66,B7ZKNH1,103.64,United States,-,USD,13.7,4.24,1.0,"May 02, 2043",4.5,13.69,-,4.24,13.69,4.24,USD,"May 02, 2013","May 02, 2013"
TRAVELERS COMPANIES INC,Insurance,Fixed Income,"553,257.44",0.02,"553,257.44","480,000.00",89417EAL3,US89417EAL39,BD8BSC3,114.78,United States,-,USD,16.27,2.9,1.0,"May 15, 2046",3.75,16.48,-,2.89,16.26,2.89,USD,"May 11, 2016","May 11, 2016"
NEWMONT GOLDCORP CORP,Basic Industry,Fixed Income,"553,048.74",0.02,"553,048.74","415,000.00",651639AV8,US651639AV85,BJYRXM2,132.93,United States,-,USD,14.03,3.35,1.0,"Jun 09, 2044",5.45,14.22,-,3.32,14.03,3.32,USD,"Jun 09, 2019","Aug 06, 2019"
SAN DIEGO GAS AND ELECTRIC COM,Electric,Fixed Income,"552,357.11",0.02,"552,357.11","449,000.00",797440BM5,US797440BM51,B65CRM3,121.32,United States,-,USD,12.99,3.0,1.0,"Aug 15, 2040",4.5,13.02,-,3.0,13.02,3.0,USD,"Aug 26, 2010","Aug 26, 2010"
MASSACHUSETTS MUTUAL LIFE INSURANC 144A,Insurance,Fixed Income,"552,417.14",0.02,"552,417.14","419,000.00",575767AL2,US575767AL25,BYXK3K5,130.62,United States,-,USD,22.23,3.62,1.0,"Apr 01, 2077",4.9,22.49,-,3.62,22.49,3.62,USD,"Mar 23, 2017","Mar 23, 2017"
CHARTER COMMUNICATIONS OPERATING L,Communications,Fixed Income,"552,277.63",0.02,"552,277.63","576,000.00",161175BX1,US161175BX17,-,94.92,United States,-,USD,8.82,2.88,1.0,"Feb 01, 2032",2.3,8.81,-,2.88,8.81,2.88,USD,"Dec 04, 2020","Dec 04, 2020"
WP CAREY INC,Reits,Fixed Income,"552,062.60",0.02,"552,062.60","579,000.00",92936UAH2,US92936UAH23,-,94.79,United States,-,USD,9.76,2.79,1.0,"Apr 01, 2033",2.25,9.76,-,2.79,9.76,2.79,USD,"Feb 25, 2021","Feb 25, 2021"
JEFFERIES FINANCIAL GROUP INC,Brokerage/Asset Managers/Exchanges,Fixed Income,"551,980.59",0.02,"551,980.59","403,000.00",527288BF0,US527288BF07,BFVGY43,135.72,United States,-,USD,12.8,4.13,1.0,"Oct 23, 2043",6.63,12.88,-,4.11,12.8,4.11,USD,"Oct 24, 2013","Oct 24, 2013"
FLORIDA POWER & LIGHT CO,Electric,Fixed Income,"551,686.54",0.02,"551,686.54","405,000.00",341081FD4,US341081FD42,B4V3Q52,134.03,United States,-,USD,12.68,2.91,1.0,"Feb 01, 2041",5.25,12.89,-,2.87,12.66,2.87,USD,"Dec 09, 2010","Dec 09, 2010"
AMERICAN WATER CAPITAL CORP,Utility Other,Fixed Income,"551,432.59",0.02,"551,432.59","489,000.00",03040WAR6,US03040WAR60,BDF0M54,111.52,United States,-,USD,16.58,3.1,1.0,"Sep 01, 2047",3.75,16.77,-,3.09,16.57,3.09,USD,"Aug 10, 2017","Aug 10, 2017"
STARBUCKS CORPORATION,Consumer Cyclical,Fixed Income,"551,527.00",0.02,"551,527.00","500,000.00",855244AM1,US855244AM15,BF2RBL1,109.99,United States,-,USD,16.76,3.18,1.0,"Dec 01, 2047",3.75,16.94,-,3.17,16.74,3.17,USD,"Nov 22, 2017","Nov 22, 2017"
BLACKSTONE HOLDINGS FINANCE CO LLC 144A,Brokerage/Asset Managers/Exchanges,Fixed Income,"551,337.12",0.02,"551,337.12","505,000.00",09256BAM9,US09256BAM90,-,108.1,United States,-,USD,17.7,3.06,1.0,"Sep 10, 2049",3.5,17.91,-,3.06,17.7,3.06,USD,"Sep 10, 2019","Sep 10, 2019"
FLORIDA POWER & LIGHT CO,Electric,Fixed Income,"550,801.77",0.02,"550,801.77","515,000.00",341081FX0,US341081FX06,-,106.16,United States,-,USD,18.38,2.83,1.0,"Oct 01, 2049",3.15,18.6,-,2.82,18.38,2.82,USD,"Sep 13, 2019","Sep 13, 2019"
WILLIS NORTH AMERICA INC,Insurance,Fixed Income,"549,349.87",0.02,"549,349.87","501,000.00",970648AK7,US970648AK73,-,108.51,United States,-,USD,17.02,3.4,1.0,"Sep 15, 2049",3.88,17.2,-,3.39,17.02,3.39,USD,"Sep 10, 2019","Sep 10, 2019"
AIR LIQUIDE FINANCE SA 144A,Basic Industry,Fixed Income,"549,085.28",0.02,"549,085.28","480,000.00",00913RAE6,US00913RAE62,BD878J8,113.49,France,-,USD,16.71,2.75,1.0,"Sep 27, 2046",3.5,16.93,-,2.74,16.7,2.74,USD,"Sep 27, 2016","Sep 27, 2016"
GRUPO BIMBO SAB DE CV 144A,Consumer Non-Cyclical,Fixed Income,"548,864.08",0.02,"548,864.08","460,000.00",40052VAE4,US40052VAE48,-,118.67,Mexico,-,USD,15.6,3.59,1.0,"Nov 10, 2047",4.7,15.78,-,3.57,15.6,3.57,USD,"Nov 10, 2017","Nov 10, 2017"
ATMOS ENERGY CORPORATION,Natural Gas,Fixed Income,"548,823.11",0.02,"548,823.11","457,000.00",049560AQ8,US049560AQ82,BJBCC67,118.88,United States,-,USD,16.88,3.09,1.0,"Mar 15, 2049",4.13,17.1,-,3.08,16.91,3.08,USD,"Mar 04, 2019","Mar 04, 2019"
EXELON GENERATION CO LLC,Electric,Fixed Income,"548,310.01",0.02,"548,310.01","463,000.00",30161MAN3,US30161MAN39,B715FY1,118.18,United States,-,USD,12.71,4.26,1.0,"Jun 15, 2042",5.6,12.81,-,4.24,12.62,4.24,USD,"Dec 15, 2012","Feb 12, 2013"
VALMONT INDUSTRIES INC,Capital Goods,Fixed Income,"548,386.52",0.02,"548,386.52","440,000.00",920253AF8,US920253AF89,BQRX199,123.38,United States,-,USD,14.22,3.5,1.0,"Oct 01, 2044",5.0,14.39,-,3.48,14.19,3.48,USD,"Sep 22, 2014","Sep 22, 2014"
ALABAMA POWER COMPANY,Electric,Fixed Income,"548,350.00",0.02,"548,350.00","450,000.00",010392FP8,US010392FP84,BDFY6J8,119.72,United States,-,USD,15.31,3.13,1.0,"Jan 02, 2046",4.3,15.5,-,3.11,15.3,3.11,USD,"Jan 13, 2016","Jan 13, 2016"
NASDAQ INC,Brokerage/Asset Managers/Exchanges,Fixed Income,"548,172.43",0.02,"548,172.43","593,000.00",63111XAE1,US63111XAE13,-,92.37,United States,-,USD,14.7,3.03,1.0,"Dec 21, 2040",2.5,14.8,-,3.03,14.8,3.03,USD,"Dec 21, 2020","Dec 21, 2020"
SOUTHERN CALIFORNIA EDISON COMPANY,Electric,Fixed Income,"547,602.34",0.02,"547,602.34","412,000.00",842400FL2,US842400FL27,B65HYN8,131.13,United States,-,USD,11.42,3.61,1.0,"Mar 15, 2039",6.05,11.42,-,3.61,11.42,3.61,USD,"Mar 20, 2009","Mar 20, 2009"
NIAGARA MOHAWK POWER CORPORATION 144A,Electric,Fixed Income,"547,620.96",0.02,"547,620.96","577,000.00",65364UAP1,US65364UAP12,-,94.87,United States,-,USD,18.53,3.3,1.0,"Jun 27, 2050",3.02,18.7,-,3.3,18.7,3.3,USD,"Jun 25, 2020","Jun 25, 2020"
THAIOIL TREASURY CENTER CO LTD MTN 144A,Energy,Fixed Income,"547,422.18",0.02,"547,422.18","620,000.00",88322YAL5,US88322YAL56,BMVLMC1,88.17,Thailand,-,USD,16.56,4.49,1.0,"Jun 18, 2050",3.75,16.58,-,4.49,16.58,4.49,USD,"Jun 18, 2020","Jun 18, 2020"
HONEYWELL INTERNATIONAL INC,Capital Goods,Fixed Income,"545,906.52",0.02,"545,906.52","524,000.00",438516CA2,US438516CA21,BLBCW16,103.95,United States,-,USD,19.44,2.6,1.0,"Jun 01, 2050",2.8,19.67,-,2.6,19.44,2.6,USD,"May 18, 2020","May 18, 2020"
ROGERS COMMUNICATIONS INC,Communications,Fixed Income,"544,965.00",0.02,"544,965.00","470,000.00",775109AX9,US775109AX99,B84QCZ8,114.63,Canada,-,USD,13.85,3.52,1.0,"Mar 15, 2043",4.5,14.0,-,3.5,13.79,3.5,USD,"Mar 07, 2013","Mar 07, 2013"
CONSOLIDATED EDISON COMPANY OF NEW,Electric,Fixed Income,"544,565.73",0.02,"544,565.73","508,000.00",209111FW8,US209111FW83,-,106.73,United States,-,USD,20.55,3.38,1.0,"Nov 15, 2059",3.7,20.78,-,3.38,20.64,3.38,USD,"Nov 08, 2019","Nov 08, 2019"
COMCAST CORPORATION,Communications,Fixed Income,"543,878.85",0.02,"543,878.85","463,000.00",20030NCG4,US20030NCG43,BFWQ3S9,116.79,United States,-,USD,18.27,3.19,1.0,"Nov 01, 2052",4.05,18.49,-,3.18,18.32,3.18,USD,"Oct 19, 2017","Dec 14, 2017"
CONSOLIDATED EDISON COMPANY OF NEW,Electric,Fixed Income,"543,072.68",0.02,"543,072.68","395,000.00",209111EM1,US209111EM11,B1723Q2,137.21,United States,-,USD,10.33,3.01,1.0,"Jun 15, 2036",6.2,10.33,-,3.01,10.33,3.01,USD,"Jun 15, 2006","Jun 15, 2006"
SPIRE MISSOURI INC,Natural Gas,Fixed Income,"543,127.00",0.02,"543,127.00","500,000.00",84859DAA5,US84859DAA54,-,108.35,United States,-,USD,18.94,2.88,1.0,"Jun 01, 2051",3.3,19.17,-,2.87,18.97,2.87,USD,"May 20, 2021","May 20, 2021"
COMMONWEALTH EDISON COMPANY,Electric,Fixed Income,"542,824.90",0.02,"542,824.90","519,000.00",202795JT8,US202795JT82,-,103.67,United States,-,USD,18.89,2.94,1.0,"Mar 15, 2051",3.13,19.11,-,2.93,18.9,2.93,USD,"Mar 09, 2021","Mar 09, 2021"
ARIZONA PUB SERVICE CO,Electric,Fixed Income,"542,706.15",0.02,"542,706.15","430,000.00",040555CH5,US040555CH53,B0HFGD2,124.38,United States,-,USD,9.95,3.27,1.0,"Sep 01, 2035",5.5,9.93,-,3.27,9.93,3.27,USD,"Aug 22, 2005","Aug 22, 2005"
FLORIDA POWER AND LIGHT CO,Electric,Fixed Income,"542,454.64",0.02,"542,454.64","454,000.00",341081FL6,US341081FL67,BQQCCK5,118.47,United States,-,USD,15.21,2.93,1.0,"Oct 01, 2044",4.05,15.41,-,2.92,15.18,2.92,USD,"Sep 10, 2014","Sep 10, 2014"
WASTE MANAGEMENT INC,Capital Goods,Fixed Income,"542,016.63",0.02,"542,016.63","478,000.00",94106LBB4,US94106LBB45,BVYS556,112.09,United States,-,USD,10.2,2.8,1.0,"Mar 01, 2035",3.9,10.34,-,2.76,10.03,2.76,USD,"Feb 26, 2015","Feb 26, 2015"
EXELON CORPORATION,Electric,Fixed Income,"542,178.00",0.02,"542,178.00","455,000.00",30161NAQ4,US30161NAQ43,BD978H5,118.94,United States,-,USD,9.99,3.21,1.0,"Jun 15, 2035",4.95,10.13,-,3.16,9.85,3.16,USD,"Dec 15, 2015","May 13, 2016"
SOUTHERN NATURAL GAS COMPANY LLC 144A,Energy,Fixed Income,"542,220.90",0.02,"542,220.90","450,000.00",84346LAA8,US84346LAA89,-,119.08,United States,-,USD,15.16,3.64,1.0,"Mar 15, 2047",4.8,15.33,-,3.62,15.15,3.62,USD,"Mar 14, 2017","Mar 14, 2017"
MYLAN INC,Consumer Non-Cyclical,Fixed Income,"542,032.49",0.02,"542,032.49","434,000.00",628530BJ5,US628530BJ54,BHQXR55,123.79,United States,-,USD,15.23,3.77,1.0,"Apr 15, 2048",5.2,15.4,-,3.75,15.24,3.75,USD,"Oct 15, 2018","Jan 09, 2019"
SOUTHERN COMPANY (THE),Electric,Fixed Income,"541,404.14",0.02,"541,404.14","471,000.00",842587CW5,US842587CW55,BYT1517,112.82,United States,-,USD,10.71,3.14,1.0,"Jul 01, 2036",4.25,10.84,-,3.11,10.56,3.11,USD,"May 24, 2016","May 24, 2016"
WR BERKLEY CORPORATION,Insurance,Fixed Income,"541,448.54",0.02,"541,448.54","565,000.00",084423AW2,US084423AW21,-,94.9,United States,-,USD,21.66,3.38,1.0,"Sep 30, 2061",3.15,21.89,-,3.38,21.89,3.38,USD,"Sep 15, 2021","Sep 15, 2021"
UNUM GROUP,Insurance,Fixed Income,"540,521.53",0.02,"540,521.53","435,000.00",91529YAJ5,US91529YAJ55,B89QQ28,122.09,United States,-,USD,12.67,4.15,1.0,"Aug 15, 2042",5.75,12.67,-,4.15,12.67,4.15,USD,"Aug 23, 2012","Aug 23, 2012"
DOMINION RESOURCES INC/VA,Electric,Fixed Income,"540,530.40",0.02,"540,530.40","437,000.00",25746UCC1,US25746UCC18,BSR9GC9,123.3,United States,-,USD,14.72,3.25,1.0,"Dec 01, 2044",4.7,14.9,-,3.23,14.7,3.23,USD,"Nov 25, 2014","Nov 25, 2014"
OVINTIV INC,Energy,Fixed Income,"540,320.94",0.02,"540,320.94","405,000.00",292505AE4,US292505AE49,B23Y0M4,130.91,United States,-,USD,10.36,3.95,1.0,"Aug 15, 2037",6.63,10.33,-,3.95,10.33,3.95,USD,"Aug 13, 2007","Aug 13, 2007"
SHERWIN-WILLIAMS COMPANY (THE),Basic Industry,Fixed Income,"540,339.92",0.02,"540,339.92","511,000.00",824348BM7,US824348BM72,-,105.32,United States,-,USD,18.35,3.02,1.0,"May 15, 2050",3.3,18.56,-,3.02,18.35,3.02,USD,"Mar 17, 2020","Mar 17, 2020"
TECK RESOURCES LTD,Basic Industry,Fixed Income,"540,204.53",0.02,"540,204.53","415,000.00",878742AS4,US878742AS42,B51CP59,127.9,Canada,-,USD,11.77,3.88,1.0,"Aug 15, 2040",6.0,11.9,-,3.85,11.7,3.85,USD,"Aug 17, 2010","Sep 22, 2010"
ROGERS COMMUNICATIONS INC,Communications,Fixed Income,"540,067.18",0.02,"540,067.18","466,000.00",775109BG5,US775109BG57,BF17NG1,114.27,Canada,-,USD,15.96,3.47,1.0,"Feb 15, 2048",4.3,16.13,-,3.46,15.95,3.46,USD,"Feb 08, 2018","Feb 08, 2018"
MARKEL CORPORATION,Insurance,Fixed Income,"538,749.64",0.02,"538,749.64","520,000.00",570535AX2,US570535AX23,-,103.09,United States,-,USD,18.63,3.29,1.0,"May 07, 2052",3.45,18.83,-,3.29,18.65,3.29,USD,"May 07, 2021","May 07, 2021"
CITIGROUP INC,Banking,Fixed Income,"538,403.55",0.02,"538,403.55","302,000.00",172967AS0,US172967AS06,2312093,175.68,United States,-,USD,22.8,3.82,1.0,"Feb 15, 2098",6.88,23.11,-,3.82,23.11,3.82,USD,"Feb 15, 1998","Feb 20, 1998"
PUBLIC SERVICE COMPANY OF COLORADO,Electric,Fixed Income,"538,331.95",0.02,"538,331.95","450,000.00",744448CQ2,US744448CQ27,-,119.45,United States,-,USD,16.81,3.03,1.0,"Jun 15, 2048",4.1,17.02,-,3.01,16.83,3.01,USD,"Jun 21, 2018","Jun 21, 2018"
DUKE ENERGY INDIANA LLC,Electric,Fixed Income,"538,062.10",0.02,"538,062.10","516,000.00",26443TAB2,US26443TAB26,-,103.46,United States,-,USD,18.05,3.06,1.0,"Oct 01, 2049",3.25,18.24,-,3.06,18.03,3.06,USD,"Sep 27, 2019","Sep 27, 2019"
GENERAL MILLS INC,Consumer Non-Cyclical,Fixed Income,"537,809.95",0.02,"537,809.95","417,000.00",370334CJ1,US370334CJ19,BFY3D44,128.01,United States,-,USD,16.09,3.13,1.0,"Apr 17, 2048",4.7,16.31,-,3.11,16.13,3.11,USD,"Apr 17, 2018","Apr 17, 2018"
PRUDENTIAL FINANCIAL INC MTN,Insurance,Fixed Income,"537,167.49",0.02,"537,167.49","359,000.00",74432QBN4,US74432QBN43,B64X2G6,149.44,United States,-,USD,12.11,3.09,1.0,"Jun 21, 2040",6.63,12.16,-,3.09,12.16,3.09,USD,"Jun 21, 2010","Jun 21, 2010"
DISCOVERY COMMUNICATIONS LLC,Communications,Fixed Income,"537,201.68",0.02,"537,201.68","445,000.00",25470DAS8,US25470DAS80,BDGS7H4,119.32,United States,-,USD,11.05,3.4,1.0,"Sep 20, 2037",5.0,11.19,-,3.37,10.94,3.37,USD,"Sep 21, 2017","Sep 21, 2017"
CBS CORP,Communications,Fixed Income,"536,967.68",0.02,"536,967.68","442,000.00",124857AJ2,US124857AJ27,B83R5T7,119.06,United States,-,USD,13.22,3.53,1.0,"Jul 01, 2042",4.85,13.37,-,3.51,13.16,3.51,USD,"Jun 20, 2012","Jun 20, 2012"
XCEL ENERGY INC,Electric,Fixed Income,"536,688.75",0.02,"536,688.75","375,000.00",98389BAH3,US98389BAH33,B16NJB3,139.87,United States,-,USD,10.04,3.07,1.0,"Jul 01, 2036",6.5,10.04,-,3.07,10.04,3.07,USD,"Jun 09, 2006","Jun 09, 2006"
REPUBLIC SERVICES INC,Capital Goods,Fixed Income,"536,560.52",0.02,"536,560.52","517,000.00",760759AW0,US760759AW04,-,102.77,United States,-,USD,18.57,2.91,1.0,"Mar 01, 2050",3.05,18.78,-,2.9,18.56,2.9,USD,"Feb 27, 2020","Feb 27, 2020"
ALABAMA POWER COMPANY,Electric,Fixed Income,"536,440.52",0.02,"536,440.52","420,000.00",010392FF0,US010392FF03,B3RNPB8,127.29,United States,-,USD,13.02,3.29,1.0,"Jun 01, 2041",5.2,13.05,-,3.29,13.05,3.29,USD,"May 24, 2011","May 24, 2011"
CONSOLIDATED EDISON COMPANY OF NEW,Electric,Fixed Income,"536,030.28",0.02,"536,030.28","380,000.00",209111ES8,US209111ES80,B3BRLR4,138.68,United States,-,USD,10.7,3.15,1.0,"Aug 15, 2037",6.3,10.7,-,3.15,10.7,3.15,USD,"Aug 28, 2007","Aug 28, 2007"
WALT DISNEY CO MTN,Communications,Fixed Income,"535,000.03",0.02,"535,000.03","515,000.00",25468PDN3,US25468PDN33,BDGTNC4,102.63,United States,-,USD,17.13,2.85,1.0,"Jul 30, 2046",3.0,17.21,-,2.85,17.21,2.85,USD,"Jul 12, 2016","Jul 12, 2016"
NEW YORK AND PRESBYTERIAN HOSPITAL,Consumer Non-Cyclical,Fixed Income,"534,709.83",0.02,"534,709.83","435,000.00",649322AF1,US649322AF16,-,121.27,United States,-,USD,28.19,3.23,1.0,"Aug 01, 2119",3.95,28.65,-,3.23,28.62,3.23,USD,"Oct 29, 2019","Oct 29, 2019"
KINDER MORGAN ENERGY PARTNERS LP,Energy,Fixed Income,"533,820.05",0.02,"533,820.05","470,000.00",28370TAF6,US28370TAF66,B82B6J7,112.8,United States,-,USD,13.5,3.8,1.0,"Nov 01, 2042",4.7,13.62,-,3.79,13.41,3.79,USD,"Nov 08, 2012","Nov 08, 2012"
BOEING CO,Capital Goods,Fixed Income,"533,914.67",0.02,"533,914.67","506,000.00",097023CR4,US097023CR48,BKPHQD0,103.87,United States,-,USD,19.34,3.76,1.0,"Aug 01, 2059",3.95,19.53,-,3.76,19.41,3.76,USD,"Jul 31, 2019","Jul 31, 2019"
NORTHERN NATURAL GAS COMPANY 144A,Energy,Fixed Income,"533,796.50",0.02,"533,796.50","516,000.00",665501AM4,US665501AM40,-,102.74,United States,-,USD,18.49,3.26,1.0,"Oct 16, 2051",3.4,18.68,-,3.25,18.5,3.25,USD,"Apr 09, 2021","Apr 09, 2021"
ATMOS ENERGY CORPORATION,Natural Gas,Fixed Income,"533,531.79",0.02,"533,531.79","455,000.00",049560AM7,US049560AM78,BRJ8Y23,116.39,United States,-,USD,15.08,3.12,1.0,"Oct 15, 2044",4.13,15.26,-,3.1,15.05,3.1,USD,"Oct 15, 2014","Oct 15, 2014"
ROGERS COMMUNICATIONS INC,Communications,Fixed Income,"533,493.40",0.02,"533,493.40","506,000.00",775109BP5,US775109BP56,BKRRKT2,104.96,Canada,-,USD,17.33,3.42,1.0,"Nov 15, 2049",3.7,17.51,-,3.42,17.32,3.42,USD,"Nov 12, 2019","Nov 12, 2019"
BIOGEN INC 144A,Consumer Non-Cyclical,Fixed Income,"533,519.58",0.02,"533,519.58","537,000.00",09062XAJ2,US09062XAJ28,-,98.12,United States,-,USD,18.22,3.35,1.0,"Feb 15, 2051",3.25,18.39,-,3.35,18.39,3.35,USD,"Feb 16, 2021","Feb 16, 2021"
LOEWS CORP,Insurance,Fixed Income,"532,625.18",0.02,"532,625.18","460,000.00",540424AR9,US540424AR93,B9HLNW1,115.26,United States,-,USD,14.46,3.14,1.0,"May 15, 2043",4.13,14.64,-,3.12,14.41,3.12,USD,"May 07, 2013","May 07, 2013"
WELLPOINT INC,Insurance,Fixed Income,"531,850.58",0.02,"531,850.58","390,000.00",94973VAH0,US94973VAH06,B08X3G7,136.11,United States,-,USD,9.66,2.64,1.0,"Dec 15, 2034",5.95,9.66,-,2.64,9.66,2.64,USD,"Dec 09, 2004","May 06, 2005"
LEAR CORPORATION,Consumer Cyclical,Fixed Income,"531,805.83",0.02,"531,805.83","419,000.00",521865AZ8,US521865AZ81,-,126.25,United States,-,USD,15.66,3.71,1.0,"May 15, 2049",5.25,15.84,-,3.7,15.68,3.7,USD,"May 01, 2019","May 01, 2019"
UNITED PARCEL SERVICE INC,Transportation,Fixed Income,"531,875.74",0.02,"531,875.74","391,000.00",911312BV7,US911312BV78,-,134.73,United States,-,USD,12.44,2.76,1.0,"Apr 01, 2040",5.2,12.65,-,2.72,12.42,2.72,USD,"Mar 24, 2020","Mar 24, 2020"
RIO TINTO FINANCE (USA) PLC,Basic Industry,Fixed Income,"531,419.96",0.02,"531,419.96","439,000.00",76720AAG1,US76720AAG13,B8NWTL2,119.56,Australia,-,USD,14.14,2.86,1.0,"Aug 21, 2042",4.13,14.33,-,2.84,14.1,2.84,USD,"Aug 21, 2012","Aug 21, 2012"
HEINEKEN NV 144A,Consumer Non-Cyclical,Fixed Income,"531,453.15",0.02,"531,453.15","450,000.00",423012AE3,US423012AE38,B8068N2,117.1,Netherlands,-,USD,14.45,2.9,1.0,"Oct 01, 2042",4.0,14.51,-,2.9,14.51,2.9,USD,"Oct 10, 2012","Oct 10, 2012"
AON PLC,Insurance,Fixed Income,"531,120.24",0.02,"531,120.24","465,000.00",00185AAB0,US00185AAB08,B9Z9KS2,114.0,United States,-,USD,14.26,3.32,1.0,"Dec 12, 2042",4.25,14.29,-,3.32,14.29,3.32,USD,"Dec 12, 2012","May 13, 2013"
KINDER MORGAN INC,Energy,Fixed Income,"530,854.02",0.02,"530,854.02","547,000.00",49456BAS0,US49456BAS07,-,95.69,United States,-,USD,17.86,3.49,1.0,"Aug 01, 2050",3.25,18.01,-,3.49,18.01,3.49,USD,"Aug 05, 2020","Aug 05, 2020"
BROOKFIELD ASSET MANAGEMENT INC,Brokerage/Asset Managers/Exchanges,Fixed Income,"530,285.37",0.02,"530,285.37","374,000.00",10549PAG6,US10549PAG63,B2Q13B2,139.33,Canada,-,USD,8.13,3.17,1.0,"Mar 01, 2033",7.38,8.1,-,3.17,8.1,3.17,USD,"Mar 04, 2003","Mar 04, 2003"
TENCENT HOLDINGS LTD MTN 144A,Technology,Fixed Income,"530,184.12",0.02,"530,184.12","451,000.00",88032WAQ9,US88032WAQ96,BJRF8B7,116.55,China,-,USD,16.2,3.57,1.0,"Apr 11, 2049",4.53,16.38,-,3.56,16.21,3.56,USD,"Apr 11, 2019","Apr 11, 2019"
CROWN CASTLE INTERNATIONAL CORP,Communications,Fixed Income,"530,059.36",0.02,"530,059.36","541,000.00",22822VAX9,US22822VAX91,-,97.25,United States,-,USD,14.36,3.09,1.0,"Apr 01, 2041",2.9,14.48,-,3.09,14.48,3.09,USD,"Feb 16, 2021","Feb 16, 2021"
WISCONSIN PUBLIC SERVICE CORPORATI,Electric,Fixed Income,"528,708.80",0.02,"528,708.80","475,000.00",976843BH4,US976843BH44,B90MCR9,111.0,United States,-,USD,14.82,2.96,1.0,"Dec 01, 2042",3.67,14.87,-,2.96,14.87,2.96,USD,"Dec 03, 2012","Dec 03, 2012"
AT&T INC,Communications,Fixed Income,"528,415.08",0.02,"528,415.08","380,000.00",00206RDT6,US00206RDT68,BDCL4M1,137.16,United States,-,USD,17.41,3.78,1.0,"Mar 01, 2057",5.7,17.62,-,3.77,17.51,3.77,USD,"Feb 09, 2017","Feb 09, 2017"
PACIFIC LIFECORP 144A,Insurance,Fixed Income,"528,103.62",0.02,"528,103.62","375,000.00",694476AA0,US694476AA03,2171108,138.88,United States,-,USD,8.68,2.7,1.0,"Sep 15, 2033",6.6,8.67,-,2.7,8.67,2.7,USD,"Sep 08, 2003","Sep 08, 2003"
EMPRESA NACIONAL DEL PETROLEO ENAP 144A,Owned No Guarantee,Fixed Income,"528,084.81",0.02,"528,084.81","531,000.00",29245JAK8,US29245JAK88,BDQZCX6,98.13,Chile,-,USD,14.76,4.62,1.0,"Sep 14, 2047",4.5,14.84,-,4.62,14.84,4.62,USD,"Sep 14, 2017","Sep 14, 2017"
STRYKER CORPORATION,Consumer Non-Cyclical,Fixed Income,"528,025.52",0.02,"528,025.52","525,000.00",863667AZ4,US863667AZ46,-,100.45,United States,-,USD,19.08,2.88,1.0,"Jun 15, 2050",2.9,19.28,-,2.88,19.06,2.88,USD,"Jun 04, 2020","Jun 04, 2020"
