,,,,,,,,,,,,,,,,,,,,,,,,,,iShares California Muni Bond ETF
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"1,213,305.00",0.06,"1,213,305.00","1,000,000.00",5446464Y5,US5446464Y56,-,118.83,United States,-,USD,5.07,2.52,1.0,"Jul 01, 2030",5.0,6.94,-,0.74,4.03,0.74,USD,"Sep 15, 2016","Sep 15, 2016"
LOS ANGELES CNTY CALIF MET TRA,Local Tax-Backed,Fixed Income,"1,212,937.74",0.06,"1,212,937.74","1,045,000.00",54466HJG2,US54466HJG20,-,115.65,United States,-,USD,3.19,0.38,1.0,"Jun 01, 2025",5.0,3.19,-,0.38,3.19,0.38,USD,"Aug 27, 2020","Aug 27, 2020"
CALIFORNIA ST UNIV REV,Education,Fixed Income,"1,211,806.20",0.06,"1,211,806.20","1,015,000.00",13077C3L6,US13077C3L69,-,118.56,United States,-,USD,4.87,2.39,1.0,"Nov 01, 2029",5.0,6.57,-,0.65,3.95,0.65,USD,"Apr 20, 2016","Apr 20, 2016"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"1,208,956.13",0.06,"1,208,956.13","1,000,000.00",13063DVD7,US13063DVD73,-,119.56,United States,-,USD,9.36,2.52,1.0,"Mar 01, 2038",4.0,12.17,-,1.45,7.03,1.45,USD,"Apr 22, 2020","Apr 22, 2020"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"1,208,372.27",0.06,"1,208,372.27","1,000,000.00",13063CS43,US13063CS431,-,119.17,United States,-,USD,5.41,2.73,1.0,"Sep 01, 2031",5.0,7.75,-,0.81,4.19,0.81,USD,"Apr 28, 2016","Apr 28, 2016"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"1,208,372.27",0.06,"1,208,372.27","1,000,000.00",13063C2C3,US13063C2C38,-,119.17,United States,-,USD,5.41,2.73,1.0,"Sep 01, 2031",5.0,7.75,-,0.81,4.19,0.81,USD,"Sep 13, 2016","Sep 13, 2016"
UNIVERSITY CALIF REVS,Education,Fixed Income,"1,205,670.11",0.06,"1,205,670.11","1,000,000.00",91412HGZ0,US91412HGZ01,-,120.06,United States,-,USD,9.29,2.43,1.0,"May 15, 2037",4.0,11.81,-,1.45,7.24,1.45,USD,"Jul 16, 2020","Jul 16, 2020"
LOS ANGELES CALIF DEPT ARPTS R,Transportation,Fixed Income,"1,202,066.61",0.06,"1,202,066.61","1,000,000.00",544445QL6,US544445QL64,-,119.7,United States,-,USD,9.98,2.64,1.0,"May 15, 2040",4.0,13.46,-,1.49,7.23,1.49,USD,"Aug 27, 2020","Aug 27, 2020"
CALIFORNIA ST DEPT WTR RES CEN,Prerefund/Escrow,Fixed Income,"1,201,490.51",0.06,"1,201,490.51","1,055,000.00",13067WKS0,US13067WKS07,-,113.47,United States,-,USD,2.75,0.35,1.0,"Dec 01, 2024",5.0,2.75,-,0.35,2.75,0.35,USD,"Oct 30, 2014","Oct 30, 2014"
DESERT CALIF CMNTY COLLEGE DIS,Prerefund/Escrow,Fixed Income,"1,201,457.63",0.06,"1,201,457.63","1,000,000.00",250375GK2,US250375GK24,-,118.06,United States,-,USD,3.71,0.52,1.0,"Feb 01, 2026",5.0,3.7,-,0.52,3.7,0.52,USD,"Feb 10, 2016","Feb 10, 2016"
SAN FRANCISCO CALIF BAY AREA R,Local Tax-Backed,Fixed Income,"1,201,295.67",0.06,"1,201,295.67","1,000,000.00",797661YF6,US797661YF63,-,118.46,United States,-,USD,9.82,2.88,1.0,"Aug 01, 2044",4.0,14.42,-,1.42,6.57,1.42,USD,"Aug 14, 2019","Aug 14, 2019"
SACRAMENTO CNTY CALIF ARPT SYS,Transportation,Fixed Income,"1,200,911.60",0.06,"1,200,911.60","1,000,000.00",786107PC0,US786107PC05,-,117.59,United States,-,USD,6.27,3.72,1.0,"Jul 01, 2041",5.0,12.5,-,0.99,4.02,0.99,USD,"Dec 21, 2016","Dec 21, 2016"
FREMONT CALIF UNI SCH DIST ALA,Prerefund/Escrow,Fixed Income,"1,200,024.47",0.06,"1,200,024.47","1,080,000.00",3571546T5,US3571546T52,-,109.45,United States,-,USD,2.45,0.32,1.0,"Aug 01, 2024",4.0,2.44,-,0.32,2.44,0.32,USD,"Dec 09, 2014","Dec 09, 2014"
SAN FRANCISCO CALIF CITY & CNT,Utility,Fixed Income,"1,198,983.09",0.06,"1,198,983.09","1,035,000.00",79765RH77,US79765RH771,-,115.18,United States,-,USD,5.69,2.11,1.0,"Nov 01, 2030",4.0,7.51,-,0.79,4.43,0.79,USD,"Oct 20, 2016","Oct 20, 2016"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"1,197,312.17",0.06,"1,197,312.17","1,000,000.00",13063CV23,US13063CV237,-,118.06,United States,-,USD,7.38,3.86,1.0,"Sep 01, 2046",5.0,14.8,-,1.03,4.18,1.03,USD,"Sep 13, 2016","Sep 13, 2016"
LOS ANGELES CALIF DEPT ARPTS R,Transportation,Fixed Income,"1,197,195.49",0.06,"1,197,195.49","1,000,000.00",544445PC7,US544445PC74,-,119.08,United States,-,USD,3.99,0.57,1.0,"May 15, 2026",5.0,3.99,-,0.57,3.99,0.57,USD,"Mar 11, 2020","Mar 11, 2020"
SAN DIEGO CALIF UNI SCH DIST,School Districts,Fixed Income,"1,196,095.00",0.06,"1,196,095.00","1,000,000.00",7973558W7,US7973558W72,-,117.61,United States,-,USD,10.54,3.05,1.0,"Jul 01, 2049",4.0,16.63,-,1.51,6.48,1.51,USD,"Oct 30, 2019","Oct 30, 2019"
SAN FRANCISCO CALIF CITY & CNT,Transportation,Fixed Income,"1,195,781.33",0.06,"1,195,781.33","1,000,000.00",79766DGB9,US79766DGB91,-,118.74,United States,-,USD,3.95,0.61,1.0,"May 01, 2026",5.0,3.95,-,0.61,3.95,0.61,USD,"Feb 25, 2016","Feb 25, 2016"
SACRAMENTO CALIF TRANSIENT OCC,Local Tax-Backed,Fixed Income,"1,194,150.17",0.06,"1,194,150.17","1,000,000.00",786073AV8,US786073AV82,-,119.0,United States,-,USD,8.44,3.71,1.0,"Jun 01, 2043",5.0,13.01,-,1.85,5.58,1.85,USD,"Nov 01, 2018","Nov 01, 2018"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"1,191,262.13",0.06,"1,191,262.13","1,000,000.00",13063DUR7,US13063DUR78,-,117.79,United States,-,USD,10.81,2.96,1.0,"Mar 01, 2046",4.0,16.02,-,1.66,7.02,1.66,USD,"Apr 22, 2020","Apr 22, 2020"
SANTA MONICA-MALIBU UNI SCH DI,School Districts,Fixed Income,"1,189,984.30",0.06,"1,189,984.30","1,000,000.00",802498XL4,US802498XL48,-,117.0,United States,-,USD,10.69,3.1,1.0,"Aug 01, 2050",4.0,17.28,-,1.61,6.54,1.61,USD,"Jul 01, 2021","Jul 01, 2021"
METROPOLITAN WTR DIST SOUTHN C,Utility,Fixed Income,"1,188,997.00",0.06,"1,188,997.00","1,000,000.00",59266TME8,US59266TME81,-,116.4,United States,-,USD,4.74,2.82,1.0,"Jul 01, 2030",5.0,6.91,-,0.82,3.61,0.82,USD,"Jun 30, 2016","Jun 30, 2016"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"1,188,568.70",0.06,"1,188,568.70","1,000,000.00",544495S47,US544495S475,-,116.36,United States,-,USD,6.67,3.95,1.0,"Jul 01, 2046",5.0,14.04,-,0.83,3.61,0.83,USD,"May 19, 2016","May 19, 2016"
LONG BEACH CA UNIF SCH DIST,School Districts,Fixed Income,"1,184,944.78",0.06,"1,184,944.78","1,750,000.00",542433QH3,US542433QH35,-,67.71,United States,-,USD,6.21,3.39,1.0,"Aug 01, 2033",0.0,11.2,-,1.35,3.04,1.35,USD,"Feb 19, 2015","Feb 19, 2015"
SACRAMENTO CALIF AREA FLOOD CT,Other Industries,Fixed Income,"1,183,683.00",0.06,"1,183,683.00","1,000,000.00",785840JQ3,US785840JQ35,-,117.12,United States,-,USD,7.47,3.94,1.0,"Oct 01, 2047",5.0,14.68,-,1.27,4.26,1.27,USD,"Dec 07, 2016","Dec 07, 2016"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"1,183,122.43",0.06,"1,183,122.43","1,000,000.00",13063CUV0,US13063CUV08,-,116.23,United States,-,USD,3.93,2.33,1.0,"Aug 01, 2028",5.0,5.6,-,0.43,3.28,0.43,USD,"Sep 09, 2015","Sep 09, 2015"
MOUNT SAN ANTONIO CALIF CMNTY,School Districts,Fixed Income,"1,182,650.30",0.06,"1,182,650.30","1,000,000.00",623040FV9,US623040FV90,-,118.27,United States,-,USD,5.28,1.49,1.0,"Aug 01, 2028",0.0,5.41,-,1.18,5.22,1.18,USD,"Aug 01, 2013","Aug 01, 2013"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"1,181,231.70",0.06,"1,181,231.70","1,000,000.00",544647DV9,US544647DV97,-,115.62,United States,-,USD,3.2,0.49,1.0,"Jul 01, 2025",5.0,3.2,-,0.49,3.2,0.49,USD,"Apr 29, 2021","Apr 29, 2021"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"1,180,800.53",0.06,"1,180,800.53","1,000,000.00",13063CVP2,US13063CVP21,-,116.0,United States,-,USD,3.28,0.49,1.0,"Aug 01, 2025",5.0,3.28,-,0.49,3.28,0.49,USD,"Sep 09, 2015","Sep 09, 2015"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"1,179,974.47",0.06,"1,179,974.47","1,000,000.00",13063CYE4,US13063CYE47,-,116.33,United States,-,USD,3.37,0.5,1.0,"Sep 01, 2025",5.0,3.36,-,0.5,3.36,0.5,USD,"Nov 03, 2015","Nov 03, 2015"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"1,179,131.50",0.06,"1,179,131.50","1,000,000.00",13063DFV5,US13063DFV55,-,116.66,United States,-,USD,3.45,0.51,1.0,"Oct 01, 2025",5.0,3.45,-,0.51,3.45,0.51,USD,"Mar 15, 2018","Mar 15, 2018"
CALIFORNIA ST PUB WKS BRD LEAS,State Tax-Backed,Fixed Income,"1,177,510.60",0.06,"1,177,510.60","1,000,000.00",13068LG90,US13068LG907,-,116.5,United States,-,USD,3.45,0.55,1.0,"Oct 01, 2025",5.0,3.45,-,0.55,3.45,0.55,USD,"Apr 20, 2017","Apr 20, 2017"
SAN FRANCISCO CALIF CITY & CNT,Utility,Fixed Income,"1,175,725.40",0.06,"1,175,725.40","1,000,000.00",79768HET1,US79768HET14,-,116.57,United States,-,USD,9.04,2.96,1.0,"Oct 01, 2043",4.0,13.98,-,1.24,5.57,1.24,USD,"Aug 09, 2018","Aug 09, 2018"
SAN FRANCISCO CALIF BAY AREA R,Local Tax-Backed,Fixed Income,"1,175,552.50",0.06,"1,175,552.50","1,000,000.00",797669ZD3,US797669ZD33,-,115.56,United States,-,USD,7.7,2.76,1.0,"Jul 01, 2037",4.0,11.64,-,1.08,4.92,1.08,USD,"Oct 31, 2019","Oct 31, 2019"
SAN FRANCISCO CALIF BAY AREA R,Local Tax-Backed,Fixed Income,"1,174,295.97",0.06,"1,174,295.97","1,000,000.00",797661WQ4,US797661WQ47,-,115.76,United States,-,USD,8.18,2.97,1.0,"Aug 01, 2042",4.0,13.36,-,1.08,5.0,1.08,USD,"Jun 01, 2017","Jun 01, 2017"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"1,173,349.70",0.06,"1,173,349.70","1,000,000.00",5446464P4,US5446464P40,-,114.83,United States,-,USD,4.18,2.79,1.0,"Jul 01, 2029",5.0,6.22,-,0.7,3.2,0.7,USD,"Apr 05, 2016","Apr 05, 2016"
GROSSMONT-CUYAMACA CALIF CMNTY,School Districts,Fixed Income,"1,169,760.67",0.06,"1,169,760.67","1,000,000.00",399267GT4,US399267GT47,-,115.31,United States,-,USD,9.83,3.13,1.0,"Aug 01, 2047",4.0,16.06,-,1.55,5.79,1.55,USD,"Jul 17, 2018","Jul 17, 2018"
HAYWARD CALIF UNI SCH DIST,School Districts,Fixed Income,"1,167,031.67",0.06,"1,167,031.67","1,000,000.00",4212905B9,US4212905B99,-,115.04,United States,-,USD,9.46,3.16,1.0,"Aug 01, 2048",4.0,16.27,-,1.59,5.78,1.59,USD,"Mar 20, 2019","Mar 20, 2019"
LOS ANGELES CALIF CMNTY COLLEG,School Districts,Fixed Income,"1,166,547.07",0.06,"1,166,547.07","1,000,000.00",54438CXW7,US54438CXW71,-,114.99,United States,-,USD,6.13,2.6,1.0,"Aug 01, 2034",4.0,9.94,-,0.67,4.19,0.67,USD,"Dec 30, 2019","Dec 30, 2019"
CHABOT-LAS POSITAS CA CMNTY CLG DI,School Districts,Fixed Income,"1,164,748.07",0.06,"1,164,748.07","1,000,000.00",15722THP9,US15722THP93,-,114.81,United States,-,USD,8.94,3.15,1.0,"Aug 01, 2047",4.0,15.67,-,1.25,5.0,1.25,USD,"Oct 19, 2017","Oct 19, 2017"
RIVERSIDE CALIF UNI SCH DIST,School Districts,Fixed Income,"1,164,367.97",0.06,"1,164,367.97","1,000,000.00",769059ZV1,US769059ZV12,-,114.77,United States,-,USD,8.65,3.03,1.0,"Aug 01, 2042",4.0,14.06,-,1.25,5.0,1.25,USD,"Dec 17, 2019","Dec 17, 2019"
SACRAMENTO CALIF MUN UTIL DIST,Utility,Fixed Income,"1,164,040.69",0.06,"1,164,040.69","1,000,000.00",786005ZW1,US786005ZW10,-,114.52,United States,-,USD,3.46,1.08,1.0,"Oct 15, 2025",5.0,3.45,-,1.08,3.45,1.08,USD,"Jul 25, 2019","Jul 25, 2019"
SOUTHERN CALIF WTR REPLENISHME,Utility,Fixed Income,"1,163,181.03",0.06,"1,163,181.03","1,000,000.00",84251KAY1,US84251KAY10,-,114.23,United States,-,USD,5.81,3.95,1.0,"Aug 01, 2041",5.0,12.09,-,0.95,3.27,0.95,USD,"Dec 29, 2015","Dec 29, 2015"
CHABOT-LAS POSITAS CALIF CMNTY,School Districts,Fixed Income,"1,162,927.67",0.06,"1,162,927.67","1,000,000.00",15722TGL9,US15722TGL98,-,114.63,United States,-,USD,6.14,2.53,1.0,"Aug 01, 2033",4.0,9.3,-,0.75,4.18,0.75,USD,"Jul 28, 2016","Jul 28, 2016"
CHABOT-LAS POSITAS CALIF CMNTY,School Districts,Fixed Income,"1,161,682.67",0.06,"1,161,682.67","1,000,000.00",15722TGN5,US15722TGN54,-,114.5,United States,-,USD,6.3,2.64,1.0,"Aug 01, 2034",4.0,9.93,-,0.77,4.18,0.77,USD,"Jul 28, 2016","Jul 28, 2016"
DESERT SANDS CALIF UNI SCH DIS,School Districts,Fixed Income,"1,160,801.87",0.06,"1,160,801.87","1,000,000.00",250433TT6,US250433TT61,-,114.41,United States,-,USD,8.79,3.11,1.0,"Aug 01, 2044",4.0,14.53,-,1.31,4.99,1.31,USD,"Feb 27, 2019","Feb 27, 2019"
SAN DIEGO CALIF PUB FACS FING,Utility,Fixed Income,"1,159,248.09",0.06,"1,159,248.09","1,000,000.00",79730AJB5,US79730AJB52,-,115.29,United States,-,USD,3.14,0.43,1.0,"May 15, 2025",5.0,3.14,-,0.43,3.14,0.43,USD,"Sep 24, 2015","Sep 24, 2015"
EAST BAY CALIF MUN UTIL DIST W,Utility,Fixed Income,"1,158,494.87",0.06,"1,158,494.87","1,000,000.00",271014YU0,US271014YU07,-,115.43,United States,-,USD,3.65,1.98,1.0,"Jun 01, 2027",5.0,4.8,-,0.44,3.18,0.44,USD,"Mar 03, 2015","Mar 03, 2015"
HAYWARD CALIF AREA REC & PK DI,Local Tax-Backed,Fixed Income,"1,157,421.77",0.06,"1,157,421.77","1,000,000.00",421207BJ9,US421207BJ98,-,114.08,United States,-,USD,8.92,3.17,1.0,"Aug 01, 2046",4.0,15.39,-,1.37,4.99,1.37,USD,"Jun 07, 2017","Jun 07, 2017"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"1,156,893.90",0.06,"1,156,893.90","1,000,000.00",544495M27,US544495M270,-,113.19,United States,-,USD,3.97,3.21,1.0,"Jul 01, 2030",5.0,6.87,-,0.56,2.77,0.56,USD,"Apr 16, 2015","Apr 16, 2015"
SAN FRANCISCO CALIF CITY & CNT,Utility,Fixed Income,"1,153,154.13",0.06,"1,153,154.13","1,000,000.00",79765RE54,US79765RE547,-,114.48,United States,-,USD,4.55,3.39,1.0,"Nov 01, 2032",5.0,8.47,-,0.6,3.1,0.6,USD,"Apr 16, 2015","Apr 16, 2015"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"1,152,021.35",0.06,"1,152,021.35","1,010,000.00",544495F25,US544495F258,-,111.56,United States,-,USD,2.49,1.59,1.0,"Jul 01, 2025",5.0,3.18,-,0.35,2.33,0.35,USD,"Aug 05, 2014","Aug 05, 2014"
SAN DIEGO CALIF PUB FACS FING,Local Tax-Backed,Fixed Income,"1,151,238.16",0.06,"1,151,238.16","1,000,000.00",797299KD5,US797299KD53,-,114.07,United States,-,USD,6.34,4.05,1.0,"Oct 15, 2044",5.0,12.58,-,1.19,3.47,1.19,USD,"Apr 21, 2015","Apr 21, 2015"
UNIVERSITY CALIF REVS FOR PREV,Education,Fixed Income,"1,149,331.46",0.06,"1,149,331.46","970,000.00",91412GJ22,US91412GJ229,-,117.85,United States,-,USD,6.62,3.7,1.0,"May 15, 2041",5.0,12.44,-,0.83,3.98,0.83,USD,"Apr 20, 2016","Apr 20, 2016"
UNIVERSITY CALIF REVS FOR PREV,Education,Fixed Income,"1,148,412.89",0.06,"1,148,412.89","1,000,000.00",91412GWE1,US91412GWE15,-,114.2,United States,-,USD,5.45,3.91,1.0,"May 15, 2040",5.0,11.48,-,0.73,3.13,0.73,USD,"Mar 25, 2015","Mar 25, 2015"
CALIFORNIA ST DEPT WTR RES CEN,Utility,Fixed Income,"1,145,376.53",0.06,"1,145,376.53","1,000,000.00",13067WME9,US13067WME92,-,114.2,United States,-,USD,7.07,2.76,1.0,"Dec 01, 2035",4.0,10.86,-,1.03,4.51,1.03,USD,"Oct 20, 2016","Oct 20, 2016"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"1,143,611.65",0.06,"1,143,611.65","960,000.00",13063DTK4,US13063DTK45,-,117.79,United States,-,USD,10.81,2.96,1.0,"Mar 01, 2046",4.0,16.02,-,1.66,7.02,1.66,USD,"Mar 19, 2020","Mar 19, 2020"
SAN FRANCISCO CALIF CITY & CNT,Transportation,Fixed Income,"1,142,734.40",0.06,"1,142,734.40","1,025,000.00",79766DMF3,US79766DMF32,-,110.65,United States,-,USD,2.22,0.41,1.0,"May 01, 2024",5.0,2.22,-,0.41,2.22,0.41,USD,"Feb 07, 2019","Feb 07, 2019"
SAN DIEGO CALIF UNI SCH DIST,School Districts,Fixed Income,"1,141,112.90",0.06,"1,141,112.90","1,030,000.00",797356BU5,US797356BU53,-,109.29,United States,-,USD,10.8,2.35,1.0,"Jul 01, 2039",3.0,13.59,-,1.82,7.45,1.82,USD,"Aug 27, 2020","Aug 27, 2020"
UNIVERSITY CALIF REVS,Education,Fixed Income,"1,140,625.97",0.06,"1,140,625.97","950,000.00",91412HJF1,US91412HJF10,-,119.55,United States,-,USD,11.28,2.88,1.0,"May 15, 2046",4.0,15.44,-,1.73,7.95,1.73,USD,"Mar 10, 2021","Mar 10, 2021"
METROPOLITAN WTR DIST SOUTHN C,Utility,Fixed Income,"1,139,555.10",0.06,"1,139,555.10","1,000,000.00",59266TQV6,US59266TQV60,-,111.46,United States,-,USD,2.33,0.39,1.0,"Jul 01, 2024",5.0,2.33,-,0.39,2.33,0.39,USD,"Jun 27, 2019","Jun 27, 2019"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"1,139,008.47",0.06,"1,139,008.47","1,000,000.00",13063CYD6,US13063CYD63,-,112.23,United States,-,USD,2.51,0.38,1.0,"Sep 01, 2024",5.0,2.5,-,0.38,2.5,0.38,USD,"Nov 03, 2015","Nov 03, 2015"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"1,139,008.47",0.06,"1,139,008.47","1,000,000.00",13063CR36,US13063CR367,-,112.23,United States,-,USD,2.51,0.38,1.0,"Sep 01, 2024",5.0,2.5,-,0.38,2.5,0.38,USD,"Apr 28, 2016","Apr 28, 2016"
LOS ANGELES CALIF HBR DEPT REV,Transportation,Fixed Income,"1,138,341.27",0.06,"1,138,341.27","1,000,000.00",544552ZY1,US544552ZY18,-,112.17,United States,-,USD,7.16,3.1,1.0,"Aug 01, 2039",4.0,12.12,-,1.26,4.17,1.26,USD,"Oct 13, 2016","Oct 13, 2016"
SAN DIEGO CALIF PUB FACS FING,Utility,Fixed Income,"1,138,182.93",0.06,"1,138,182.93","1,000,000.00",79730CGP3,US79730CGP32,-,111.73,United States,-,USD,2.42,0.43,1.0,"Aug 01, 2024",5.0,2.41,-,0.43,2.41,0.43,USD,"Jun 23, 2016","Jun 23, 2016"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"1,137,967.30",0.06,"1,137,967.30","1,000,000.00",544646S86,US544646S861,-,111.3,United States,-,USD,2.49,1.66,1.0,"Jul 01, 2025",5.0,3.17,-,0.45,2.33,0.45,USD,"Jun 26, 2014","Jun 26, 2014"
LOS ANGELES CNTY CALIF MET TRA,Local Tax-Backed,Fixed Income,"1,136,053.16",0.06,"1,136,053.16","930,000.00",54466HJP2,US54466HJP29,-,121.82,United States,-,USD,8.89,2.12,1.0,"Jun 01, 2035",4.0,10.69,-,1.26,7.3,1.26,USD,"Aug 27, 2020","Aug 27, 2020"
SACRAMENTO CNTY CALIF SANTN DI,Utility,Fixed Income,"1,135,867.75",0.06,"1,135,867.75","875,000.00",786134WA0,US786134WA05,-,129.4,United States,-,USD,10.58,3.4,1.0,"Dec 01, 2050",5.0,16.26,-,1.47,7.45,1.47,USD,"Jul 14, 2020","Jul 14, 2020"
SAN MATEO FOSTER CITY CALIF PU,Utility,Fixed Income,"1,134,989.62",0.06,"1,134,989.62","880,000.00",79905VAX9,US79905VAX91,-,126.89,United States,-,USD,9.52,3.48,1.0,"Aug 01, 2049",5.0,15.49,-,1.27,6.41,1.27,USD,"Jun 04, 2019","Jun 04, 2019"
FOOTHILL / EASTERN TRANSN CORR,Prerefund/Escrow,Fixed Income,"1,134,493.54",0.06,"1,134,493.54","1,165,000.00",345105BA7,US345105BA75,-,97.38,United States,-,USD,4.0,0.66,1.0,"Jan 01, 2026",0.0,3.98,-,0.66,3.98,0.66,USD,"Jun 08, 1995","Jun 08, 1995"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"1,133,191.20",0.06,"1,133,191.20","1,000,000.00",13063CMX5,US13063CMX55,-,112.07,United States,-,USD,3.98,3.63,1.0,"Oct 01, 2032",5.0,8.35,-,0.57,2.58,0.57,USD,"Oct 07, 2014","Oct 07, 2014"
SOUTH SAN FRANCISCO CALIF UNI,School Districts,Fixed Income,"1,132,104.83",0.06,"1,132,104.83","1,000,000.00",840058UL3,US840058UL35,-,111.88,United States,-,USD,5.85,3.04,1.0,"Sep 01, 2037",4.0,10.92,-,0.71,3.41,0.71,USD,"Jun 21, 2016","Jun 21, 2016"
SAN FRANCISCO CALIF CITY & CNT,Prerefund/Escrow,Fixed Income,"1,131,742.25",0.06,"1,131,742.25","1,105,000.00",79765RXP9,US79765RXP99,-,101.59,United States,-,USD,0.33,0.23,1.0,"May 01, 2022",5.0,0.33,-,0.23,0.33,0.23,USD,"Jun 07, 2012","Jun 07, 2012"
CALIFORNIA ST PUB WKS BRD LEAS,State Tax-Backed,Fixed Income,"1,131,381.07",0.06,"1,131,381.07","1,000,000.00",13068LMJ1,US13068LMJ16,-,111.47,United States,-,USD,3.9,3.69,1.0,"Sep 01, 2032",5.0,8.26,-,0.65,2.49,0.65,USD,"Apr 03, 2014","Apr 03, 2014"
CALIFORNIA ST PUB WKS BRD LEAS,State Tax-Backed,Fixed Income,"1,130,537.47",0.06,"1,130,537.47","1,000,000.00",13068LMZ5,US13068LMZ57,-,111.39,United States,-,USD,4.39,3.85,1.0,"Sep 01, 2034",5.0,9.4,-,0.68,2.49,0.68,USD,"Apr 03, 2014","Apr 03, 2014"
SAN FRANCISCO CALIF CITY & CNT,Transportation,Fixed Income,"1,126,401.58",0.06,"1,126,401.58","1,100,000.00",79766DDP1,US79766DDP15,-,101.57,United States,-,USD,0.4,4.6,1.0,"May 01, 2026",5.0,3.83,-,0.29,0.33,0.29,USD,"Mar 22, 2012","Mar 22, 2012"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"1,122,385.04",0.06,"1,122,385.04","1,025,000.00",544495ZR8,US544495ZR82,-,107.0,United States,-,USD,1.51,2.11,1.0,"Jul 01, 2024",5.0,2.31,-,0.32,1.43,0.32,USD,"Jun 04, 2013","Jun 04, 2013"
SAN DIEGO CALIF CMNTY COLLEGE,Prerefund/Escrow,Fixed Income,"1,122,227.38",0.06,"1,122,227.38","1,070,000.00",797272LQ2,US797272LQ25,-,102.8,United States,-,USD,0.57,0.2,1.0,"Aug 01, 2022",5.0,0.57,-,0.2,0.57,0.2,USD,"Mar 22, 2012","Mar 22, 2012"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"1,119,812.80",0.06,"1,119,812.80","1,045,000.00",544495ZE7,US544495ZE79,-,104.66,United States,-,USD,1.05,3.05,1.0,"Jul 01, 2024",5.0,2.3,-,0.33,0.97,0.33,USD,"Apr 02, 2013","Apr 02, 2013"
LOS ANGELES CNTY CALIF MET TRA,Local Tax-Backed,Fixed Income,"1,117,389.57",0.06,"1,117,389.57","1,000,000.00",54466HJF4,US54466HJF47,-,111.32,United States,-,USD,2.31,0.29,1.0,"Jun 01, 2024",5.0,2.3,-,0.29,2.3,0.29,USD,"Aug 27, 2020","Aug 27, 2020"
SOUTHERN CALIF WTR REPLENISHME,Utility,Fixed Income,"1,114,627.07",0.06,"1,114,627.07","1,000,000.00",84251KAX3,US84251KAX37,-,109.8,United States,-,USD,7.04,3.39,1.0,"Aug 01, 2045",4.0,14.77,-,1.2,3.32,1.2,USD,"Dec 29, 2015","Dec 29, 2015"
SOUTHERN CALIF PUB PWR AUTH RE,Utility,Fixed Income,"1,111,894.10",0.06,"1,111,894.10","1,000,000.00",84247PLL3,US84247PLL30,-,108.69,United States,-,USD,3.02,3.79,1.0,"Jul 01, 2030",5.0,6.81,-,0.62,1.88,0.62,USD,"May 27, 2020","May 27, 2020"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"1,111,359.65",0.06,"1,111,359.65","1,060,000.00",544525QG6,US544525QG64,-,102.35,United States,-,USD,1.81,4.82,1.0,"Jul 01, 2043",5.0,11.92,-,0.3,0.49,0.3,USD,"Aug 09, 2012","Aug 09, 2012"
SANTA MONICA CALIF CMNTY COLLE,Prerefund/Escrow,Fixed Income,"1,111,133.77",0.06,"1,111,133.77","1,000,000.00",802385MZ4,US802385MZ41,-,109.45,United States,-,USD,2.45,0.32,1.0,"Aug 01, 2024",4.0,2.44,-,0.32,2.44,0.32,USD,"Nov 13, 2014","Nov 13, 2014"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"1,109,446.45",0.06,"1,109,446.45","1,050,000.00",13063CKQ2,US13063CKQ23,-,104.99,United States,-,USD,1.3,0.25,1.0,"May 01, 2023",4.0,1.3,-,0.25,1.3,0.25,USD,"May 01, 2014","May 01, 2014"
