,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2024 Term Muni Bond ETF
ALDINE TEX INDPT SCH DIST,Municipals,Fixed Income,"156,327.29",0.06,"156,327.29","140,000.00",014393VE9,US014393VE96,-,109.77,United States,-,USD,2.01,0.37,1.0,"Feb 15, 2024",5.0,2.01,-,0.37,2.01,0.37,USD,"Feb 01, 2016","Feb 01, 2016"
METROPOLITAN COUNCIL MINN MINN,Government Related,Fixed Income,"156,291.75",0.06,"156,291.75","140,000.00",591852E46,US591852E461,-,109.97,United States,-,USD,2.05,0.38,1.0,"Mar 01, 2024",5.0,2.05,-,0.38,2.05,0.38,USD,"May 18, 2017","May 18, 2017"
CHARLOTTE N C,Government Related,Fixed Income,"156,291.04",0.06,"156,291.04","140,000.00",161035HS2,US161035HS26,-,111.22,United States,-,USD,2.31,0.33,1.0,"Jun 01, 2024",5.0,2.3,-,0.33,2.3,0.33,USD,"Aug 15, 2019","Aug 15, 2019"
OHIO ST,Government Related,Fixed Income,"156,253.36",0.06,"156,253.36","140,000.00",677522RJ5,US677522RJ53,-,110.78,United States,-,USD,2.22,0.36,1.0,"May 01, 2024",5.0,2.22,-,0.36,2.22,0.36,USD,"Oct 03, 2017","Oct 03, 2017"
NEW JERSEY ST TPK AUTH TPK REV,Government Related,Fixed Income,"156,162.36",0.06,"156,162.36","140,000.00",6461395P6,US6461395P67,-,109.04,United States,-,USD,1.89,0.45,1.0,"Jan 01, 2024",5.0,1.89,-,0.45,1.89,0.45,USD,"Oct 07, 2014","Oct 07, 2014"
LOS ANGELES CALIF DEPT ARPTS R,Corporates,Fixed Income,"156,150.31",0.06,"156,150.31","140,000.00",544445KS7,US544445KS71,-,110.9,United States,-,USD,2.26,0.38,1.0,"May 15, 2024",5.0,2.26,-,0.38,2.26,0.38,USD,"Mar 12, 2019","Mar 12, 2019"
MASSACHUSETTS ST,Government Related,Fixed Income,"155,668.27",0.06,"155,668.27","135,000.00",57582NJ22,US57582NJ227,-,114.85,United States,-,USD,2.74,0.38,1.0,"Dec 01, 2024",5.5,2.73,-,0.38,2.73,0.38,USD,"Nov 18, 2004","Nov 18, 2004"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"155,309.15",0.06,"155,309.15","140,000.00",64972HWN8,US64972HWN87,-,109.09,United States,-,USD,2.4,0.4,1.0,"Jul 15, 2024",4.0,2.4,-,0.4,2.4,0.4,USD,"Jun 25, 2015","Jun 25, 2015"
MASSACHUSETTS BAY MA TRANSPRTN AUT,Corporates,Fixed Income,"154,018.85",0.06,"154,018.85","135,000.00",575577NC1,US575577NC13,-,111.59,United States,-,USD,2.33,0.34,1.0,"Jul 01, 2024",5.0,2.33,-,0.34,2.33,0.34,USD,"Aug 03, 2016","Aug 03, 2016"
TENNESSEE ST,Government Related,Fixed Income,"153,950.90",0.06,"153,950.90","135,000.00",880541VK0,US880541VK02,-,111.95,United States,-,USD,2.42,0.35,1.0,"Aug 01, 2024",5.0,2.42,-,0.35,2.42,0.35,USD,"Nov 18, 2015","Nov 18, 2015"
KING CNTY WASH SWR REV,Government Related,Fixed Income,"153,911.48",0.06,"153,911.48","135,000.00",495290AP3,US495290AP36,-,111.51,United States,-,USD,2.33,0.37,1.0,"Jul 01, 2024",5.0,2.33,-,0.37,2.33,0.37,USD,"Nov 15, 2018","Nov 15, 2018"
ROUND ROCK TEX INDPT SCH DIST,Government Related,Fixed Income,"153,839.74",0.06,"153,839.74","135,000.00",779240KZ2,US779240KZ22,-,111.87,United States,-,USD,2.42,0.38,1.0,"Aug 01, 2024",5.0,2.41,-,0.38,2.41,0.38,USD,"Nov 02, 2016","Oct 01, 2016"
WAKE CNTY N C LTD OBLIG,Government Related,Fixed Income,"153,839.74",0.06,"153,839.74","135,000.00",930876DH7,US930876DH72,-,111.87,United States,-,USD,2.42,0.38,1.0,"Aug 01, 2024",5.0,2.41,-,0.38,2.41,0.38,USD,"Jun 28, 2018","Jun 28, 2018"
WASHINGTON ST FOR ISSUES DTD P,Government Related,Fixed Income,"153,728.68",0.06,"153,728.68","135,000.00",93974DSF6,US93974DSF68,-,111.79,United States,-,USD,2.42,0.41,1.0,"Aug 01, 2024",5.0,2.41,-,0.41,2.41,0.41,USD,"Oct 08, 2015","Oct 08, 2015"
ENERGY NORTHWEST WASH ELEC REV,Corporates,Fixed Income,"153,732.72",0.06,"153,732.72","135,000.00",29270CZ81,US29270CZ819,-,111.38,United States,-,USD,2.33,0.42,1.0,"Jul 01, 2024",5.0,2.33,-,0.42,2.33,0.42,USD,"May 31, 2018","May 31, 2018"
UNIVERSITY MASS BLDG AUTH REV,Government Related,Fixed Income,"153,695.28",0.06,"153,695.28","135,000.00",914437VP0,US914437VP01,-,113.02,United States,-,USD,2.67,0.38,1.0,"Nov 01, 2024",5.0,2.66,-,0.38,2.66,0.38,USD,"Mar 25, 2021","Mar 25, 2021"
HAWAII ST,Government Related,Fixed Income,"153,651.22",0.06,"153,651.22","135,000.00",419792AG1,US419792AG14,-,112.57,United States,-,USD,2.58,0.4,1.0,"Oct 01, 2024",5.0,2.58,-,0.4,2.58,0.4,USD,"Oct 29, 2015","Oct 29, 2015"
VIRGINIA ST RES AUTH INFRASTRU,Government Related,Fixed Income,"153,572.83",0.06,"153,572.83","135,000.00",92818NA81,US92818NA817,-,112.92,United States,-,USD,2.67,0.41,1.0,"Nov 01, 2024",5.0,2.66,-,0.41,2.66,0.41,USD,"Aug 10, 2016","Aug 10, 2016"
CALIFORNIA ST HLTH FACS FING AUTH,Corporates,Fixed Income,"153,534.66",0.06,"153,534.66","135,000.00",13032UQB7,US13032UQB79,-,113.09,United States,-,USD,2.71,0.41,1.0,"Nov 15, 2024",5.0,2.7,-,0.41,2.7,0.41,USD,"Dec 28, 2017","Dec 28, 2017"
EL PASO TEX,Municipals,Fixed Income,"153,429.48",0.06,"153,429.48","135,000.00",283734WP2,US283734WP26,-,111.76,United States,-,USD,2.45,0.48,1.0,"Aug 15, 2024",5.0,2.45,-,0.48,2.45,0.48,USD,"Aug 17, 2015","Jul 01, 2015"
IDAHO HSG & FIN ASSN,Corporates,Fixed Income,"153,406.02",0.06,"153,406.02","135,000.00",45129WMP2,US45129WMP22,-,111.33,United States,-,USD,2.37,0.5,1.0,"Jul 15, 2024",5.0,2.37,-,0.5,2.37,0.5,USD,"Jul 21, 2015","Jul 21, 2015"
OHIO ST PARKS & REC CAP FACS,Government Related,Fixed Income,"153,408.60",0.06,"153,408.60","135,000.00",67760AEE2,US67760AEE29,-,113.22,United States,-,USD,2.75,0.43,1.0,"Dec 01, 2024",5.0,2.75,-,0.43,2.75,0.43,USD,"Nov 15, 2018","Nov 15, 2018"
NEW YORK ST DORM AUTH SALES TA,Government Related,Fixed Income,"152,957.36",0.06,"152,957.36","140,000.00",64990ABQ7,US64990ABQ76,-,108.08,United States,-,USD,2.11,0.32,1.0,"Mar 15, 2024",4.0,2.11,-,0.32,2.11,0.32,USD,"Oct 23, 2014","Oct 23, 2014"
GEORGIA ST,Government Related,Fixed Income,"151,066.55",0.06,"151,066.55","135,000.00",3733843J3,US3733843J35,-,109.4,United States,-,USD,1.89,0.28,1.0,"Jan 01, 2024",5.0,1.89,-,0.28,1.89,0.28,USD,"Jul 07, 2016","Jul 07, 2016"
WASHINGTON ST,Government Related,Fixed Income,"150,775.75",0.06,"150,775.75","135,000.00",93974EDW3,US93974EDW30,-,109.6,United States,-,USD,1.97,0.37,1.0,"Feb 01, 2024",5.0,1.97,-,0.37,1.97,0.37,USD,"Feb 26, 2020","Feb 26, 2020"
PORTLAND ORE SWR SYS REV,Government Related,Fixed Income,"150,501.96",0.06,"150,501.96","135,000.00",736742XD4,US736742XD42,-,111.07,United States,-,USD,2.31,0.39,1.0,"Jun 01, 2024",5.0,2.3,-,0.39,2.3,0.39,USD,"Aug 27, 2015","Aug 27, 2015"
NORTH TEX MUN WTR DIST TEX REG,Municipals,Fixed Income,"150,295.08",0.06,"150,295.08","135,000.00",662835VP9,US662835VP95,-,110.91,United States,-,USD,2.31,0.45,1.0,"Jun 01, 2024",5.0,2.3,-,0.45,2.3,0.45,USD,"Sep 28, 2016","Aug 15, 2016"
NEW JERSEY ST ECON DEV AUTH REVENU,Government Related,Fixed Income,"149,673.52",0.06,"149,673.52","135,000.00",64577BKS2,US64577BKS24,-,110.65,United States,-,USD,2.35,0.62,1.0,"Jun 15, 2024",5.0,2.34,-,0.62,2.34,0.62,USD,"Aug 31, 2015","Aug 31, 2015"
MASSACHUSETTS ST,Government Related,Fixed Income,"148,314.45",0.06,"148,314.45","130,000.00",57582P3G3,US57582P3G31,-,111.59,United States,-,USD,2.33,0.34,1.0,"Jul 01, 2024",5.0,2.33,-,0.34,2.33,0.34,USD,"Jul 02, 2014","Jul 02, 2014"
LAREDO TEX INDPT SCH DIST,Municipals,Fixed Income,"148,298.28",0.06,"148,298.28","150,000.00",516840WZ4,US516840WZ44,-,98.87,United States,-,USD,2.58,0.44,1.0,"Aug 01, 2024",0.0,2.57,-,0.44,2.57,0.44,USD,"Aug 20, 2014","Jul 15, 2014"
GRAPEVINE-COLLEYVILLE INDPT SC,Government Related,Fixed Income,"148,259.52",0.06,"148,259.52","150,000.00",388640YU2,US388640YU27,-,98.84,United States,-,USD,2.62,0.44,1.0,"Aug 15, 2024",0.0,2.61,-,0.44,2.61,0.44,USD,"Dec 30, 1998","Dec 30, 1998"
FLORIDA ST,Government Related,Fixed Income,"148,211.05",0.06,"148,211.05","130,000.00",341150S76,US341150S760,-,111.51,United States,-,USD,2.33,0.37,1.0,"Jul 01, 2024",5.0,2.33,-,0.37,2.33,0.37,USD,"Sep 01, 2015","Sep 01, 2015"
COLUMBUS OHIO,Government Related,Fixed Income,"148,108.67",0.06,"148,108.67","130,000.00",199492LU1,US199492LU14,-,112.04,United States,-,USD,2.45,0.38,1.0,"Aug 15, 2024",5.0,2.45,-,0.38,2.45,0.38,USD,"Sep 04, 2014","Sep 04, 2014"
CALIFORNIA ST FOR PREVIOUS ISS,Government Related,Fixed Income,"148,071.10",0.06,"148,071.10","130,000.00",13063CZ29,US13063CZ295,-,112.23,United States,-,USD,2.51,0.38,1.0,"Sep 01, 2024",5.0,2.5,-,0.38,2.5,0.38,USD,"Sep 13, 2016","Sep 13, 2016"
NEW YORK ST ENVIRONMENTAL FACS,Government Related,Fixed Income,"147,999.11",0.06,"147,999.11","130,000.00",64985HUC9,US64985HUC95,-,112.37,United States,-,USD,2.54,0.4,1.0,"Sep 15, 2024",5.0,2.54,-,0.4,2.54,0.4,USD,"Aug 20, 2015","Aug 20, 2015"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"147,963.77",0.06,"147,963.77","130,000.00",64971WWJ5,US64971WWJ51,-,111.73,United States,-,USD,2.42,0.43,1.0,"Aug 01, 2024",5.0,2.41,-,0.43,2.41,0.43,USD,"Sep 29, 2015","Sep 29, 2015"
TEXAS ST FOR PREVIOUS ISSUES S,Government Related,Fixed Income,"147,884.30",0.06,"147,884.30","130,000.00",882724AG2,US882724AG24,-,112.51,United States,-,USD,2.58,0.42,1.0,"Oct 01, 2024",5.0,2.58,-,0.42,2.58,0.42,USD,"Mar 29, 2017","Mar 29, 2017"
CONNECTICUT ST,Government Related,Fixed Income,"147,886.87",0.06,"147,886.87","130,000.00",20772KDP1,US20772KDP12,-,112.29,United States,-,USD,2.54,0.43,1.0,"Sep 15, 2024",5.0,2.54,-,0.43,2.54,0.43,USD,"Sep 13, 2018","Sep 13, 2018"
MIAMI-DADE CNTY FLA WTR & SWR,Government Related,Fixed Income,"147,732.18",0.06,"147,732.18","130,000.00",59334DJW5,US59334DJW56,-,112.39,United States,-,USD,2.58,0.46,1.0,"Oct 01, 2024",5.0,2.58,-,0.46,2.58,0.46,USD,"Dec 19, 2017","Dec 19, 2017"
CENTRAL PUGET SOUND WASH REGL,Government Related,Fixed Income,"147,752.22",0.06,"147,752.22","130,000.00",155048DP3,US155048DP38,-,112.86,United States,-,USD,2.67,0.43,1.0,"Nov 01, 2024",5.0,2.66,-,0.43,2.66,0.43,USD,"Nov 04, 2021","Nov 04, 2021"
LOS ANGELES CNTY CALIF MET TRA,Government Related,Fixed Income,"145,260.64",0.06,"145,260.64","130,000.00",54466HJF4,US54466HJF47,-,111.32,United States,-,USD,2.31,0.29,1.0,"Jun 01, 2024",5.0,2.3,-,0.29,2.3,0.29,USD,"Aug 27, 2020","Aug 27, 2020"
OREGON ST FOR PREVIOUS ISSUES,Government Related,Fixed Income,"145,124.49",0.06,"145,124.49","130,000.00",68609BHN0,US68609BHN01,-,110.8,United States,-,USD,2.22,0.35,1.0,"May 01, 2024",5.0,2.22,-,0.35,2.22,0.35,USD,"Mar 31, 2015","Mar 31, 2015"
CHICAGO ILL O HARE INTL ARPT R,Government Related,Fixed Income,"145,116.80",0.06,"145,116.80","130,000.00",167593UB6,US167593UB60,-,109.13,United States,-,USD,1.89,0.41,1.0,"Jan 01, 2024",5.0,1.89,-,0.41,1.89,0.41,USD,"Dec 05, 2016","Dec 05, 2016"
MISSOURI ST HWYS & TRANS COMMN,Corporates,Fixed Income,"145,124.49",0.06,"145,124.49","130,000.00",60636WSG1,US60636WSG14,-,110.8,United States,-,USD,2.22,0.35,1.0,"May 01, 2024",5.0,2.22,-,0.35,2.22,0.35,USD,"May 13, 2019","May 13, 2019"
PETALUMA CALIF WASTEWATER REV,Municipals,Fixed Income,"145,124.49",0.06,"145,124.49","130,000.00",716008BQ9,US716008BQ93,-,110.8,United States,-,USD,2.22,0.35,1.0,"May 01, 2024",5.0,2.22,-,0.35,2.22,0.35,USD,"Sep 04, 2019","Sep 04, 2019"
NORTH CAROLINA ST,Government Related,Fixed Income,"145,027.57",0.06,"145,027.57","130,000.00",6582563J9,US6582563J98,-,111.14,United States,-,USD,2.31,0.36,1.0,"Jun 01, 2024",5.0,2.3,-,0.36,2.3,0.36,USD,"Aug 01, 2018","Aug 01, 2018"
NEW YORK N Y CITY TRANSITIONAL,Government Related,Fixed Income,"144,932.16",0.06,"144,932.16","130,000.00",64971XDE5,US64971XDE58,-,110.65,United States,-,USD,2.22,0.41,1.0,"May 01, 2024",5.0,2.22,-,0.41,2.22,0.41,USD,"May 30, 2018","May 30, 2018"
ILLINOIS ST,Government Related,Fixed Income,"144,522.96",0.06,"144,522.96","130,000.00",452153AC3,US452153AC38,-,109.5,United States,-,USD,2.05,0.58,1.0,"Mar 01, 2024",5.0,2.05,-,0.58,2.05,0.58,USD,"Mar 24, 2021","Mar 24, 2021"
CHICAGO ILL TRAN AUTH CAP GRNT,Government Related,Fixed Income,"144,265.04",0.06,"144,265.04","130,000.00",167723HB4,US167723HB45,-,110.56,United States,-,USD,2.31,0.59,1.0,"Jun 01, 2024",5.0,2.3,-,0.59,2.3,0.59,USD,"Jun 10, 2021","Jun 10, 2021"
SAN FRANCISCO CALIF CITY & CNT,Government Related,Fixed Income,"144,058.59",0.06,"144,058.59","130,000.00",79765RD55,US79765RD556,-,110.15,United States,-,USD,2.7,0.39,1.0,"Nov 01, 2024",4.0,2.69,-,0.39,2.69,0.39,USD,"Apr 16, 2015","Apr 16, 2015"
MET TRANSPRTN AUTH NY REVENUE,Government Related,Fixed Income,"142,992.53",0.05,"142,992.53","130,000.00",59261ALL9,US59261ALL97,-,109.48,United States,-,USD,2.73,0.66,1.0,"Nov 15, 2024",4.0,2.73,-,0.66,2.73,0.66,USD,"Mar 16, 2017","Mar 16, 2017"
KING CNTY WASH,Government Related,Fixed Income,"142,576.90",0.05,"142,576.90","125,000.00",49474FSA9,US49474FSA92,-,111.56,United States,-,USD,2.33,0.35,1.0,"Jul 01, 2024",5.0,2.33,-,0.35,2.33,0.35,USD,"Oct 25, 2017","Oct 25, 2017"
ARLINGTON CNTY VA,Government Related,Fixed Income,"142,516.74",0.05,"142,516.74","125,000.00",041431SN8,US041431SN89,-,112.12,United States,-,USD,2.46,0.35,1.0,"Aug 15, 2024",5.0,2.45,-,0.35,2.45,0.35,USD,"Jun 20, 2018","Jun 20, 2018"
MASSACHUSETTS ST WTR RES AUTH,Government Related,Fixed Income,"142,375.64",0.05,"142,375.64","125,000.00",576051RY4,US576051RY40,-,111.82,United States,-,USD,2.42,0.4,1.0,"Aug 01, 2024",5.0,2.41,-,0.4,2.41,0.4,USD,"May 18, 2017","May 18, 2017"
AUSTIN TEX INDPT SCH DIST,Government Related,Fixed Income,"142,375.64",0.05,"142,375.64","125,000.00",052430PE9,US052430PE99,-,111.82,United States,-,USD,2.42,0.4,1.0,"Aug 01, 2024",5.0,2.41,-,0.4,2.41,0.4,USD,"Jun 21, 2017","Jun 21, 2017"
FLORIDA ST TPK AUTH TPK REV,Government Related,Fixed Income,"142,378.19",0.05,"142,378.19","125,000.00",343137EH4,US343137EH49,-,111.4,United States,-,USD,2.33,0.41,1.0,"Jul 01, 2024",5.0,2.33,-,0.41,2.33,0.41,USD,"Feb 21, 2019","Feb 21, 2019"
UNIVERSITY TEX UNIV REVS,Government Related,Fixed Income,"142,342.52",0.05,"142,342.52","125,000.00",91514AHF5,US91514AHF57,-,111.99,United States,-,USD,2.45,0.4,1.0,"Aug 15, 2024",5.0,2.45,-,0.4,2.45,0.4,USD,"Dec 07, 2017","Dec 01, 2017"
NEW YORK N Y,Government Related,Fixed Income,"142,341.37",0.05,"142,341.37","125,000.00",64966MXU8,US64966MXU88,-,111.79,United States,-,USD,2.42,0.41,1.0,"Aug 01, 2024",5.0,2.41,-,0.41,2.41,0.41,USD,"Mar 13, 2018","Apr 01, 2008"
DELAWARE RIV JT TOLL BRDG COMM,Government Related,Fixed Income,"142,345.11",0.05,"142,345.11","125,000.00",246343MR5,US246343MR59,-,111.38,United States,-,USD,2.33,0.42,1.0,"Jul 01, 2024",5.0,2.33,-,0.42,2.33,0.42,USD,"Jul 31, 2019","Jul 31, 2019"
MERRIAM KANS,Municipals,Fixed Income,"142,306.26",0.05,"142,306.26","125,000.00",590111KT6,US590111KT68,-,112.6,United States,-,USD,2.58,0.39,1.0,"Oct 01, 2024",5.0,2.58,-,0.39,2.58,0.39,USD,"Feb 15, 2018","Feb 15, 2018"
MECKLENBURG CNTY N C,Government Related,Fixed Income,"142,278.70",0.05,"142,278.70","125,000.00",584002RU5,US584002RU55,-,113.41,United States,-,USD,2.75,0.37,1.0,"Dec 01, 2024",5.0,2.75,-,0.37,2.75,0.37,USD,"Jan 29, 2013","Jan 29, 2013"
YSLETA TEX INDPT SCH DIST,Municipals,Fixed Income,"142,272.91",0.05,"142,272.91","125,000.00",98816PAK8,US98816PAK84,-,111.93,United States,-,USD,2.45,0.42,1.0,"Aug 15, 2024",5.0,2.45,-,0.42,2.45,0.42,USD,"Jun 24, 2014","May 15, 2014"
HENNEPIN CNTY MINN,Municipals,Fixed Income,"142,239.71",0.05,"142,239.71","125,000.00",425507BR0,US425507BR05,-,113.38,United States,-,USD,2.75,0.38,1.0,"Dec 01, 2024",5.0,2.75,-,0.38,2.75,0.38,USD,"Nov 04, 2014","Nov 04, 2014"
SEATTLE WASH MUN LT & PWR REV,Municipals,Fixed Income,"142,233.04",0.05,"142,233.04","125,000.00",812643NH3,US812643NH31,-,112.54,United States,-,USD,2.58,0.41,1.0,"Oct 01, 2024",5.0,2.58,-,0.41,2.58,0.41,USD,"Sep 28, 2016","Sep 28, 2016"
MONTGOMERY CNTY MD,Government Related,Fixed Income,"142,239.71",0.05,"142,239.71","125,000.00",6133405W4,US6133405W46,-,113.38,United States,-,USD,2.75,0.38,1.0,"Dec 01, 2024",5.0,2.75,-,0.38,2.75,0.38,USD,"Dec 13, 2016","Dec 13, 2016"
OHIO ST,Government Related,Fixed Income,"142,234.88",0.05,"142,234.88","125,000.00",6775223L6,US6775223L62,-,112.32,United States,-,USD,2.54,0.42,1.0,"Sep 15, 2024",5.0,2.54,-,0.42,2.54,0.42,USD,"Jun 26, 2020","Jun 26, 2020"
ORLANDO FLA UTILS COMMN UTIL S,Government Related,Fixed Income,"142,196.44",0.05,"142,196.44","125,000.00",686507GA6,US686507GA63,-,112.51,United States,-,USD,2.58,0.42,1.0,"Oct 01, 2024",5.0,2.58,-,0.42,2.58,0.42,USD,"Jan 09, 2013","Jan 09, 2013"
HARRIS CNTY TEX MET TRAN AUTH,Municipals,Fixed Income,"142,159.29",0.05,"142,159.29","125,000.00",41422EHE6,US41422EHE68,-,112.89,United States,-,USD,2.67,0.42,1.0,"Nov 01, 2024",5.0,2.66,-,0.42,2.66,0.42,USD,"Nov 08, 2017","Nov 08, 2017"
WEST VA COMMR OF HWYS SPL OBLI,Municipals,Fixed Income,"142,128.11",0.05,"142,128.11","125,000.00",95649ACV4,US95649ACV44,-,112.04,United States,-,USD,2.51,0.45,1.0,"Sep 01, 2024",5.0,2.5,-,0.45,2.5,0.45,USD,"Aug 01, 2018","Aug 01, 2018"
PIERCE CNTY WASH SCH DIST NO 0,Government Related,Fixed Income,"142,045.00",0.05,"142,045.00","125,000.00",720424YU8,US720424YU80,-,113.22,United States,-,USD,2.75,0.43,1.0,"Dec 01, 2024",5.0,2.75,-,0.43,2.75,0.43,USD,"Nov 04, 2015","Nov 04, 2015"
SPOKANE & WHITMAN CNTYS WASH C,Municipals,Fixed Income,"142,045.00",0.05,"142,045.00","125,000.00",848641JA5,US848641JA55,-,113.22,United States,-,USD,2.75,0.43,1.0,"Dec 01, 2024",5.0,2.75,-,0.43,2.75,0.43,USD,"May 18, 2016","May 18, 2016"
TEXAS TRANSN COMMN CENT TEX TP,Government Related,Fixed Income,"141,890.81",0.05,"141,890.81","125,000.00",88283KBB3,US88283KBB35,-,111.62,United States,-,USD,2.45,0.53,1.0,"Aug 15, 2024",5.0,2.45,-,0.53,2.45,0.53,USD,"Feb 04, 2015","Feb 04, 2015"
DISTRICT COLUMBIA REV,Government Related,Fixed Income,"141,850.60",0.05,"141,850.60","125,000.00",25483VWL4,US25483VWL43,-,113.06,United States,-,USD,2.75,0.48,1.0,"Dec 01, 2024",5.0,2.75,-,0.48,2.75,0.48,USD,"Feb 13, 2020","Feb 13, 2020"
ILLINOIS ST,Government Related,Fixed Income,"141,043.83",0.05,"141,043.83","125,000.00",452152V40,US452152V401,-,112.42,United States,-,USD,2.75,0.69,1.0,"Dec 01, 2024",5.0,2.74,-,0.69,2.74,0.69,USD,"Dec 13, 2017","Dec 13, 2017"
OKLAHOMA TRANSN AUTH OK F/K/A,Government Related,Fixed Income,"139,745.14",0.05,"139,745.14","125,000.00",679111YV0,US679111YV02,-,109.3,United States,-,USD,1.89,0.33,1.0,"Jan 01, 2024",5.0,1.89,-,0.33,1.89,0.33,USD,"Dec 21, 2017","Dec 21, 2017"
PFLUGERVILLE TEX INDPT SCH DIS,Municipals,Fixed Income,"139,717.56",0.05,"139,717.56","125,000.00",7170953Z4,US7170953Z40,-,109.89,United States,-,USD,2.01,0.32,1.0,"Feb 15, 2024",5.0,2.01,-,0.32,2.01,0.32,USD,"Jul 08, 2014","Jun 15, 2014"
PFLUGERVILLE TEX INDPT SCH DIS,Municipals,Fixed Income,"139,717.56",0.05,"139,717.56","125,000.00",7170954X8,US7170954X82,-,109.89,United States,-,USD,2.01,0.32,1.0,"Feb 15, 2024",5.0,2.01,-,0.32,2.01,0.32,USD,"Aug 19, 2014","Jul 01, 2014"
OMAHA NEB,Government Related,Fixed Income,"139,719.01",0.05,"139,719.01","125,000.00",6817124C6,US6817124C63,-,109.47,United States,-,USD,1.93,0.34,1.0,"Jan 15, 2024",5.0,1.92,-,0.34,1.92,0.34,USD,"Nov 15, 2018","Nov 15, 2018"
MISSOURI ST BRD PUB BLDGS SPL,Government Related,Fixed Income,"139,572.67",0.05,"139,572.67","125,000.00",606341JC0,US606341JC09,-,110.41,United States,-,USD,2.14,0.35,1.0,"Apr 01, 2024",5.0,2.13,-,0.35,2.13,0.35,USD,"Sep 03, 2015","Sep 03, 2015"
ALDINE TEX INDPT SCH DIST,Municipals,Fixed Income,"139,577.94",0.05,"139,577.94","125,000.00",014393WZ1,US014393WZ17,-,109.77,United States,-,USD,2.01,0.37,1.0,"Feb 15, 2024",5.0,2.01,-,0.37,2.01,0.37,USD,"Jul 15, 2017","Jul 15, 2017"
KING CNTY WASH,Government Related,Fixed Income,"139,513.57",0.05,"139,513.57","125,000.00",49474FNV8,US49474FNV84,-,111.19,United States,-,USD,2.31,0.34,1.0,"Jun 01, 2024",5.0,2.3,-,0.34,2.3,0.34,USD,"Dec 17, 2015","Dec 17, 2015"
KATY TEX INDPT SCH DIST,Government Related,Fixed Income,"139,522.14",0.05,"139,522.14","125,000.00",486063VF4,US486063VF45,-,109.73,United States,-,USD,2.01,0.39,1.0,"Feb 15, 2024",5.0,2.01,-,0.39,2.01,0.39,USD,"Dec 15, 2016","Dec 01, 2016"
TEXAS WATER DEV BRD,Government Related,Fixed Income,"139,513.59",0.05,"139,513.59","125,000.00",882854W57,US882854W574,-,110.56,United States,-,USD,2.18,0.36,1.0,"Apr 15, 2024",5.0,2.17,-,0.36,2.17,0.36,USD,"Oct 10, 2019","Oct 10, 2019"
BUNCOMBE CNTY N C LTD OBLIG,Municipals,Fixed Income,"139,353.67",0.05,"139,353.67","125,000.00",120525FS4,US120525FS47,-,111.07,United States,-,USD,2.31,0.39,1.0,"Jun 01, 2024",5.0,2.3,-,0.39,2.3,0.39,USD,"Apr 30, 2015","Apr 30, 2015"
CHARLOTTE N C CTFS PARTN,Government Related,Fixed Income,"139,353.67",0.05,"139,353.67","125,000.00",161037W85,US161037W859,-,111.07,United States,-,USD,2.31,0.39,1.0,"Jun 01, 2024",5.0,2.3,-,0.39,2.3,0.39,USD,"Apr 25, 2019","Apr 25, 2019"
GRAND RIVER DAM AUTH OKLA REV,Government Related,Fixed Income,"139,289.78",0.05,"139,289.78","125,000.00",386442WJ2,US386442WJ28,-,111.02,United States,-,USD,2.31,0.41,1.0,"Jun 01, 2024",5.0,2.3,-,0.41,2.3,0.41,USD,"Nov 15, 2016","Nov 15, 2016"
AUSTIN TEX INDPT SCH DIST,Government Related,Fixed Income,"138,655.02",0.05,"138,655.02","125,000.00",052430LN3,US052430LN35,-,109.26,United States,-,USD,2.45,0.39,1.0,"Aug 01, 2024",4.0,2.44,-,0.39,2.44,0.39,USD,"Aug 31, 2016","Aug 31, 2016"
KING CNTY WASH SCH DIST NO 403,Municipals,Fixed Income,"138,331.50",0.05,"138,331.50","125,000.00",495080UH4,US495080UH44,-,110.33,United States,-,USD,2.78,0.43,1.0,"Dec 01, 2024",4.0,2.78,-,0.43,2.78,0.43,USD,"Nov 21, 2017","Nov 21, 2017"
LOS ANGELES CA DEPT OF WTR & PWR W,Government Related,Fixed Income,"137,001.18",0.05,"137,001.18","120,000.00",544525WN4,US544525WN42,-,111.67,United States,-,USD,2.33,0.31,1.0,"Jul 01, 2024",5.0,2.34,-,0.31,2.34,0.31,USD,"Mar 01, 2018","Mar 01, 2018"
LOS ANGELES CALIF CMNTY COLLEG,Government Related,Fixed Income,"136,746.41",0.05,"136,746.41","120,000.00",54438CTF9,US54438CTF94,-,111.87,United States,-,USD,2.42,0.38,1.0,"Aug 01, 2024",5.0,2.41,-,0.38,2.41,0.38,USD,"Jan 08, 2015","Jan 08, 2015"
UNIVERSITY UTAH UT REVENUES,Corporates,Fixed Income,"136,713.52",0.05,"136,713.52","120,000.00",915183VN4,US915183VN48,-,111.84,United States,-,USD,2.42,0.39,1.0,"Aug 01, 2024",5.0,2.41,-,0.39,2.41,0.39,USD,"May 13, 2015","May 13, 2015"
