,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2022 Term Corporate ETF
CAPITAL ONE FINANCIAL CORPORATION,Corporates,Fixed Income,"3,310,510.05",0.21,"3,310,510.05","3,271,000.00",14040HBL8,US14040HBL87,BYXBGQ5,100.26,United States,-,USD,0.11,1.66,1.0,"Mar 09, 2022",3.05,0.19,-,0.57,0.11,0.57,USD,"Mar 09, 2017","Mar 09, 2017"
PHILIP MORRIS INTERNATIONAL INC,Corporates,Fixed Income,"3,296,310.58",0.21,"3,296,310.58","3,227,000.00",718172AT6,US718172AT63,B72SNZ6,101.25,United States,-,USD,0.63,0.54,1.0,"Aug 22, 2022",2.5,0.63,-,0.54,0.63,0.54,USD,"Aug 21, 2012","Aug 21, 2012"
SANTANDER HOLDINGS USA INC,Corporates,Fixed Income,"3,294,064.91",0.21,"3,294,064.91","3,250,000.00",80282KAT3,US80282KAT34,BYWSZ37,100.4,United States,-,USD,0.24,2.02,1.0,"Mar 28, 2022",3.7,0.24,-,1.14,0.16,1.14,USD,"Sep 28, 2017","Mar 01, 2018"
NATIONAL AUSTRALIA BANK LTD (NEW Y,Corporates,Fixed Income,"3,289,294.25",0.21,"3,289,294.25","3,245,000.00",63254AAU2,US63254AAU25,BDRK229,100.04,Australia,-,USD,0.03,1.38,1.0,"Jan 10, 2022",2.8,0.02,-,1.38,0.02,1.38,USD,"Jan 10, 2017","Jan 10, 2017"
DH EUROPE FINANCE II SARL,Corporates,Fixed Income,"3,257,525.61",0.21,"3,257,525.61","3,211,000.00",23291KAF2,US23291KAF21,BG0WNC0,101.19,United States,-,USD,0.87,0.68,1.0,"Nov 15, 2022",2.05,0.86,-,0.68,0.86,0.68,USD,"Nov 07, 2019","Nov 07, 2019"
FIFTH THIRD BANCORP,Corporates,Fixed Income,"3,250,049.30",0.21,"3,250,049.30","3,222,000.00",316773CU2,US316773CU23,BZ3ZZ56,100.76,United States,-,USD,0.37,0.93,1.0,"Jun 15, 2022",2.6,0.45,-,0.56,0.37,0.56,USD,"Jun 15, 2017","Jun 15, 2017"
US BANK NATIONAL ASSOCIATION,Corporates,Fixed Income,"3,234,573.00",0.21,"3,234,573.00","3,203,000.00",90331HPC1,US90331HPC15,BJR46F4,100.71,United States,-,USD,0.31,0.85,1.0,"May 23, 2022",2.65,0.39,-,0.35,0.31,0.35,USD,"May 23, 2019","May 23, 2019"
MCCORMICK & COMPANY INCORPORATED,Corporates,Fixed Income,"3,228,835.06",0.21,"3,228,835.06","3,161,000.00",579780AL1,US579780AL12,BF53JH8,101.13,United States,-,USD,0.53,0.88,1.0,"Aug 15, 2022",2.7,0.61,-,0.6,0.53,0.6,USD,"Aug 11, 2017","Aug 11, 2017"
MITSUBISHI UFJ FINANCIAL GROUP INC,Corporates,Fixed Income,"3,222,472.19",0.2,"3,222,472.19","3,177,000.00",606822AL8,US606822AL88,BD8BYB4,100.36,Japan,-,USD,0.15,0.47,1.0,"Feb 22, 2022",3.0,0.14,-,0.47,0.14,0.47,USD,"Feb 22, 2017","Feb 22, 2017"
ORIX CORPORATION,Corporates,Fixed Income,"3,219,269.11",0.2,"3,219,269.11","3,144,000.00",686330AH4,US686330AH40,BDFCG81,101.08,Japan,-,USD,0.54,0.91,1.0,"Jul 18, 2022",2.9,0.54,-,0.91,0.54,0.91,USD,"Jul 18, 2017","Jul 18, 2017"
DISCOVER FINANCIAL SERVICES,Corporates,Fixed Income,"3,218,462.86",0.2,"3,218,462.86","3,122,000.00",254709AJ7,US254709AJ71,B97GSJ8,102.66,United States,-,USD,0.88,0.84,1.0,"Nov 21, 2022",3.85,0.88,-,0.84,0.88,0.84,USD,"Nov 21, 2012","Mar 19, 2013"
NUTRIEN LTD,Corporates,Fixed Income,"3,166,192.60",0.2,"3,166,192.60","3,103,000.00",67077MAJ7,US67077MAJ71,BFM70F8,101.25,Canada,-,USD,0.49,1.47,1.0,"Oct 01, 2022",3.15,0.74,-,0.64,0.49,0.64,USD,"Apr 01, 2018","Apr 10, 2018"
3M CO MTN,Corporates,Fixed Income,"3,158,030.82",0.2,"3,158,030.82","3,134,000.00",88579YAF8,US88579YAF88,B7NJ2Q2,100.74,United States,-,USD,0.49,0.48,1.0,"Jun 26, 2022",2.0,0.48,-,0.48,0.48,0.48,USD,"Jun 26, 2012","Jun 26, 2012"
PEOPLES UNITED FINANCIAL INC,Corporates,Fixed Income,"3,138,845.18",0.2,"3,138,845.18","3,074,000.00",712704AA3,US712704AA31,B931KW4,101.86,United States,-,USD,0.68,1.63,1.0,"Dec 06, 2022",3.65,0.91,-,0.91,0.67,0.91,USD,"Dec 06, 2012","Dec 06, 2012"
PUBLIC SERVICE ENTERPRISE GROUP IN,Corporates,Fixed Income,"3,130,242.25",0.2,"3,130,242.25","3,074,000.00",744573AL0,US744573AL05,BZ6F412,101.49,United States,-,USD,0.78,0.93,1.0,"Nov 15, 2022",2.65,0.86,-,0.75,0.78,0.75,USD,"Nov 06, 2017","Nov 06, 2017"
WILLIAMS COMPANIES INC,Corporates,Fixed Income,"3,115,621.57",0.2,"3,115,621.57","3,048,000.00",96950FAJ3,US96950FAJ30,B6ZZMP0,100.95,United States,-,USD,0.37,1.8,1.0,"Aug 15, 2022",3.35,0.61,-,0.78,0.37,0.78,USD,"Aug 14, 2012","Aug 14, 2012"
CATERPILLAR FINANCIAL SERVICES COR MTN,Corporates,Fixed Income,"3,102,098.80",0.2,"3,102,098.80","3,054,000.00",14913Q3A5,US14913Q3A59,-,100.97,United States,-,USD,0.68,0.47,1.0,"Sep 06, 2022",1.9,0.67,-,0.47,0.67,0.47,USD,"Sep 06, 2019","Sep 06, 2019"
AMERIPRISE FINANCIAL INC,Corporates,Fixed Income,"3,090,619.15",0.2,"3,090,619.15","3,049,000.00",03076CAJ5,US03076CAJ53,BJMJ2N4,100.54,United States,-,USD,0.22,0.59,1.0,"Mar 22, 2022",3.0,0.22,-,0.59,0.22,0.59,USD,"Mar 22, 2019","Mar 22, 2019"
BAIDU INC,Corporates,Fixed Income,"3,064,200.28",0.19,"3,064,200.28","2,992,000.00",056752AB4,US056752AB41,B997SV1,102.1,China,-,USD,0.9,1.17,1.0,"Nov 28, 2022",3.5,0.9,-,1.17,0.9,1.17,USD,"Nov 28, 2012","Nov 28, 2012"
LOWES COMPANIES INC,Corporates,Fixed Income,"3,061,060.53",0.19,"3,061,060.53","3,035,000.00",548661CW5,US548661CW57,B7JJ233,100.2,United States,-,USD,0.08,2.41,1.0,"Apr 15, 2022",3.12,0.29,-,0.61,0.08,0.61,USD,"Apr 23, 2012","Apr 23, 2012"
ENBRIDGE INC,Corporates,Fixed Income,"3,060,869.64",0.19,"3,060,869.64","2,990,000.00",29250NAQ8,US29250NAQ88,BF5CKV6,101.03,Canada,-,USD,0.45,0.97,1.0,"Jul 15, 2022",2.9,0.53,-,0.63,0.44,0.63,USD,"Jul 07, 2017","Jul 07, 2017"
ENTERGY CORPORATION,Corporates,Fixed Income,"3,058,795.76",0.19,"3,058,795.76","2,969,000.00",29364GAH6,US29364GAH65,BYY0L22,101.18,United States,-,USD,0.36,1.79,1.0,"Jul 15, 2022",4.0,0.52,-,0.81,0.36,0.81,USD,"Jul 01, 2015","Jul 01, 2015"
ABBVIE INC,Corporates,Fixed Income,"3,043,700.57",0.19,"3,043,700.57","2,979,000.00",00287YAP4,US00287YAP43,BXC32D4,101.68,United States,-,USD,0.68,1.2,1.0,"Nov 06, 2022",3.2,0.83,-,0.72,0.67,0.72,USD,"May 14, 2015","May 14, 2015"
EASTMAN CHEMICAL CO,Corporates,Fixed Income,"3,039,335.61",0.19,"3,039,335.61","2,969,000.00",277432AN0,US277432AN05,B8FL100,101.01,United States,-,USD,0.37,1.96,1.0,"Aug 15, 2022",3.6,0.61,-,0.88,0.37,0.88,USD,"Jun 05, 2012","Jun 05, 2012"
ANTHEM INC,Corporates,Fixed Income,"3,027,987.82",0.19,"3,027,987.82","2,964,000.00",036752AF0,US036752AF07,BFXCMQ7,101.91,United States,-,USD,0.83,0.85,1.0,"Dec 01, 2022",2.95,0.91,-,0.64,0.82,0.64,USD,"Nov 21, 2017","Nov 21, 2017"
MANUFACTURERS AND TRADERS TRUST CO,Corporates,Fixed Income,"3,021,604.45",0.19,"3,021,604.45","2,996,000.00",55279HAL4,US55279HAL42,BDS6RR6,100.56,United States,-,USD,0.3,1.03,1.0,"May 18, 2022",2.5,0.38,-,0.62,0.3,0.62,USD,"May 18, 2017","May 18, 2017"
TD AMERITRADE HOLDING CORPORATION,Corporates,Fixed Income,"2,991,580.02",0.19,"2,991,580.02","2,964,000.00",87236YAE8,US87236YAE86,BWB8YD7,100.19,United States,-,USD,0.09,2.16,1.0,"Apr 01, 2022",2.95,0.25,-,0.61,0.09,0.61,USD,"Mar 09, 2015","Mar 09, 2015"
US BANCORP MTN,Corporates,Fixed Income,"2,990,233.75",0.19,"2,990,233.75","2,955,000.00",91159HHC7,US91159HHC79,B7KS6K4,100.31,United States,-,USD,0.13,1.48,1.0,"Mar 15, 2022",3.0,0.2,-,0.46,0.12,0.46,USD,"Mar 02, 2012","Mar 02, 2012"
AON CORP,Corporates,Fixed Income,"2,975,252.16",0.19,"2,975,252.16","2,929,000.00",037389BD4,US037389BD49,-,101.3,United Kingdom,-,USD,0.87,0.7,1.0,"Nov 15, 2022",2.2,0.86,-,0.7,0.86,0.7,USD,"Nov 15, 2019","Nov 15, 2019"
TOYOTA MOTOR CREDIT CORP MTN,Corporates,Fixed Income,"2,971,331.38",0.19,"2,971,331.38","2,966,000.00",89236THD0,US89236THD00,-,99.98,United States,-,USD,0.55,0.48,1.0,"Jul 22, 2022",0.45,0.56,-,0.48,0.56,0.48,USD,"Jul 23, 2020","Jul 23, 2020"
HONEYWELL INTERNATIONAL INC,Corporates,Fixed Income,"2,959,239.53",0.19,"2,959,239.53","2,909,000.00",438516BT2,US438516BT21,BJBLQ73,100.87,United States,-,USD,0.51,0.7,1.0,"Aug 08, 2022",2.15,0.6,-,0.47,0.51,0.47,USD,"Aug 08, 2019","Aug 08, 2019"
BHP BILLITON FINANCE (USA) LTD,Corporates,Fixed Income,"2,949,670.17",0.19,"2,949,670.17","2,910,000.00",055451AQ1,US055451AQ16,B71D2M2,100.35,Australia,-,USD,0.15,0.5,1.0,"Feb 24, 2022",2.88,0.15,-,0.5,0.15,0.5,USD,"Feb 24, 2012","Feb 24, 2012"
BRISTOL-MYERS SQUIBB CO,Corporates,Fixed Income,"2,944,706.84",0.19,"2,944,706.84","2,860,000.00",110122CW6,US110122CW67,BMW43C6,101.73,United States,-,USD,0.61,0.46,1.0,"Aug 15, 2022",3.25,0.61,-,0.46,0.61,0.46,USD,"Feb 15, 2020","Jul 17, 2020"
TOYOTA MOTOR CREDIT CORP MTN,Corporates,Fixed Income,"2,943,733.44",0.19,"2,943,733.44","2,897,000.00",89233P5T9,US89233P5T93,B4ZT0G5,100.06,Japan,-,USD,0.03,1.19,1.0,"Jan 12, 2022",3.3,0.03,-,1.19,0.03,1.19,USD,"Jan 12, 2012","Jan 12, 2012"
VODAFONE GROUP PLC,Corporates,Fixed Income,"2,930,606.43",0.19,"2,930,606.43","2,870,000.00",92857WAZ3,US92857WAZ32,B8KP442,101.45,United Kingdom,-,USD,0.73,0.52,1.0,"Sep 26, 2022",2.5,0.73,-,0.52,0.73,0.52,USD,"Sep 26, 2012","Sep 26, 2012"
UNION PACIFIC CORP,Corporates,Fixed Income,"2,920,907.27",0.19,"2,920,907.27","2,837,000.00",907818DK1,US907818DK19,B75C3K0,101.04,United States,-,USD,0.28,2.21,1.0,"Jul 15, 2022",4.16,0.52,-,0.52,0.27,0.52,USD,"Jun 23, 2011","Oct 28, 2011"
KIMCO REALTY CORPORATION,Corporates,Fixed Income,"2,913,639.93",0.19,"2,913,639.93","2,846,000.00",49446RAN9,US49446RAN98,BYWM3T1,101.81,United States,-,USD,0.66,1.21,1.0,"Nov 01, 2022",3.4,0.82,-,0.67,0.66,0.67,USD,"Oct 19, 2015","Oct 19, 2015"
CATERPILLAR FINANCIAL SERVICES COR MTN,Corporates,Fixed Income,"2,901,527.89",0.18,"2,901,527.89","2,843,000.00",14913Q2E8,US14913Q2E80,BD2BDF7,101.83,United States,-,USD,0.9,0.53,1.0,"Nov 29, 2022",2.55,0.9,-,0.53,0.9,0.53,USD,"Nov 29, 2017","Nov 29, 2017"
REGENCY ENERGY PARTNERS LP/REGENCY,Corporates,Fixed Income,"2,895,158.04",0.18,"2,895,158.04","2,804,000.00",75886AAQ1,US75886AAQ13,BPC1VJ1,102.0,United States,-,USD,0.49,2.29,1.0,"Oct 01, 2022",5.0,0.73,-,0.98,0.49,0.98,USD,"Jul 25, 2014","Jul 25, 2014"
DTE ENERGY COMPANY,Corporates,Fixed Income,"2,870,416.23",0.18,"2,870,416.23","2,871,000.00",233331BH9,US233331BH98,-,99.89,United States,-,USD,0.83,0.68,1.0,"Nov 01, 2022",0.55,0.83,-,0.68,0.83,0.68,USD,"Oct 07, 2020","Oct 07, 2020"
DUKE ENERGY CORP,Corporates,Fixed Income,"2,867,208.72",0.18,"2,867,208.72","2,809,000.00",26441CAJ4,US26441CAJ45,B84LGT5,100.92,United States,-,USD,0.37,1.56,1.0,"Aug 15, 2022",3.05,0.61,-,0.57,0.37,0.57,USD,"Aug 16, 2012","Aug 16, 2012"
SYNCHRONY FINANCIAL,Corporates,Fixed Income,"2,857,580.05",0.18,"2,857,580.05","2,795,000.00",87165BAQ6,US87165BAQ68,BJBL220,101.0,United States,-,USD,0.48,1.07,1.0,"Jul 25, 2022",2.85,0.56,-,0.77,0.48,0.77,USD,"Jul 25, 2019","Jul 25, 2019"
BOEING CO,Corporates,Fixed Income,"2,856,108.60",0.18,"2,856,108.60","2,824,000.00",097023CG8,US097023CG82,BJYSCJ5,100.69,United States,-,USD,0.33,0.63,1.0,"May 01, 2022",2.7,0.33,-,0.63,0.33,0.63,USD,"May 02, 2019","May 02, 2019"
ABBOTT LABORATORIES,Corporates,Fixed Income,"2,853,017.50",0.18,"2,853,017.50","2,820,000.00",002824BA7,US002824BA72,BWB9C25,100.42,United States,-,USD,0.2,0.5,1.0,"Mar 15, 2022",2.55,0.21,-,0.5,0.21,0.5,USD,"Mar 10, 2015","Mar 10, 2015"
PEPSICO INC,Corporates,Fixed Income,"2,848,996.74",0.18,"2,848,996.74","2,782,000.00",713448CX4,US713448CX49,BYQXN45,101.0,United States,-,USD,0.37,1.26,1.0,"Jul 17, 2022",3.1,0.53,-,0.45,0.37,0.45,USD,"Jul 17, 2015","Jul 17, 2015"
SYNCHRONY BANK,Corporates,Fixed Income,"2,838,948.33",0.18,"2,838,948.33","2,812,000.00",87166FAA1,US87166FAA12,BDD1FC7,100.83,United States,-,USD,0.37,1.18,1.0,"Jun 15, 2022",3.0,0.45,-,0.77,0.37,0.77,USD,"Jun 12, 2017","Jun 12, 2017"
EBAY INC,Corporates,Fixed Income,"2,834,081.64",0.18,"2,834,081.64","2,792,000.00",278642AN3,US278642AN33,BDCRC36,100.33,United States,-,USD,0.11,2.05,1.0,"Mar 09, 2022",3.8,0.19,-,0.69,0.11,0.69,USD,"Mar 09, 2016","Mar 09, 2016"
CISCO SYSTEMS INC,Corporates,Fixed Income,"2,827,830.67",0.18,"2,827,830.67","2,792,000.00",17275RAV4,US17275RAV42,BZ0Y976,101.15,United States,-,USD,0.45,0.47,1.0,"Jun 15, 2022",3.0,0.45,-,0.47,0.45,0.47,USD,"Jun 17, 2015","Jun 17, 2015"
CHEVRON CORP,Corporates,Fixed Income,"2,827,561.10",0.18,"2,827,561.10","2,801,000.00",166764AT7,US166764AT77,BW15MG7,100.16,United States,-,USD,0.08,1.48,1.0,"Mar 03, 2022",2.41,0.17,-,0.43,0.08,0.43,USD,"Mar 03, 2015","Mar 03, 2015"
ZIMMER BIOMET HOLDINGS INC,Corporates,Fixed Income,"2,799,151.74",0.18,"2,799,151.74","2,772,000.00",98956PAL6,US98956PAL67,BWC4YT0,100.19,United States,-,USD,0.09,2.36,1.0,"Apr 01, 2022",3.15,0.25,-,0.81,0.09,0.81,USD,"Mar 19, 2015","Mar 19, 2015"
COMPASS BANK,Corporates,Fixed Income,"2,790,656.86",0.18,"2,790,656.86","2,763,000.00",20453KAB1,US20453KAB17,BDZVVP0,100.99,United States,-,USD,0.41,0.87,1.0,"Jun 29, 2022",2.88,0.49,-,0.47,0.41,0.47,USD,"Jun 29, 2017","Jun 29, 2017"
SL GREEN OPERATING PARTNERSHIP LP,Corporates,Fixed Income,"2,773,928.14",0.18,"2,773,928.14","2,714,000.00",78444FAF3,US78444FAF36,BF0M7D2,101.52,United States,-,USD,0.7,1.3,1.0,"Oct 15, 2022",3.25,0.78,-,1.08,0.7,1.08,USD,"Oct 05, 2017","Oct 05, 2017"
HUMANA INC.,Corporates,Fixed Income,"2,764,506.31",0.18,"2,764,506.31","2,713,000.00",444859BA9,US444859BA90,B7D47L7,101.64,United States,-,USD,0.66,1.35,1.0,"Dec 01, 2022",3.15,0.9,-,0.69,0.66,0.69,USD,"Dec 10, 2012","Dec 10, 2012"
UNILEVER CAPITAL CORP,Corporates,Fixed Income,"2,728,655.23",0.17,"2,728,655.23","2,706,000.00",904764AW7,US904764AW76,BDGKT29,100.5,Netherlands,-,USD,0.26,0.76,1.0,"May 05, 2022",2.2,0.34,-,0.3,0.26,0.3,USD,"May 05, 2017","May 05, 2017"
RALPH LAUREN CORP,Corporates,Fixed Income,"2,727,331.96",0.17,"2,727,331.96","2,710,000.00",731572AA1,US731572AA14,-,100.56,United States,-,USD,0.45,0.46,1.0,"Jun 15, 2022",1.7,0.45,-,0.46,0.45,0.46,USD,"Jun 03, 2020","Jun 03, 2020"
APPLE INC,Corporates,Fixed Income,"2,708,183.48",0.17,"2,708,183.48","2,685,000.00",037833CQ1,US037833CQ11,BD3N0S4,100.54,United States,-,USD,0.28,0.79,1.0,"May 11, 2022",2.3,0.36,-,0.34,0.28,0.34,USD,"May 11, 2017","May 11, 2017"
INTERCONTINENTAL EXCHANGE INC,Corporates,Fixed Income,"2,684,939.20",0.17,"2,684,939.20","2,637,000.00",45866FAE4,US45866FAE43,BF2K6R1,101.13,United States,-,USD,0.62,0.75,1.0,"Sep 15, 2022",2.35,0.7,-,0.53,0.62,0.53,USD,"Aug 17, 2017","Aug 17, 2017"
ITC HOLDINGS CORP,Corporates,Fixed Income,"2,677,432.68",0.17,"2,677,432.68","2,628,000.00",465685AM7,US465685AM76,BFMQXT0,101.54,United States,-,USD,0.78,0.93,1.0,"Nov 15, 2022",2.7,0.86,-,0.74,0.78,0.74,USD,"May 15, 2018","Jun 18, 2018"
PNC BANK NATIONAL ASSOCIATION,Corporates,Fixed Income,"2,663,775.10",0.17,"2,663,775.10","2,611,000.00",69353RFE3,US69353RFE36,BD93PS3,100.98,United States,-,USD,0.49,0.74,1.0,"Jul 28, 2022",2.45,0.57,-,0.45,0.49,0.45,USD,"Jul 28, 2017","Jul 28, 2017"
CATERPILLAR FINANCIAL SERVICES COR MTN,Corporates,Fixed Income,"2,653,855.36",0.17,"2,653,855.36","2,617,000.00",14913Q2T5,US14913Q2T59,BHNH7P0,100.38,United States,-,USD,0.16,0.43,1.0,"Feb 26, 2022",2.95,0.15,-,0.43,0.15,0.43,USD,"Feb 26, 2019","Feb 26, 2019"
TOYOTA MOTOR CREDIT CORP MTN,Corporates,Fixed Income,"2,639,539.07",0.17,"2,639,539.07","2,609,000.00",89236TFX8,US89236TFX81,BJP3X29,100.59,United States,-,USD,0.28,0.54,1.0,"Apr 12, 2022",2.65,0.28,-,0.54,0.28,0.54,USD,"Apr 12, 2019","Apr 12, 2019"
AMERICAN HONDA FINANCE CORPORATION MTN,Corporates,Fixed Income,"2,633,387.87",0.17,"2,633,387.87","2,611,000.00",02665WCY5,US02665WCY57,BJ7PMS2,100.83,Japan,-,USD,0.49,0.49,1.0,"Jun 27, 2022",2.2,0.49,-,0.49,0.49,0.49,USD,"Jun 27, 2019","Jun 27, 2019"
NUCOR CORPORATION,Corporates,Fixed Income,"2,595,166.28",0.16,"2,595,166.28","2,524,000.00",670346AL9,US670346AL99,B3NM218,101.61,United States,-,USD,0.45,1.82,1.0,"Sep 15, 2022",4.13,0.69,-,0.59,0.45,0.59,USD,"Sep 21, 2010","Sep 21, 2010"
PUBLIC STORAGE,Corporates,Fixed Income,"2,579,582.44",0.16,"2,579,582.44","2,534,000.00",74460DAB5,US74460DAB55,BFB5MH9,101.1,United States,-,USD,0.62,0.8,1.0,"Sep 15, 2022",2.37,0.7,-,0.59,0.62,0.59,USD,"Sep 18, 2017","Sep 18, 2017"
BURLINGTON NORTHERN SANTA FE LLC,Corporates,Fixed Income,"2,571,613.51",0.16,"2,571,613.51","2,519,000.00",12189LAL5,US12189LAL53,B8NWQY4,101.07,United States,-,USD,0.41,1.43,1.0,"Sep 01, 2022",3.05,0.65,-,0.47,0.41,0.47,USD,"Aug 23, 2012","Aug 23, 2012"
WALGREEN CO,Corporates,Fixed Income,"2,555,860.10",0.16,"2,555,860.10","2,491,000.00",931422AH2,US931422AH23,B8QB7D4,101.69,United States,-,USD,0.7,0.69,1.0,"Sep 15, 2022",3.1,0.7,-,0.69,0.7,0.69,USD,"Sep 13, 2012","Sep 13, 2012"
AIR LEASE CORPORATION,Corporates,Fixed Income,"2,554,679.86",0.16,"2,554,679.86","2,502,000.00",00912XAW4,US00912XAW48,BF4SNQ1,100.79,United States,-,USD,0.41,1.03,1.0,"Jul 01, 2022",2.63,0.49,-,0.72,0.41,0.72,USD,"Jun 12, 2017","Jun 12, 2017"
EBAY INC,Corporates,Fixed Income,"2,554,298.96",0.16,"2,554,298.96","2,510,000.00",278642AE3,US278642AE34,B833XK2,100.57,United States,-,USD,0.28,1.54,1.0,"Jul 15, 2022",2.6,0.53,-,0.62,0.28,0.62,USD,"Jul 24, 2012","Jul 24, 2012"
KEYBANK NATIONAL ASSOCIATION,Corporates,Fixed Income,"2,551,377.63",0.16,"2,551,377.63","2,526,000.00",49327M2S2,US49327M2S28,BYSX105,100.86,United States,-,USD,0.44,0.44,1.0,"Jun 09, 2022",2.4,0.44,-,0.44,0.44,0.44,USD,"Jun 09, 2017","Jun 09, 2017"
AMERICAN HONDA FINANCE CORPORATION MTN,Corporates,Fixed Income,"2,544,056.64",0.16,"2,544,056.64","2,493,000.00",02665WCA7,US02665WCA71,BF3RD81,101.72,Japan,-,USD,0.87,0.62,1.0,"Nov 16, 2022",2.6,0.87,-,0.62,0.87,0.62,USD,"Nov 16, 2017","Nov 16, 2017"
INTEL CORPORATION,Corporates,Fixed Income,"2,536,890.28",0.16,"2,536,890.28","2,515,000.00",458140BB5,US458140BB56,BZ5ZTH4,100.54,United States,-,USD,0.28,0.84,1.0,"May 11, 2022",2.35,0.36,-,0.38,0.28,0.38,USD,"May 11, 2017","May 11, 2017"
UNITED PARCEL SERVICE INC,Corporates,Fixed Income,"2,534,806.31",0.16,"2,534,806.31","2,513,000.00",911312BC9,US911312BC97,BYPBSZ6,100.57,United States,-,USD,0.29,0.81,1.0,"May 16, 2022",2.35,0.37,-,0.38,0.29,0.38,USD,"May 16, 2017","May 16, 2017"
PEPSICO INC,Corporates,Fixed Income,"2,529,086.01",0.16,"2,529,086.01","2,508,000.00",713448DT2,US713448DT28,BD45XC4,100.47,United States,-,USD,0.25,0.84,1.0,"May 02, 2022",2.25,0.33,-,0.38,0.26,0.38,USD,"May 02, 2017","May 02, 2017"
PROCTER & GAMBLE CO,Corporates,Fixed Income,"2,528,770.83",0.16,"2,528,770.83","2,501,000.00",742718DY2,US742718DY23,B3Y03D0,100.18,United States,-,USD,0.1,0.4,1.0,"Feb 06, 2022",2.3,0.1,-,0.4,0.1,0.4,USD,"Feb 06, 2012","Feb 06, 2012"
PNC FINANCIAL SERVICES GROUP INC (,Corporates,Fixed Income,"2,524,292.42",0.16,"2,524,292.42","2,492,000.00",693476BN2,US693476BN25,B7RK4C1,100.26,United States,-,USD,0.1,1.88,1.0,"Mar 08, 2022",3.3,0.18,-,0.6,0.1,0.6,USD,"Mar 08, 2012","Mar 08, 2012"
NORFOLK SOUTHERN CORP,Corporates,Fixed Income,"2,510,427.54",0.16,"2,510,427.54","2,487,000.00",655844BJ6,US655844BJ66,B7C6DP0,100.19,United States,-,USD,0.08,2.21,1.0,"Apr 01, 2022",3.0,0.25,-,0.59,0.08,0.59,USD,"Mar 15, 2012","Mar 15, 2012"
AMERICAN TOWER CORPORATION,Corporates,Fixed Income,"2,501,742.38",0.16,"2,501,742.38","2,475,000.00",03027XAL4,US03027XAL47,BDCVWW7,100.04,United States,-,USD,0.05,1.13,1.0,"Jan 15, 2022",2.25,0.04,-,1.13,0.04,1.13,USD,"Sep 30, 2016","Sep 30, 2016"
AUSTRALIA AND NEW ZEALAND BANKING,Corporates,Fixed Income,"2,472,896.43",0.16,"2,472,896.43","2,445,000.00",05253JAS0,US05253JAS06,BYQMSN6,100.84,Australia,-,USD,0.38,0.44,1.0,"May 19, 2022",2.63,0.39,-,0.44,0.39,0.44,USD,"May 19, 2017","May 19, 2017"
TEXAS INSTRUMENTS INC,Corporates,Fixed Income,"2,468,634.10",0.16,"2,468,634.10","2,452,000.00",882508BA1,US882508BA13,BD076W5,100.44,United States,-,USD,0.29,0.66,1.0,"May 15, 2022",1.85,0.37,-,0.31,0.29,0.31,USD,"May 06, 2016","May 06, 2016"
NVR INC,Corporates,Fixed Income,"2,464,405.29",0.16,"2,464,405.29","2,402,000.00",62944TAE5,US62944TAE55,B8N33T1,101.44,United States,-,USD,0.45,1.89,1.0,"Sep 15, 2022",3.95,0.69,-,0.79,0.45,0.79,USD,"Sep 10, 2012","Sep 10, 2012"
AIR LEASE CORPORATION,Corporates,Fixed Income,"2,459,054.71",0.16,"2,459,054.71","2,418,000.00",00912XBE3,US00912XBE31,BGN9878,100.08,United States,-,USD,0.05,1.32,1.0,"Jan 15, 2022",3.5,0.04,-,1.32,0.04,1.32,USD,"Sep 17, 2018","Sep 17, 2018"
BERKSHIRE HATHAWAY INC,Corporates,Fixed Income,"2,443,441.39",0.16,"2,443,441.39","2,404,000.00",084670BF4,US084670BF47,B670LF6,100.22,United States,-,USD,0.08,0.7,1.0,"Jan 31, 2022",3.4,0.08,-,0.7,0.08,0.7,USD,"Jan 31, 2012","Jan 31, 2012"
CINTAS CORPORATION NO 2,Corporates,Fixed Income,"2,438,891.25",0.16,"2,438,891.25","2,413,000.00",17252MAM2,US17252MAM29,-,100.35,United States,-,USD,0.16,1.49,1.0,"Apr 01, 2022",2.9,0.25,-,0.79,0.17,0.79,USD,"Mar 14, 2017","Mar 14, 2017"
BRISTOL-MYERS SQUIBB CO,Corporates,Fixed Income,"2,434,741.90",0.15,"2,434,741.90","2,393,000.00",110122AT5,US110122AT56,B7GX3F7,100.91,United States,-,USD,0.58,0.43,1.0,"Aug 01, 2022",2.0,0.58,-,0.43,0.58,0.43,USD,"Jul 31, 2012","Jul 31, 2012"
CITIZENS BANK NA MTN,Corporates,Fixed Income,"2,432,616.50",0.15,"2,432,616.50","2,401,000.00",17401QAS0,US17401QAS03,BJ6H4V6,100.08,United States,-,USD,0.12,2.55,1.0,"Feb 14, 2022",3.25,0.12,-,2.15,0.08,2.15,USD,"Feb 14, 2019","Feb 14, 2019"
USD CASH,Cash and/or Derivatives,Cash,"2,428,675.07",0.15,"2,428,675.07","2,428,675.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
