,,,,,,,,,,,,,,,,,,,,,,,,,,iShares U.S. Fixed Income Balanced Risk Factor ETF
ICAHN ENTERPRISES LP,Financial Institutions,Fixed Income,"200,007.83",0.17,"200,007.83","200,000.00",451102CC9,US451102CC97,-,98.18,United States,-,USD,5.88,4.68,1.0,"Feb 01, 2029",4.38,5.91,-,4.68,5.91,4.68,USD,"Jan 19, 2021","Jul 02, 2021"
LLOYDS BANKING GROUP PLC,Financial Institutions,Fixed Income,"199,335.06",0.17,"199,335.06","200,000.00",53944YAN3,US53944YAN31,-,99.57,United Kingdom,-,USD,1.34,0.98,1.0,"May 11, 2024",0.69,1.35,-,0.98,1.35,0.98,USD,"Mar 11, 2021","Mar 11, 2021"
BANK OF AMERICA CORP MTN,Financial Institutions,Fixed Income,"198,977.50",0.17,"198,977.50","200,000.00",06051GJH3,US06051GJH39,-,99.34,United States,-,USD,1.79,1.05,1.0,"Oct 24, 2024",0.81,1.79,-,1.05,1.79,1.05,USD,"Oct 21, 2020","Oct 21, 2020"
BANCO SANTANDER SA,Financial Institutions,Fixed Income,"198,908.00",0.17,"198,908.00","200,000.00",05971KAK5,US05971KAK51,-,99.45,Spain,-,USD,1.49,0.98,1.0,"Jun 30, 2024",0.7,1.48,-,0.98,1.49,0.98,USD,"Jun 30, 2021","Jun 30, 2021"
AMERICAN TOWER CORPORATION,Industrial,Fixed Income,"198,523.33",0.17,"198,523.33","200,000.00",03027XBH2,US03027XBH26,-,98.98,United States,-,USD,2.02,1.1,1.0,"Jan 15, 2024",0.6,2.01,-,1.1,2.01,1.1,USD,"Nov 20, 2020","Nov 20, 2020"
ONEOK INC,Industrial,Fixed Income,"197,494.87",0.17,"197,494.87","190,000.00",682680AX1,US682680AX11,BKFV9L1,103.03,United States,-,USD,2.52,1.59,1.0,"Sep 01, 2024",2.75,2.55,-,1.55,2.47,1.55,USD,"Aug 15, 2019","Aug 15, 2019"
HP INC 144A,Industrial,Fixed Income,"196,958.78",0.17,"196,958.78","200,000.00",40434LAD7,US40434LAD73,-,98.42,United States,-,USD,4.29,1.82,1.0,"Jun 17, 2026",1.45,4.29,-,1.82,4.29,1.82,USD,"Jun 16, 2021","Jun 16, 2021"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"196,782.63",0.17,"196,782.63","189,346.00",3133A36A1,US3133A36A18,-,103.68,United States,-,USD,3.74,2.16,1.0,"Apr 01, 2050",3.0,4.55,-,2.16,4.55,2.16,USD,"Apr 01, 2020","Apr 01, 2020"
HCA INC,Industrial,Fixed Income,"195,915.56",0.17,"195,915.56","170,000.00",404119BS7,US404119BS74,BYQ2966,113.03,United States,-,USD,3.28,2.53,1.0,"Feb 15, 2026",5.88,3.63,-,2.12,3.24,2.12,USD,"Nov 13, 2015","Nov 13, 2015"
MPT OPERATING PARTNERSHIP LP / MPT,Financial Institutions,Fixed Income,"195,651.48",0.17,"195,651.48","185,000.00",55342UAH7,US55342UAH77,BF2PPR9,104.7,United States,-,USD,0.96,4.08,1.0,"Oct 15, 2027",5.0,4.97,-,1.71,0.66,1.71,USD,"Sep 21, 2017","Sep 21, 2017"
GLP CAPITAL LP / GLP FINANCING II,Industrial,Fixed Income,"193,235.88",0.17,"193,235.88","175,000.00",361841AJ8,US361841AJ81,BG08VZ7,109.98,United States,-,USD,2.96,2.2,1.0,"Jun 01, 2025",5.25,3.14,-,1.98,2.93,1.98,USD,"May 21, 2018","May 21, 2018"
MORGAN STANLEY MTN,Financial Institutions,Fixed Income,"192,650.25",0.17,"192,650.25","195,000.00",6174468R3,US6174468R33,-,98.63,United States,-,USD,2.76,1.22,1.0,"Oct 21, 2025",0.86,2.75,-,1.22,2.75,1.22,USD,"Oct 21, 2020","Oct 21, 2020"
FNMA 15YR,MBS Pass-Through,Fixed Income,"191,888.74",0.17,"191,888.74","182,659.00",3140EVPN1,US3140EVPN16,-,104.8,United States,-,USD,2.65,1.31,1.0,"Feb 01, 2031",3.0,2.91,-,1.31,2.91,1.31,USD,"Jan 01, 2016","Jan 01, 2016"
ALLY FINANCIAL INC,Financial Institutions,Fixed Income,"191,357.50",0.17,"191,357.50","190,000.00",02005NBL3,US02005NBL38,-,100.36,United States,-,USD,1.7,1.24,1.0,"Oct 02, 2023",1.45,1.72,-,1.24,1.64,1.24,USD,"Sep 18, 2020","Sep 18, 2020"
FHLMC 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"191,251.94",0.17,"191,251.94","186,817.00",3132DVLA1,US3132DVLA16,-,102.17,United States,-,USD,5.41,2.07,1.0,"Jul 01, 2050",2.5,5.26,-,2.07,5.26,2.07,USD,"Jun 01, 2020","Jun 01, 2020"
IRON MOUNTAIN INC 144A,Industrial,Fixed Income,"189,780.42",0.17,"189,780.42","185,000.00",46284VAN1,US46284VAN10,-,100.88,United States,-,USD,6.07,4.38,1.0,"Feb 15, 2031",4.5,7.31,-,4.35,5.95,4.35,USD,"Aug 18, 2020","Aug 18, 2020"
ALBERTSONS COS LLC/SAFEWAY INC/NEW 144A,Industrial,Fixed Income,"188,582.69",0.16,"188,582.69","173,000.00",013092AA9,US013092AA91,BHX0XV7,106.8,United States,-,USD,0.2,5.66,1.0,"Mar 15, 2026",7.5,3.53,-,1.64,0.2,1.64,USD,"Feb 05, 2019","Feb 05, 2019"
ACADEMY LTD 144A,Industrial,Fixed Income,"188,169.92",0.16,"188,169.92","175,000.00",00401YAA8,US00401YAA82,-,106.76,United States,-,USD,2.91,4.67,1.0,"Nov 15, 2027",6.0,4.92,-,3.78,1.76,3.78,USD,"Nov 06, 2020","Nov 06, 2020"
FHLMC 30YR UMBS MIRROR,MBS Pass-Through,Fixed Income,"187,339.43",0.16,"187,339.43","171,856.00",3132AEB39,US3132AEB391,-,108.63,United States,-,USD,2.55,2.4,1.0,"Apr 01, 2049",4.5,4.21,-,2.4,4.21,2.4,USD,"Mar 01, 2019","Mar 01, 2019"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"186,376.82",0.16,"186,376.82","182,168.00",3140X8KW6,US3140X8KW67,-,102.1,United States,-,USD,4.74,2.02,1.0,"Nov 01, 2050",2.5,4.62,-,2.02,4.62,2.02,USD,"Nov 01, 2020","Nov 01, 2020"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"185,823.34",0.16,"185,823.34","178,652.00",36179VDN7,US36179VDN73,-,103.76,United States,-,USD,3.72,2.0,1.0,"Jan 20, 2050",3.0,3.87,-,2.0,3.87,2.0,USD,"Jan 01, 2020","Jan 01, 2020"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"183,926.87",0.16,"183,926.87","183,933.00",3140QGYV3,US3140QGYV36,-,99.83,United States,-,USD,6.55,2.01,1.0,"Feb 01, 2051",2.0,6.64,-,2.01,6.64,2.01,USD,"Jan 01, 2021","Jan 01, 2021"
FNMA 15YR,MBS Pass-Through,Fixed Income,"182,900.12",0.16,"182,900.12","171,737.00",3140J9SE2,US3140J9SE28,-,106.25,United States,-,USD,2.65,0.69,1.0,"Jan 01, 2031",3.0,2.75,-,0.69,2.75,0.69,USD,"Nov 01, 2018","Nov 01, 2018"
FHLMC 15YR UMBS,MBS Pass-Through,Fixed Income,"182,397.76",0.16,"182,397.76","177,658.00",3133L8A39,US3133L8A391,-,102.5,United States,-,USD,3.64,1.33,1.0,"Feb 01, 2036",2.0,3.89,-,1.33,3.89,1.33,USD,"Jan 01, 2021","Jan 01, 2021"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"181,934.77",0.16,"181,934.77","181,689.00",3133KKWK1,US3133KKWK14,-,99.97,United States,-,USD,6.17,1.99,1.0,"Dec 01, 2050",2.0,6.18,-,1.99,6.18,1.99,USD,"Dec 01, 2020","Dec 01, 2020"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"181,924.20",0.16,"181,924.20","181,939.00",3133KLG35,US3133KLG350,-,99.83,United States,-,USD,6.49,2.01,1.0,"Mar 01, 2051",2.0,6.57,-,2.01,6.57,2.01,USD,"Feb 01, 2021","Feb 01, 2021"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"181,487.61",0.16,"181,487.61","172,339.00",31334YPK7,US31334YPK72,-,105.06,United States,-,USD,3.74,1.89,1.0,"Jul 01, 2046",3.0,4.67,-,1.89,4.67,1.89,USD,"Aug 01, 2019","Aug 01, 2019"
AMERISOURCEBERGEN CORPORATION,Industrial,Fixed Income,"181,311.20",0.16,"181,311.20","168,000.00",03073EAP0,US03073EAP07,BFD9PD6,107.77,United States,-,USD,5.28,2.06,1.0,"Dec 15, 2027",3.45,5.39,-,2.0,5.19,2.0,USD,"Dec 04, 2017","Dec 04, 2017"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"180,414.12",0.16,"180,414.12","168,979.00",36179TAL9,US36179TAL98,BF5Q3Z3,106.43,United States,-,USD,3.06,2.3,1.0,"Jun 20, 2047",4.0,3.88,-,2.3,3.88,2.3,USD,"Jun 01, 2017","Jun 01, 2017"
ORACLE CORPORATION,Industrial,Fixed Income,"179,262.00",0.16,"179,262.00","180,000.00",68389XCC7,US68389XCC74,-,99.15,United States,-,USD,4.04,1.86,1.0,"Mar 25, 2026",1.65,4.05,-,1.86,4.05,1.86,USD,"Mar 24, 2021","Mar 24, 2021"
DH EUROPE FINANCE II SARL,Industrial,Fixed Income,"177,535.65",0.15,"177,535.65","175,000.00",23291KAF2,US23291KAF21,BG0WNC0,101.19,United States,-,USD,0.87,0.68,1.0,"Nov 15, 2022",2.05,0.86,-,0.68,0.86,0.68,USD,"Nov 07, 2019","Nov 07, 2019"
SPRINGLEAF FINANCE CORP,Financial Institutions,Fixed Income,"175,816.97",0.15,"175,816.97","155,000.00",85172FAM1,US85172FAM14,BF28TP4,111.41,United States,-,USD,2.88,3.11,1.0,"Mar 15, 2025",6.88,2.85,-,3.11,2.85,3.11,USD,"Mar 12, 2018","Mar 12, 2018"
CANADIAN IMPERIAL BANK OF COMMERCE,Financial Institutions,Fixed Income,"175,494.83",0.15,"175,494.83","170,000.00",13607GLZ5,US13607GLZ53,-,102.28,Canada,-,USD,2.95,1.49,1.0,"Jan 28, 2025",2.25,2.94,-,1.49,2.94,1.49,USD,"Jan 28, 2020","Jan 28, 2020"
GNMA 30YR PLATINUM,MBS Pass-Through,Fixed Income,"174,546.49",0.15,"174,546.49","164,229.00",3622AADS0,US3622AADS03,-,106.03,United States,-,USD,3.97,1.7,1.0,"Feb 15, 2047",3.0,4.67,-,1.7,4.67,1.7,USD,"Apr 01, 2019","Apr 01, 2019"
GOLDMAN SACHS GROUP INC/THE,Financial Institutions,Fixed Income,"174,419.19",0.15,"174,419.19","175,000.00",38141GYJ7,US38141GYJ74,-,98.61,United States,-,USD,8.18,2.44,1.0,"Jul 21, 2032",2.38,8.4,-,2.44,8.4,2.44,USD,"Jul 21, 2021","Jul 21, 2021"
ALTRIA GROUP INC,Industrial,Fixed Income,"172,810.19",0.15,"172,810.19","155,000.00",02209SBC6,US02209SBC61,BJ2W9T8,109.82,United States,-,USD,3.64,1.91,1.0,"Feb 14, 2026",4.4,3.74,-,1.82,3.6,1.82,USD,"Feb 14, 2019","Feb 14, 2019"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"170,982.42",0.15,"170,982.42","162,033.00",3133KGGQ5,US3133KGGQ55,-,105.23,United States,-,USD,3.0,1.95,1.0,"Jul 01, 2049",3.5,3.51,-,1.95,3.51,1.95,USD,"Jun 01, 2019","Jun 01, 2019"
MORGAN STANLEY,Financial Institutions,Fixed Income,"168,575.78",0.15,"168,575.78","170,000.00",61772BAB9,US61772BAB99,-,98.91,United States,-,USD,4.15,1.69,1.0,"May 04, 2027",1.59,4.16,-,1.69,4.16,1.69,USD,"Apr 22, 2021","Apr 22, 2021"
BANK OF AMERICA CORP MTN,Financial Institutions,Fixed Income,"168,479.52",0.15,"168,479.52","170,000.00",06051GJG5,US06051GJG55,-,98.84,United States,-,USD,2.67,1.3,1.0,"Sep 25, 2025",0.98,2.67,-,1.3,2.68,1.3,USD,"Sep 25, 2020","Sep 25, 2020"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"168,328.14",0.15,"168,328.14","163,932.00",3617QG3N2,US3617QG3N23,-,102.47,United States,-,USD,3.97,1.9,1.0,"Sep 20, 2050",2.5,4.23,-,1.9,4.23,1.9,USD,"Sep 01, 2020","Sep 01, 2020"
ALLEGION US HOLDING CO INC,Industrial,Fixed Income,"167,675.20",0.15,"167,675.20","160,000.00",01748NAD6,US01748NAD66,BF22677,104.0,United States,-,USD,2.52,1.71,1.0,"Oct 01, 2024",3.2,2.61,-,1.61,2.46,1.61,USD,"Oct 02, 2017","Oct 02, 2017"
SIRIUS XM RADIO INC 144A,Industrial,Fixed Income,"165,883.50",0.14,"165,883.50","150,000.00",82967NBC1,US82967NBC11,BJYHK54,107.84,United States,-,USD,3.45,4.27,1.0,"Jul 01, 2029",5.5,6.02,-,3.27,2.28,3.27,USD,"Jun 07, 2019","Jun 07, 2019"
SOUTHERN POWER COMPANY,Utility,Fixed Income,"163,993.25",0.14,"163,993.25","150,000.00",843646AM2,US843646AM23,BD5WCJ4,108.98,United States,-,USD,3.45,1.77,1.0,"Dec 01, 2025",4.15,3.63,-,1.62,3.41,1.62,USD,"Nov 17, 2015","Nov 17, 2015"
BAUSCH HEALTH COMPANIES INC (DELAW 144A,Industrial,Fixed Income,"163,922.50",0.14,"163,922.50","150,000.00",91911XAW4,US91911XAW48,BFY2Z12,105.74,United States,-,USD,1.41,7.13,1.0,"Jan 31, 2027",8.5,3.98,-,5.61,0.55,5.61,USD,"Jun 01, 2018","Jun 01, 2018"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"162,757.58",0.14,"162,757.58","162,763.00",3140QG3B1,US3140QG3B12,-,99.83,United States,-,USD,6.55,2.01,1.0,"Feb 01, 2051",2.0,6.64,-,2.01,6.64,2.01,USD,"Jan 01, 2021","Jan 01, 2021"
SELECT MEDICAL CORPORATION 144A,Industrial,Fixed Income,"162,312.17",0.14,"162,312.17","150,000.00",816196AT6,US816196AT67,BKPHQM9,105.85,United States,-,USD,0.62,4.82,1.0,"Aug 15, 2026",6.25,3.92,-,1.77,0.6,1.77,USD,"Aug 01, 2019","Aug 01, 2019"
BANK OF AMERICA CORP MTN,Financial Institutions,Fixed Income,"161,520.38",0.14,"161,520.38","150,000.00",06051GHT9,US06051GHT94,BK1LZT5,107.01,United States,-,USD,3.95,1.76,1.0,"Apr 23, 2027",3.56,3.98,-,1.76,3.98,1.76,USD,"Apr 23, 2019","Apr 23, 2019"
CHS/COMMUNITY HEALTH SYSTEMS INC 144A,Industrial,Fixed Income,"161,109.83",0.14,"161,109.83","150,000.00",12543DBC3,US12543DBC39,BHL3S91,105.05,United States,-,USD,0.2,6.6,1.0,"Mar 15, 2026",8.0,3.48,-,2.69,0.2,2.69,USD,"Mar 06, 2019","Mar 06, 2019"
BRUNDAGE-BONE CONCRETE PUMPING HOL 144A,Industrial,Fixed Income,"159,603.00",0.14,"159,603.00","150,000.00",66981QAA4,US66981QAA40,-,103.9,United States,-,USD,2.5,4.93,1.0,"Feb 01, 2026",6.0,3.52,-,4.63,2.74,4.63,USD,"Jan 28, 2021","Jan 28, 2021"
BROADCOM INC,Industrial,Fixed Income,"158,136.75",0.14,"158,136.75","150,000.00",11135FBB6,US11135FBB67,-,105.02,United States,-,USD,3.6,1.8,1.0,"Nov 15, 2025",3.15,3.64,-,1.77,3.56,1.77,USD,"May 08, 2020","Aug 07, 2020"
SANTANDER HOLDINGS USA INC,Financial Institutions,Fixed Income,"157,975.38",0.14,"157,975.38","150,000.00",80282KBB1,US80282KBB17,-,105.04,United States,-,USD,3.18,1.92,1.0,"Jun 02, 2025",3.45,3.22,-,1.88,3.15,1.88,USD,"Jun 01, 2020","Jun 01, 2020"
TENET HEALTHCARE CORPORATION 144A,Industrial,Fixed Income,"157,683.25",0.14,"157,683.25","150,000.00",88033GDA5,US88033GDA58,BKFV9T9,104.27,United States,-,USD,1.87,4.29,1.0,"Nov 01, 2027",5.13,4.99,-,2.96,0.81,2.96,USD,"Aug 26, 2019","Aug 26, 2019"
AMERICAN TOWER CORP,Industrial,Fixed Income,"156,813.25",0.14,"156,813.25","146,000.00",03027XAG5,US03027XAG51,BWWC5B3,107.07,United States,-,USD,3.03,1.85,1.0,"Jun 01, 2025",4.0,3.2,-,1.7,2.97,1.7,USD,"May 07, 2015","May 07, 2015"
SIMON PROPERTY GROUP LP,Financial Institutions,Fixed Income,"156,393.62",0.14,"156,393.62","145,000.00",828807CV7,US828807CV75,BYT34K5,106.69,United States,-,USD,3.26,1.61,1.0,"Sep 01, 2025",3.5,3.42,-,1.48,3.19,1.48,USD,"Aug 17, 2015","Aug 17, 2015"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"156,208.59",0.14,"156,208.59","148,538.00",36179RD63,US36179RD636,-,104.91,United States,-,USD,3.34,1.9,1.0,"May 20, 2045",3.0,4.53,-,1.9,4.53,1.9,USD,"May 01, 2015","May 01, 2015"
FNMA 30YR,MBS Pass-Through,Fixed Income,"154,124.06",0.13,"154,124.06","147,396.00",3140J9SN2,US3140J9SN27,-,104.31,United States,-,USD,3.74,2.03,1.0,"Nov 01, 2048",3.0,4.57,-,2.03,4.57,2.03,USD,"Nov 01, 2018","Nov 01, 2018"
TRANSCONTINENTAL GAS PIPE LINE COM,Industrial,Fixed Income,"153,685.90",0.13,"153,685.90","145,000.00",893574AP8,US893574AP88,BN2RYZ2,105.58,United States,-,USD,7.22,2.51,1.0,"May 15, 2030",3.25,7.31,-,2.49,7.12,2.49,USD,"Nov 15, 2020","Dec 16, 2020"
SHERWIN-WILLIAMS COMPANY (THE),Industrial,Fixed Income,"152,147.10",0.13,"152,147.10","140,000.00",824348AW6,US824348AW63,BDGKST9,108.39,United States,-,USD,4.81,1.82,1.0,"Jun 01, 2027",3.45,4.95,-,1.75,4.74,1.75,USD,"May 16, 2017","May 16, 2017"
CDW LLC,Industrial,Fixed Income,"151,672.18",0.13,"151,672.18","145,000.00",12513GBD0,US12513GBD07,BKPQNF8,103.54,United States,-,USD,1.89,3.61,1.0,"Apr 01, 2028",4.25,5.42,-,2.29,0.73,2.29,USD,"Sep 26, 2019","Sep 26, 2019"
CARRIAGE SERVICES INC 144A,Industrial,Fixed Income,"150,957.08",0.13,"150,957.08","150,000.00",143905AP2,US143905AP21,-,100.1,United States,-,USD,5.04,4.23,1.0,"May 15, 2029",4.25,6.24,-,4.22,3.93,4.22,USD,"May 13, 2021","May 13, 2021"
AMERICAN HONDA FINANCE CORPORATION,Industrial,Fixed Income,"150,448.00",0.13,"150,448.00","150,000.00",02665WDL2,US02665WDL28,-,99.72,United States,-,USD,3.42,1.28,1.0,"Jul 08, 2025",1.2,3.41,-,1.28,3.41,1.28,USD,"Jul 08, 2020","Jul 08, 2020"
CROCS INC 144A,Industrial,Fixed Income,"150,230.08",0.13,"150,230.08","150,000.00",227046AA7,US227046AA78,-,98.9,United States,-,USD,5.1,4.43,1.0,"Mar 15, 2029",4.25,6.06,-,4.43,6.06,4.43,USD,"Mar 12, 2021","Mar 12, 2021"
CROWDSTRIKE HOLDINGS INC,Industrial,Fixed Income,"149,835.50",0.13,"149,835.50","150,000.00",22788CAA3,US22788CAA36,-,98.76,United States,-,USD,5.11,3.2,1.0,"Feb 15, 2029",3.0,6.29,-,3.2,6.29,3.2,USD,"Jan 20, 2021","Jan 20, 2021"
BATH & BODY WORKS INC 144A,Industrial,Fixed Income,"146,945.90",0.13,"146,945.90","116,000.00",501797AU8,US501797AU81,-,121.99,United States,-,USD,2.98,2.74,1.0,"Jul 01, 2025",9.38,2.96,-,2.74,2.96,2.74,USD,"Jun 18, 2020","Jun 18, 2020"
ENTERGY LOUISIANA LLC,Utility,Fixed Income,"146,899.47",0.13,"146,899.47","131,000.00",29364WAK4,US29364WAK45,B4ZMXS7,111.24,United States,-,USD,2.64,1.34,1.0,"Nov 01, 2024",5.4,2.64,-,1.34,2.64,1.34,USD,"Nov 16, 2009","Nov 16, 2009"
UNITEDHEALTH GROUP INC,Financial Institutions,Fixed Income,"145,729.50",0.13,"145,729.50","135,000.00",91324PCV2,US91324PCV22,BYYLJG5,107.04,United States,-,USD,3.93,1.37,1.0,"Mar 15, 2026",3.1,3.92,-,1.37,3.92,1.37,USD,"Feb 25, 2016","Feb 25, 2016"
BOEING CO,Industrial,Fixed Income,"141,684.30",0.12,"141,684.30","135,000.00",097023CS2,US097023CS21,-,104.2,United States,-,USD,1.22,1.32,1.0,"May 01, 2023",4.51,1.29,-,1.11,1.21,1.11,USD,"May 04, 2020","May 04, 2020"
WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Industrial,Fixed Income,"141,126.60",0.12,"141,126.60","135,000.00",960386AQ3,US960386AQ33,-,104.4,United States,-,USD,3.23,1.88,1.0,"Jun 15, 2025",3.2,3.27,-,1.85,3.19,1.85,USD,"Jun 29, 2020","Jun 29, 2020"
EMERSON ELECTRIC CO,Industrial,Fixed Income,"140,144.98",0.12,"140,144.98","140,000.00",291011BQ6,US291011BQ68,-,100.05,United States,-,USD,6.43,1.99,1.0,"Dec 21, 2028",2.0,6.47,-,1.99,6.33,1.99,USD,"Dec 21, 2021","Dec 21, 2021"
EQUINIX INC,Industrial,Fixed Income,"139,710.88",0.12,"139,710.88","135,000.00",29444UBC9,US29444UBC99,BK9QHP2,103.18,United States,-,USD,2.73,1.49,1.0,"Nov 18, 2024",2.63,2.77,-,1.46,2.68,1.46,USD,"Nov 18, 2019","Nov 18, 2019"
TARGA RESOURCES PARTNERS LP,Industrial,Fixed Income,"139,233.66",0.12,"139,233.66","121,000.00",87612BBN1,US87612BBN10,BL3FLF0,111.9,United States,-,USD,1.89,4.86,1.0,"Jan 15, 2029",6.88,5.49,-,0.97,1.88,0.97,USD,"Jan 17, 2019","Jan 17, 2019"
JPMORGAN CHASE & CO,Financial Institutions,Fixed Income,"138,749.60",0.12,"138,749.60","132,000.00",46647PAH9,US46647PAH91,BD97KY6,104.04,United States,-,USD,2.06,1.33,1.0,"Mar 01, 2025",3.22,2.99,-,1.32,2.08,1.32,USD,"Jun 01, 2017","Jun 01, 2017"
DUKE ENERGY CAROLINAS LLC,Utility,Fixed Income,"138,079.28",0.12,"138,079.28","130,000.00",26442CAS3,US26442CAS35,BZ3FFL2,105.97,United States,-,USD,4.45,1.68,1.0,"Dec 01, 2026",2.95,4.57,-,1.62,4.36,1.62,USD,"Nov 17, 2016","Nov 17, 2016"
NISOURCE INC,Utility,Fixed Income,"136,933.84",0.12,"136,933.84","140,000.00",65473PAK1,US65473PAK12,-,97.45,United States,-,USD,3.52,1.68,1.0,"Aug 15, 2025",0.95,3.53,-,1.68,3.53,1.68,USD,"Aug 18, 2020","Aug 18, 2020"
FGOLD 30YR GIANT,MBS Pass-Through,Fixed Income,"135,645.86",0.12,"135,645.86","129,188.00",3128MJYM6,US3128MJYM67,BFFJQF3,104.75,United States,-,USD,3.74,1.98,1.0,"Aug 01, 2046",3.0,4.7,-,1.98,4.7,1.98,USD,"Jul 01, 2016","Jul 01, 2016"
DEUTSCHE TELEKOM INTERNATIONAL FIN,Industrial,Fixed Income,"134,228.54",0.12,"134,228.54","92,000.00",25156PAC7,US25156PAC77,4081788,145.54,Germany,-,USD,6.51,2.69,1.0,"Jun 15, 2030",8.75,6.48,-,2.69,6.48,2.69,USD,"Jul 06, 2000","Jul 06, 2000"
BANK OF AMERICA CORP MTN,Financial Institutions,Fixed Income,"133,499.50",0.12,"133,499.50","120,000.00",06051GFL8,US06051GFL86,BRS6105,110.44,United States,-,USD,4.36,1.96,1.0,"Oct 22, 2026",4.25,4.35,-,1.96,4.35,1.96,USD,"Oct 22, 2014","Oct 22, 2014"
SHERWIN-WILLIAMS COMPANY (THE),Industrial,Fixed Income,"133,181.81",0.12,"133,181.81","125,000.00",824348BJ4,US824348BJ44,BKDXGP2,105.43,United States,-,USD,6.66,2.17,1.0,"Aug 15, 2029",2.95,6.76,-,2.15,6.56,2.15,USD,"Aug 26, 2019","Aug 26, 2019"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"132,639.00",0.12,"132,639.00","132,650.00",3133KK7E3,US3133KK7E31,-,99.83,United States,-,USD,6.49,2.01,1.0,"Feb 01, 2051",2.0,6.57,-,2.01,6.57,2.01,USD,"Jan 01, 2021","Jan 01, 2021"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"132,111.06",0.12,"132,111.06","127,802.00",3140X7VQ9,US3140X7VQ97,-,103.16,United States,-,USD,5.87,1.95,1.0,"Sep 01, 2050",2.5,5.96,-,1.95,5.96,1.95,USD,"Aug 01, 2020","Aug 01, 2020"
WINNEBAGO INDUSTRIES INC 144A,Industrial,Fixed Income,"131,965.13",0.12,"131,965.13","120,000.00",974637AC4,US974637AC45,-,107.09,United States,-,USD,2.34,4.97,1.0,"Jul 15, 2028",6.25,5.24,-,3.49,1.39,3.49,USD,"Jul 08, 2020","Jul 08, 2020"
FORD MOTOR COMPANY,Industrial,Fixed Income,"131,183.59",0.11,"131,183.59","120,000.00",345370CR9,US345370CR99,BYPL1T1,109.04,United States,-,USD,4.32,2.39,1.0,"Dec 08, 2026",4.35,4.45,-,2.3,4.25,2.3,USD,"Dec 08, 2016","Dec 08, 2016"
GOLDMAN SACHS GROUP INC/THE,Financial Institutions,Fixed Income,"131,176.37",0.11,"131,176.37","120,000.00",38141GWB6,US38141GWB66,BDFDPG5,107.66,United States,-,USD,3.95,2.24,1.0,"Jan 26, 2027",3.85,4.55,-,1.89,3.72,1.89,USD,"Jan 26, 2017","Jan 26, 2017"
LPL HOLDINGS INC 144A,Financial Institutions,Fixed Income,"129,723.47",0.11,"129,723.47","125,000.00",50212YAD6,US50212YAD67,-,102.6,United States,-,USD,4.33,3.59,1.0,"Mar 15, 2029",4.0,6.16,-,3.33,3.81,3.33,USD,"Mar 15, 2021","Mar 15, 2021"
BUILDERS FIRSTSOURCE INC 144A,Industrial,Fixed Income,"128,342.89",0.11,"128,342.89","121,000.00",12008RAM9,US12008RAM97,BJVRGC6,105.51,United States,-,USD,0.42,5.56,1.0,"Jun 01, 2027",6.75,4.5,-,1.54,0.41,1.54,USD,"May 30, 2019","May 30, 2019"
PAYPAL HOLDINGS INC,Industrial,Fixed Income,"124,912.80",0.11,"124,912.80","120,000.00",70450YAC7,US70450YAC75,BK71L35,103.49,United States,-,USD,2.6,1.11,1.0,"Oct 01, 2024",2.4,2.65,-,1.07,2.57,1.07,USD,"Sep 26, 2019","Sep 26, 2019"
JPMORGAN CHASE & CO 6NC5 FXD-TO-FR,Financial Institutions,Fixed Income,"124,851.91",0.11,"124,851.91","120,000.00",46647PAP1,US46647PAP18,BFZP532,103.37,United States,-,USD,1.3,0.95,1.0,"Apr 23, 2024",3.56,1.27,-,0.95,1.28,0.95,USD,"Apr 23, 2018","Apr 23, 2018"
ARES CAPITAL CORPORATION,Financial Institutions,Fixed Income,"124,700.97",0.11,"124,700.97","125,000.00",04010LBB8,US04010LBB80,-,99.63,United States,-,USD,5.84,2.94,1.0,"Jun 15, 2028",2.88,5.84,-,2.94,5.84,2.94,USD,"Jun 10, 2021","Jun 10, 2021"
FNMA 15YR,MBS Pass-Through,Fixed Income,"124,453.72",0.11,"124,453.72","118,468.00",3140E4BH9,US3140E4BH95,-,104.8,United States,-,USD,2.65,1.31,1.0,"Feb 01, 2031",3.0,2.91,-,1.31,2.91,1.31,USD,"Jan 01, 2016","Jan 01, 2016"
