,,,,,,,,,,,,,,,,,,,,,,,,,,iShares USD Bond Factor ETF
OTIS WORLDWIDE CORP,Corporates,Fixed Income,"30,726.65",0.15,"30,726.65","30,000.00",68902VAH0,US68902VAH06,-,101.93,United States,-,USD,3.11,1.45,1.0,"Apr 05, 2025",2.06,3.13,-,1.43,3.05,1.43,USD,"Feb 27, 2020","Sep 04, 2020"
MAIN STREET CAPITAL CORP,Corporates,Fixed Income,"30,510.80",0.15,"30,510.80","30,000.00",56035LAE4,US56035LAE48,-,100.29,United States,-,USD,4.16,2.93,1.0,"Jul 14, 2026",3.0,4.16,-,2.93,4.08,2.93,USD,"Jan 14, 2021","Jan 14, 2021"
HUNTINGTON INGALLS INDUSTRIES INC 144A,Corporates,Fixed Income,"29,631.64",0.15,"29,631.64","30,000.00",446413AX4,US446413AX49,-,98.01,United States,-,USD,6.09,2.37,1.0,"Aug 16, 2028",2.04,6.1,-,2.37,6.1,2.37,USD,"Aug 16, 2021","Aug 16, 2021"
OWL ROCK CAPITAL CORP,Corporates,Fixed Income,"29,586.82",0.15,"29,586.82","30,000.00",69121KAG9,US69121KAG94,-,98.46,United States,-,USD,5.83,3.14,1.0,"Jun 11, 2028",2.88,5.82,-,3.14,5.82,3.14,USD,"Jun 11, 2021","Jun 11, 2021"
FIDELITY NATIONAL INFORMATION SERV,Corporates,Fixed Income,"29,224.50",0.15,"29,224.50","30,000.00",31620MBS4,US31620MBS44,-,96.86,United States,-,USD,5.77,2.2,1.0,"Mar 01, 2028",1.65,5.79,-,2.2,5.79,2.2,USD,"Mar 02, 2021","Mar 02, 2021"
CHARTER COMMUNICATIONS OPERATING L,Corporates,Fixed Income,"29,075.38",0.15,"29,075.38","25,000.00",161175BR4,US161175BR49,BH420W2,115.04,United States,-,USD,5.98,2.75,1.0,"Mar 30, 2029",5.05,6.1,-,2.68,5.92,2.68,USD,"Jan 17, 2019","Jan 17, 2019"
CIGNA CORP,Corporates,Fixed Income,"28,101.50",0.14,"28,101.50","25,000.00",125523BZ2,US125523BZ27,-,110.83,United States,-,USD,3.6,1.78,1.0,"Feb 25, 2026",4.5,3.76,-,1.63,3.56,1.63,USD,"Feb 25, 2020","Jul 13, 2020"
CAMPBELL SOUP COMPANY,Corporates,Fixed Income,"28,090.24",0.14,"28,090.24","25,000.00",134429BG3,US134429BG35,BG1XJ24,111.14,United States,-,USD,5.33,2.22,1.0,"Mar 15, 2028",4.15,5.46,-,2.15,5.26,2.15,USD,"Mar 16, 2018","Mar 16, 2018"
T-MOBILE USA INC,Corporates,Fixed Income,"27,746.91",0.14,"27,746.91","26,000.00",87264ABB0,US87264ABB08,-,105.98,United States,-,USD,3.04,1.62,1.0,"Apr 15, 2025",3.5,3.09,-,1.58,3.02,1.58,USD,"Apr 15, 2021","May 21, 2021"
MANULIFE FINANCIAL CORP,Corporates,Fixed Income,"27,735.19",0.14,"27,735.19","25,000.00",56501RAC0,US56501RAC07,BYQ64Z2,109.59,Canada,-,USD,3.82,1.76,1.0,"Mar 04, 2026",4.15,3.81,-,1.76,3.81,1.76,USD,"Mar 04, 2016","Mar 04, 2016"
INGERSOLL-RAND LUXEMBOURG FINANCE,Corporates,Fixed Income,"27,590.31",0.14,"27,590.31","25,000.00",456873AD0,US456873AD03,BJ1DL29,109.27,United States,-,USD,6.18,2.39,1.0,"Mar 21, 2029",3.8,6.29,-,2.35,6.1,2.35,USD,"Mar 21, 2019","Mar 21, 2019"
AT&T INC,Corporates,Fixed Income,"27,543.39",0.14,"27,543.39","25,000.00",00206RHW5,US00206RHW51,BK1MHJ2,108.74,United States,-,USD,4.49,2.0,1.0,"Feb 15, 2027",3.8,4.62,-,1.91,4.41,1.91,USD,"Feb 15, 2019","Jun 05, 2019"
MPLX LP,Corporates,Fixed Income,"27,463.06",0.14,"27,463.06","25,000.00",55336VAJ9,US55336VAJ98,BYYHPS7,109.45,United States,-,USD,2.97,2.0,1.0,"Jun 01, 2025",4.88,3.16,-,1.79,2.94,1.79,USD,"Jun 01, 2016","Sep 27, 2016"
KEURIG DR PEPPER INC,Corporates,Fixed Income,"27,360.67",0.14,"27,360.67","25,000.00",49271VAH3,US49271VAH33,BJQ4138,109.0,United States,-,USD,3.04,1.68,1.0,"May 25, 2025",4.42,3.17,-,1.55,3.02,1.55,USD,"May 25, 2019","May 31, 2019"
JM SMUCKER CO/THE,Corporates,Fixed Income,"26,906.14",0.13,"26,906.14","25,000.00",832696AK4,US832696AK43,BYVYKM0,106.59,United States,-,USD,3.02,1.39,1.0,"Mar 15, 2025",3.5,3.02,-,1.39,3.02,1.39,USD,"Sep 15, 2015","Oct 07, 2015"
MSBAM_15-C23 A4,Securitized,Fixed Income,"26,616.68",0.13,"26,616.68","25,000.00",61690QAE9,US61690QAE98,-,106.16,United States,-,USD,3.04,1.72,1.0,"Jul 15, 2050",3.72,3.03,-,1.72,3.03,1.72,USD,"Jun 01, 2015","Jun 01, 2015"
EQUINIX INC,Corporates,Fixed Income,"26,381.56",0.13,"26,381.56","25,000.00",29444UBE5,US29444UBE55,BKC9V23,105.14,United States,-,USD,6.86,2.48,1.0,"Nov 18, 2029",3.2,6.94,-,2.46,6.75,2.46,USD,"Nov 18, 2019","Nov 18, 2019"
ENBRIDGE INC,Corporates,Fixed Income,"26,363.58",0.13,"26,363.58","25,000.00",29250NAZ8,US29250NAZ87,-,105.06,Canada,-,USD,6.86,2.42,1.0,"Nov 15, 2029",3.13,6.95,-,2.4,6.76,2.4,USD,"Nov 15, 2019","Nov 15, 2019"
FNMA 30YR 2.0% 100% FL 2021,Securitized,Fixed Income,"25,967.25",0.13,"25,967.25","26,000.00",3140XDUC8,-,-,99.81,United States,-,USD,7.06,2.02,1.0,"Dec 01, 2051",2.0,6.88,-,2.02,6.88,2.02,USD,"Nov 01, 2021","Nov 01, 2021"
CARRIER GLOBAL CORP,Corporates,Fixed Income,"25,916.20",0.13,"25,916.20","25,000.00",14448CAP9,US14448CAP95,BMYT051,102.72,United States,-,USD,4.71,1.93,1.0,"Feb 15, 2027",2.49,4.76,-,1.92,4.61,1.92,USD,"Aug 15, 2020","Dec 08, 2020"
EQUINIX INC,Corporates,Fixed Income,"24,567.35",0.12,"24,567.35","25,000.00",29444UBH8,US29444UBH86,-,97.28,United States,-,USD,7.62,2.51,1.0,"Jul 15, 2030",2.15,7.66,-,2.51,7.66,2.51,USD,"Jun 22, 2020","Jun 22, 2020"
CANADIAN IMPERIAL BANK OF COMMERCE,Corporates,Fixed Income,"24,394.31",0.12,"24,394.31","25,000.00",13607HVE9,US13607HVE97,-,97.55,Canada,-,USD,4.32,1.82,1.0,"Jun 22, 2026",1.25,4.32,-,1.82,4.32,1.82,USD,"Jun 22, 2021","Jun 22, 2021"
VENTAS REALTY LP,Corporates,Fixed Income,"23,119.38",0.12,"23,119.38","20,000.00",92277GAN7,US92277GAN79,BGB5RY8,113.57,United States,-,USD,5.89,2.3,1.0,"Jan 15, 2029",4.4,6.02,-,2.24,5.83,2.24,USD,"Aug 15, 2018","Aug 15, 2018"
WELLTOWER INC,Corporates,Fixed Income,"22,636.13",0.11,"22,636.13","20,000.00",95040QAD6,US95040QAD60,BFY3CZ8,112.25,United States,-,USD,5.4,2.16,1.0,"Apr 15, 2028",4.25,5.53,-,2.08,5.34,2.08,USD,"Apr 10, 2018","Apr 10, 2018"
WELLTOWER INC,Corporates,Fixed Income,"22,628.32",0.11,"22,628.32","20,000.00",95040QAH7,US95040QAH74,BHZQ1K8,111.93,United States,-,USD,5.96,2.32,1.0,"Mar 15, 2029",4.13,6.23,-,2.2,5.85,2.2,USD,"Feb 15, 2019","Feb 15, 2019"
ONEOK INC,Corporates,Fixed Income,"22,572.01",0.11,"22,572.01","20,000.00",682680AU7,US682680AU71,BDDR183,110.76,United States,-,USD,5.49,2.74,1.0,"Jul 15, 2028",4.55,5.59,-,2.68,5.4,2.68,USD,"Jul 02, 2018","Jul 02, 2018"
TREASURY BOND,Treasury,Fixed Income,"22,512.12",0.11,"22,512.12","24,000.00",912810SS8,US912810SS87,BN7JWV5,93.59,United States,-,USD,22.51,1.91,1.0,"Nov 15, 2050",1.63,22.66,-,1.91,22.66,1.91,USD,"Nov 15, 2020","Nov 16, 2020"
BOSTON SCIENTIFIC CORPORATION,Corporates,Fixed Income,"22,499.47",0.11,"22,499.47","20,000.00",101137AX5,US101137AX52,BJ8J3M4,111.16,United States,-,USD,6.09,2.3,1.0,"Mar 01, 2029",4.0,6.21,-,2.25,6.02,2.25,USD,"Feb 25, 2019","Feb 25, 2019"
LEIDOS INC,Corporates,Fixed Income,"22,456.81",0.11,"22,456.81","20,000.00",52532XAF2,US52532XAF24,-,111.72,United States,-,USD,6.95,2.79,1.0,"May 15, 2030",4.38,7.05,-,2.75,6.87,2.75,USD,"May 15, 2021","Jun 21, 2021"
HCA INC,Corporates,Fixed Income,"22,428.20",0.11,"22,428.20","20,000.00",404119BU2,US404119BU21,BYXYJS7,110.44,United States,-,USD,4.24,2.33,1.0,"Feb 15, 2027",4.5,4.54,-,2.12,4.14,2.12,USD,"Aug 15, 2016","Aug 15, 2016"
REPUBLIC SERVICES INC,Corporates,Fixed Income,"22,290.94",0.11,"22,290.94","20,000.00",760759AT7,US760759AT74,BF4NFK4,110.95,United States,-,USD,5.52,2.1,1.0,"May 15, 2028",3.95,5.65,-,2.04,5.46,2.04,USD,"May 14, 2018","May 14, 2018"
MICRON TECHNOLOGY INC,Corporates,Fixed Income,"22,279.60",0.11,"22,279.60","20,000.00",595112BP7,US595112BP79,BK53BK0,109.82,United States,-,USD,4.49,2.15,1.0,"Feb 15, 2027",4.18,4.57,-,2.09,4.43,2.09,USD,"Jul 12, 2019","Jul 12, 2019"
CONAGRA BRANDS INC,Corporates,Fixed Income,"22,155.33",0.11,"22,155.33","20,000.00",205887CB6,US205887CB65,BFWSC00,110.01,United States,-,USD,3.41,1.88,1.0,"Nov 01, 2025",4.6,3.52,-,1.77,3.38,1.77,USD,"Oct 22, 2018","Oct 22, 2018"
ENBRIDGE INC,Corporates,Fixed Income,"22,139.43",0.11,"22,139.43","20,000.00",29250NAL9,US29250NAL91,BZ6CXC7,110.34,Canada,-,USD,4.31,2.03,1.0,"Dec 01, 2026",4.25,4.45,-,1.92,4.25,1.92,USD,"Nov 29, 2016","Nov 29, 2016"
DIGITAL REALTY TRUST LP,Corporates,Fixed Income,"22,100.80",0.11,"22,100.80","20,000.00",25389JAU0,US25389JAU07,BKF20T9,108.7,United States,-,USD,6.39,2.33,1.0,"Jul 01, 2029",3.6,6.5,-,2.29,6.31,2.29,USD,"Jun 14, 2019","Jun 14, 2019"
JPMORGAN CHASE & CO,Corporates,Fixed Income,"21,993.47",0.11,"21,993.47","20,000.00",46625HMN7,US46625HMN79,BYP3G69,108.17,United States,-,USD,3.09,1.52,1.0,"Jul 15, 2025",3.9,3.27,-,1.35,3.05,1.35,USD,"Jul 21, 2015","Jul 21, 2015"
AVANGRID INC,Corporates,Fixed Income,"21,948.13",0.11,"21,948.13","20,000.00",05351WAB9,US05351WAB90,BKDKCC2,109.42,United States,-,USD,6.37,2.4,1.0,"Jun 01, 2029",3.8,6.48,-,2.36,6.29,2.36,USD,"May 16, 2019","May 16, 2019"
SOUTHERN COMPANY (THE),Corporates,Fixed Income,"21,888.33",0.11,"21,888.33","20,000.00",842587DE4,US842587DE49,-,108.83,United States,-,USD,7.07,2.52,1.0,"Apr 30, 2030",3.7,7.17,-,2.49,6.98,2.49,USD,"Apr 03, 2020","Apr 03, 2020"
CAPITAL ONE FINANCIAL CORPORATION,Corporates,Fixed Income,"21,791.87",0.11,"21,791.87","20,000.00",14040HBZ7,US14040HBZ73,BDFD1H8,108.25,United States,-,USD,3.11,1.69,1.0,"Apr 30, 2025",4.25,3.11,-,1.63,3.03,1.63,USD,"Apr 30, 2018","Apr 30, 2018"
BOSTON SCIENTIFIC CORPORATION,Corporates,Fixed Income,"21,778.60",0.11,"21,778.60","20,000.00",101137AW7,US101137AW79,-,107.64,United States,-,USD,3.73,1.84,1.0,"Mar 01, 2026",3.75,3.83,-,1.76,3.68,1.76,USD,"Feb 25, 2019","Feb 25, 2019"
CAMPBELL SOUP COMPANY,Corporates,Fixed Income,"21,643.21",0.11,"21,643.21","20,000.00",134429BF5,US134429BF51,BFBDB32,107.05,United States,-,USD,2.88,1.68,1.0,"Mar 15, 2025",3.95,2.99,-,1.56,2.84,1.56,USD,"Mar 16, 2018","Mar 16, 2018"
DOLLAR TREE INC,Corporates,Fixed Income,"21,610.42",0.11,"21,610.42","20,000.00",256746AG3,US256746AG33,BFY8ZX2,107.54,United States,-,USD,3.04,1.69,1.0,"May 15, 2025",4.0,3.16,-,1.58,3.01,1.58,USD,"Apr 19, 2018","Apr 19, 2018"
HCP INC,Corporates,Fixed Income,"21,560.52",0.11,"21,560.52","20,000.00",40414LAQ2,US40414LAQ23,BKDK9B0,106.3,United States,-,USD,4.08,1.8,1.0,"Jul 15, 2026",3.25,4.17,-,1.75,4.03,1.75,USD,"Jul 05, 2019","Jul 05, 2019"
CONSTELLATION BRANDS INC,Corporates,Fixed Income,"21,350.10",0.11,"21,350.10","20,000.00",21036PBE7,US21036PBE79,BK6S8N6,105.44,United States,-,USD,6.57,2.36,1.0,"Aug 01, 2029",3.15,6.67,-,2.34,6.47,2.34,USD,"Jul 29, 2019","Jul 29, 2019"
PHILIP MORRIS INTERNATIONAL INC,Corporates,Fixed Income,"21,302.40",0.11,"21,302.40","15,000.00",718172AC3,US718172AC39,B2RK1T2,141.17,United States,-,USD,11.16,3.14,1.0,"May 16, 2038",6.38,11.18,-,3.14,11.18,3.14,USD,"May 16, 2008","May 16, 2008"
HP INC,Corporates,Fixed Income,"21,171.24",0.11,"21,171.24","20,000.00",40434LAC9,US40434LAC90,-,105.72,United States,-,USD,7.27,2.64,1.0,"Jun 17, 2030",3.4,7.35,-,2.62,7.16,2.62,USD,"Jun 17, 2020","Jun 17, 2020"
NORTHROP GRUMMAN CORP,Corporates,Fixed Income,"21,140.21",0.11,"21,140.21","20,000.00",666807BM3,US666807BM30,BF15KG4,104.35,United States,-,USD,2.78,1.46,1.0,"Jan 15, 2025",2.93,2.87,-,1.38,2.72,1.38,USD,"Oct 13, 2017","Oct 13, 2017"
BOEING CO,Corporates,Fixed Income,"21,010.91",0.11,"21,010.91","15,000.00",097023CX1,US097023CX16,BM8R6Q4,139.04,United States,-,USD,17.89,3.95,1.0,"May 01, 2060",5.93,18.1,-,3.94,18.0,3.94,USD,"May 04, 2020","May 04, 2020"
GENERAL ELECTRIC CO MTN,Corporates,Fixed Income,"20,776.46",0.1,"20,776.46","15,000.00",36962GXZ2,US36962GXZ26,BG48W16,136.47,United States,-,USD,7.78,2.65,1.0,"Mar 15, 2032",6.75,7.76,-,2.65,7.76,2.65,USD,"Mar 20, 2002","Mar 20, 2002"
SOUTHERN COPPER CORP,Corporates,Fixed Income,"20,766.25",0.1,"20,766.25","15,000.00",84265VAJ4,US84265VAJ44,BWXV3J3,137.28,Mexico,-,USD,14.11,3.52,1.0,"Apr 23, 2045",5.88,14.17,-,3.52,14.17,3.52,USD,"Apr 23, 2015","Apr 23, 2015"
GOLDMAN SACHS BDC INC,Corporates,Fixed Income,"20,762.14",0.1,"20,762.14","20,000.00",38147UAD9,US38147UAD90,-,102.49,United States,-,USD,3.74,2.23,1.0,"Jan 15, 2026",2.88,3.75,-,2.22,3.68,2.22,USD,"Nov 24, 2020","Nov 24, 2020"
CHARTER COMMUNICATIONS OPERATING L,Corporates,Fixed Income,"20,731.47",0.1,"20,731.47","15,000.00",161175BA1,US161175BA14,BYQ7R23,136.93,United States,-,USD,13.53,4.05,1.0,"Oct 23, 2045",6.48,13.69,-,4.03,13.53,4.03,USD,"Oct 23, 2016","Dec 01, 2016"
FIFTH THIRD BANCORP,Corporates,Fixed Income,"20,731.48",0.1,"20,731.48","20,000.00",316773CY4,US316773CY45,-,102.65,United States,-,USD,2.9,1.49,1.0,"Jan 28, 2025",2.38,2.93,-,1.47,2.86,1.47,USD,"Oct 28, 2019","Oct 28, 2019"
BROADRIDGE FINANCIAL SOLUTIONS INC,Corporates,Fixed Income,"20,724.13",0.1,"20,724.13","20,000.00",11133TAD5,US11133TAD54,BKL9NX9,103.38,United States,-,USD,6.97,2.43,1.0,"Dec 01, 2029",2.9,7.04,-,2.41,6.85,2.41,USD,"Dec 09, 2019","Dec 09, 2019"
EVERGY INC,Corporates,Fixed Income,"20,711.78",0.1,"20,711.78","20,000.00",30034WAB2,US30034WAB28,BK5W958,102.71,United States,-,USD,6.76,2.51,1.0,"Sep 15, 2029",2.9,6.83,-,2.5,6.63,2.5,USD,"Sep 09, 2019","Sep 09, 2019"
TIME WARNER CABLE LLC,Corporates,Fixed Income,"20,528.59",0.1,"20,528.59","15,000.00",88732JAU2,US88732JAU25,B62X8Y8,136.5,United States,-,USD,11.33,3.86,1.0,"Jun 15, 2039",6.75,11.32,-,3.86,11.32,3.86,USD,"Jun 29, 2009","Jun 29, 2009"
AT&T INC,Corporates,Fixed Income,"20,515.83",0.1,"20,515.83","20,000.00",00206RLV2,US00206RLV23,BNYDH60,101.47,United States,-,USD,20.1,3.58,1.0,"Sep 15, 2059",3.65,20.31,-,3.58,20.18,3.58,USD,"Mar 15, 2021","Sep 03, 2021"
SIMON PROPERTY GROUP LP,Corporates,Fixed Income,"20,490.60",0.1,"20,490.60","20,000.00",828807DG9,US828807DG99,-,101.85,United States,-,USD,2.5,1.3,1.0,"Sep 13, 2024",2.0,2.61,-,1.23,2.37,1.23,USD,"Sep 13, 2019","Sep 13, 2019"
MARVELL TECHNOLOGY INC,Corporates,Fixed Income,"20,412.64",0.1,"20,412.64","20,000.00",573874AF1,US573874AF10,-,101.55,United States,-,USD,5.74,2.19,1.0,"Apr 15, 2028",2.45,5.78,-,2.18,5.64,2.18,USD,"Apr 12, 2021","Oct 07, 2021"
CORPORATE OFFICE PROPERTIES LP,Corporates,Fixed Income,"20,039.69",0.1,"20,039.69","20,000.00",22003BAM8,US22003BAM81,-,99.59,United States,-,USD,8.07,2.8,1.0,"Apr 15, 2031",2.75,8.1,-,2.8,8.1,2.8,USD,"Mar 11, 2021","Mar 11, 2021"
JABIL INC,Corporates,Fixed Income,"19,934.98",0.1,"19,934.98","20,000.00",466313AL7,US466313AL75,-,99.32,United States,-,USD,4.09,1.87,1.0,"Apr 15, 2026",1.7,4.1,-,1.87,4.1,1.87,USD,"Apr 14, 2021","Apr 14, 2021"
SYNNEX CORP 144A,Corporates,Fixed Income,"19,870.61",0.1,"19,870.61","20,000.00",87162WAC4,US87162WAC47,-,98.86,United States,-,USD,2.22,1.7,1.0,"Aug 09, 2024",1.25,2.54,-,1.7,2.54,1.7,USD,"Aug 09, 2021","Aug 09, 2021"
PIONEER NATURAL RESOURCES COMPANY,Corporates,Fixed Income,"19,824.77",0.1,"19,824.77","20,000.00",723787AS6,US723787AS61,-,98.78,United States,-,USD,1.88,1.36,1.0,"Jan 15, 2024",0.75,2.01,-,1.36,2.01,1.36,USD,"Jan 29, 2021","Jan 29, 2021"
ROYALTY PHARMA PLC,Corporates,Fixed Income,"19,792.29",0.1,"19,792.29","20,000.00",78081BAJ2,US78081BAJ26,-,98.38,United States,-,USD,5.31,2.05,1.0,"Sep 02, 2027",1.75,5.33,-,2.05,5.33,2.05,USD,"Mar 02, 2021","Aug 03, 2021"
UNIVERSAL HEALTH SERVICES INC 144A,Corporates,Fixed Income,"19,785.02",0.1,"19,785.02","20,000.00",913903AX8,US913903AX86,-,98.34,United States,-,USD,4.44,2.02,1.0,"Sep 01, 2026",1.65,4.44,-,2.02,4.44,2.02,USD,"Aug 24, 2021","Aug 24, 2021"
HCA INC,Corporates,Fixed Income,"19,778.89",0.1,"19,778.89","15,000.00",404119BV0,US404119BV04,BF2XWB6,131.57,United States,-,USD,15.0,3.6,1.0,"Jun 15, 2047",5.5,15.19,-,3.58,15.02,3.58,USD,"Jun 22, 2017","Jun 22, 2017"
DTE ENERGY COMPANY,Corporates,Fixed Income,"19,647.30",0.1,"19,647.30","20,000.00",233331BG1,US233331BG16,-,98.15,United States,-,USD,3.33,1.61,1.0,"Jun 01, 2025",1.05,3.33,-,1.61,3.33,1.61,USD,"Aug 06, 2020","Aug 06, 2020"
PIONEER NATURAL RESOURCES COMPANY,Corporates,Fixed Income,"19,562.75",0.1,"19,562.75","20,000.00",723787AT4,US723787AT45,-,97.3,United States,-,USD,3.9,1.82,1.0,"Jan 15, 2026",1.13,3.9,-,1.82,3.9,1.82,USD,"Jan 29, 2021","Jan 29, 2021"
PIONEER NATURAL RESOURCES COMPANY,Corporates,Fixed Income,"19,518.06",0.1,"19,518.06","20,000.00",723787AR8,US723787AR88,BM9PJB3,96.58,United States,-,USD,8.03,2.58,1.0,"Jan 15, 2031",2.15,8.06,-,2.58,8.06,2.58,USD,"Jan 29, 2021","Jan 29, 2021"
SAN DIEGO GAS & ELECTRIC CO,Corporates,Fixed Income,"19,289.60",0.1,"19,289.60","20,000.00",797440BZ6,US797440BZ64,-,96.02,United States,-,USD,7.98,2.2,1.0,"Oct 01, 2030",1.7,8.03,-,2.2,8.03,2.2,USD,"Sep 28, 2020","Sep 28, 2020"
ENTERPRISE PRODUCTS OPERATING LLC,Corporates,Fixed Income,"18,985.38",0.1,"18,985.38","15,000.00",29379VBC6,US29379VBC63,BJT1608,124.6,United States,-,USD,14.21,3.53,1.0,"Feb 15, 2045",5.1,14.38,-,3.51,14.19,3.51,USD,"Feb 12, 2014","Feb 12, 2014"
KRAFT HEINZ FOODS CO,Corporates,Fixed Income,"18,969.71",0.1,"18,969.71","15,000.00",50077LAZ9,US50077LAZ94,BKSYG05,125.25,United States,-,USD,16.19,3.45,1.0,"Oct 01, 2049",4.88,16.39,-,3.44,16.23,3.44,USD,"Oct 01, 2020","Jan 19, 2021"
CVS HEALTH CORP,Corporates,Fixed Income,"18,527.17",0.09,"18,527.17","15,000.00",126650CY4,US126650CY46,BF4JK96,122.2,United States,-,USD,11.52,3.04,1.0,"Mar 25, 2038",4.78,11.69,-,3.0,11.43,3.0,USD,"Mar 09, 2018","Mar 09, 2018"
FLORIDA POWER & LIGHT CO,Corporates,Fixed Income,"18,267.54",0.09,"18,267.54","15,000.00",341081FQ5,US341081FQ54,BG1V081,120.43,United States,-,USD,16.81,2.84,1.0,"Mar 01, 2048",3.95,17.04,-,2.83,16.84,2.83,USD,"Feb 28, 2018","Feb 28, 2018"
CONNECTICUT LIGHT AND POWER COMPAN,Corporates,Fixed Income,"18,244.85",0.09,"18,244.85","15,000.00",207597EL5,US207597EL50,BFMNF73,120.6,United States,-,USD,16.82,2.88,1.0,"Apr 01, 2048",4.0,17.04,-,2.86,16.84,2.86,USD,"Mar 28, 2018","Mar 28, 2018"
FEDEX CORP,Corporates,Fixed Income,"18,062.83",0.09,"18,062.83","15,000.00",31428XBN5,US31428XBN57,BYYPSG0,118.39,United States,-,USD,15.53,3.31,1.0,"Jan 15, 2047",4.4,15.72,-,3.3,15.53,3.3,USD,"Jan 06, 2017","Jan 06, 2017"
MARRIOTT INTERNATIONAL INC,Corporates,Fixed Income,"17,042.30",0.09,"17,042.30","15,000.00",571903BD4,US571903BD44,-,112.66,United States,-,USD,2.99,1.82,1.0,"May 01, 2025",5.75,3.05,-,1.73,2.98,1.73,USD,"Apr 16, 2020","Apr 16, 2020"
AUTOZONE INC,Corporates,Fixed Income,"16,895.32",0.08,"16,895.32","15,000.00",053332AZ5,US053332AZ56,BK8TZ58,111.79,United States,-,USD,6.96,2.42,1.0,"Apr 15, 2030",4.0,7.07,-,2.38,6.89,2.38,USD,"Mar 30, 2020","Mar 30, 2020"
VERIZON COMMUNICATIONS INC,Corporates,Fixed Income,"16,877.00",0.08,"16,877.00","15,000.00",92343VEU4,US92343VEU44,-,112.2,United States,-,USD,6.72,2.32,1.0,"Dec 03, 2029",4.02,6.84,-,2.27,6.65,2.27,USD,"Jun 03, 2019","Sep 10, 2019"
SOUTHERN CALIFORNIA EDISON COMPANY,Corporates,Fixed Income,"16,762.70",0.08,"16,762.70","15,000.00",842400GG2,US842400GG23,BD9BPH6,110.72,United States,-,USD,16.02,3.37,1.0,"Apr 01, 2047",4.0,16.2,-,3.36,16.0,3.36,USD,"Mar 24, 2017","Mar 24, 2017"
MORGAN STANLEY,Corporates,Fixed Income,"16,537.43",0.08,"16,537.43","15,000.00",6174468C6,US6174468C63,BYTCKF9,108.49,United States,-,USD,3.29,1.54,1.0,"Jul 23, 2025",4.0,3.29,-,1.54,3.29,1.54,USD,"Jul 23, 2015","Jul 23, 2015"
VMWARE INC,Corporates,Fixed Income,"16,441.35",0.08,"16,441.35","15,000.00",928563AD7,US928563AD71,-,109.03,United States,-,USD,3.08,1.73,1.0,"May 15, 2025",4.5,3.13,-,1.67,3.06,1.67,USD,"Apr 07, 2020","Apr 07, 2020"
LOWES COMPANIES INC,Corporates,Fixed Income,"16,386.22",0.08,"16,386.22","15,000.00",548661DT1,US548661DT10,-,108.4,United States,-,USD,3.02,1.38,1.0,"Apr 15, 2025",4.0,3.08,-,1.32,3.01,1.32,USD,"Mar 26, 2020","Mar 26, 2020"
EVERGY KANSAS CENTRAL INC,Corporates,Fixed Income,"16,343.86",0.08,"16,343.86","15,000.00",30036FAA9,US30036FAA93,-,108.2,United States,-,USD,18.1,3.02,1.0,"Apr 15, 2050",3.45,18.31,-,3.01,18.11,3.01,USD,"Apr 09, 2020","Apr 09, 2020"
CVS HEALTH CORP,Corporates,Fixed Income,"16,342.10",0.08,"16,342.10","15,000.00",126650CW8,US126650CW89,BF4JKP2,107.85,United States,-,USD,2.89,1.6,1.0,"Mar 25, 2025",4.1,3.01,-,1.47,2.87,1.47,USD,"Mar 09, 2018","Mar 09, 2018"
AMERISOURCEBERGEN CORPORATION,Corporates,Fixed Income,"16,188.50",0.08,"16,188.50","15,000.00",03073EAP0,US03073EAP07,BFD9PD6,107.77,United States,-,USD,5.28,2.06,1.0,"Dec 15, 2027",3.45,5.39,-,2.0,5.19,2.0,USD,"Dec 04, 2017","Dec 04, 2017"
MORGAN STANLEY MTN,Corporates,Fixed Income,"16,103.67",0.08,"16,103.67","15,000.00",61761J3R8,US61761J3R84,BYV6G28,106.02,United States,-,USD,4.22,1.75,1.0,"Jul 27, 2026",3.13,4.22,-,1.75,4.22,1.75,USD,"Jul 25, 2016","Jul 25, 2016"
CONSOLIDATED EDISON COMPANY OF NEW,Corporates,Fixed Income,"16,072.50",0.08,"16,072.50","15,000.00",209111GB3,US209111GB38,-,106.96,United States,-,USD,21.33,3.28,1.0,"Jun 15, 2061",3.6,21.58,-,3.28,21.45,3.28,USD,"Jun 08, 2021","Jun 08, 2021"
DUKE ENERGY CORP,Corporates,Fixed Income,"16,035.60",0.08,"16,035.60","15,000.00",26441CAX3,US26441CAX39,BF46Z58,105.71,United States,-,USD,5.0,2.07,1.0,"Aug 15, 2027",3.15,5.1,-,2.02,4.89,2.02,USD,"Aug 10, 2017","Aug 10, 2017"
WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Corporates,Fixed Income,"15,968.83",0.08,"15,968.83","15,000.00",960386AL4,US960386AL46,BYXGKP7,106.02,United States,-,USD,4.36,2.14,1.0,"Nov 15, 2026",3.45,4.47,-,2.08,4.26,2.08,USD,"May 15, 2017","Aug 25, 2017"
CIGNA CORP,Corporates,Fixed Income,"15,909.62",0.08,"15,909.62","15,000.00",125523AV2,US125523AV22,-,105.38,United States,-,USD,2.95,1.57,1.0,"Apr 15, 2025",3.25,3.11,-,1.44,2.88,1.44,USD,"Apr 15, 2020","Jul 13, 2020"
