,,,,,,,,,,,,,,,,,,,,,,,,,,iShares ESG Advanced High Yield Corporate Bond ETF
TEGNA INC,Communications,Fixed Income,"246,018.73",0.17,"246,018.73","240,000.00",87901JAJ4,US87901JAJ43,-,101.15,United States,-,USD,3.86,4.41,1.0,"Mar 15, 2028",4.63,5.28,-,4.24,2.92,4.24,USD,"Jan 09, 2020","Jan 09, 2020"
XEROX CORPORATION,Technology,Fixed Income,"245,660.06",0.17,"245,660.06","235,000.00",984121CQ4,US984121CQ49,BDG75H7,103.25,United States,-,USD,1.1,1.64,1.0,"Mar 15, 2023",4.38,1.16,-,1.44,1.09,1.44,USD,"Sep 11, 2017","Sep 11, 2017"
IRON MOUNTAIN INC 144A,Technology,Fixed Income,"243,857.12",0.17,"243,857.12","230,000.00",46284VAE1,US46284VAE11,BD3MND7,104.48,United States,-,USD,2.15,4.42,1.0,"Mar 15, 2028",5.25,5.21,-,3.24,0.95,3.24,USD,"Dec 27, 2017","Dec 27, 2017"
REALOGY GROUP LLC 144A,Consumer Cyclical,Fixed Income,"242,423.19",0.17,"242,423.19","230,000.00",75606DAL5,US75606DAL55,-,102.75,United States,-,USD,4.19,5.28,1.0,"Jan 15, 2029",5.75,5.61,-,4.99,3.49,4.99,USD,"Jan 11, 2021","Jan 11, 2021"
NORDSTROM INC,Consumer Cyclical,Fixed Income,"240,573.89",0.17,"240,573.89","250,000.00",655664AR1,US655664AR15,BNFX1H8,93.92,United States,-,USD,12.65,5.48,1.0,"Jan 15, 2044",5.0,12.64,-,5.48,12.64,5.48,USD,"Dec 12, 2013","Jun 06, 2014"
RAKUTEN GROUP INC 144A,Consumer Cyclical,Fixed Income,"240,503.75",0.17,"240,503.75","225,000.00",75102WAB4,US75102WAB46,BP2FD31,105.71,Japan,-,USD,9.93,5.91,1.0,"Dec 31, 2049",6.25,16.92,-,5.46,7.0,5.46,USD,"Apr 22, 2021","Apr 22, 2021"
VIDEOTRON LTD 144A,Communications,Fixed Income,"240,313.07",0.17,"240,313.07","230,000.00",92660FAK0,US92660FAK03,BDRT6B3,103.4,Canada,-,USD,0.54,4.4,1.0,"Apr 15, 2027",5.13,4.56,-,2.13,0.29,2.13,USD,"Apr 13, 2017","Apr 13, 2017"
IHS MARKIT LTD,Technology,Fixed Income,"239,621.61",0.17,"239,621.61","210,000.00",44962LAJ6,US44962LAJ61,BJRF873,113.41,United States,-,USD,6.21,2.26,1.0,"May 01, 2029",4.25,6.34,-,2.2,6.15,2.2,USD,"Apr 08, 2019","Apr 08, 2019"
CLARIVATE SCIENCE HOLDINGS CORP 144A,Technology,Fixed Income,"238,393.40",0.17,"238,393.40","235,000.00",18064PAD1,US18064PAD15,-,101.44,United States,-,USD,4.9,4.64,1.0,"Jul 01, 2029",4.88,6.24,-,4.52,4.01,4.52,USD,"Jun 24, 2021","Aug 19, 2021"
UNITED RENTALS (NORTH AMERICA) INC,Capital Goods,Fixed Income,"237,931.54",0.16,"237,931.54","215,000.00",911365BL7,US911365BL76,BJX8NT3,108.25,United States,-,USD,3.98,4.04,1.0,"Jan 15, 2030",5.25,6.45,-,3.21,2.75,3.21,USD,"May 10, 2019","May 10, 2019"
OPEN TEXT CORP 144A,Technology,Fixed Income,"237,803.64",0.16,"237,803.64","230,000.00",683715AC0,US683715AC05,-,101.93,Canada,-,USD,3.37,3.52,1.0,"Feb 15, 2028",3.88,5.34,-,3.22,2.88,3.22,USD,"Feb 18, 2020","Feb 18, 2020"
HANESBRANDS INC 144A,Consumer Cyclical,Fixed Income,"237,404.02",0.16,"237,404.02","220,000.00",410345AL6,US410345AL67,BZ30506,107.29,United States,-,USD,3.8,3.08,1.0,"May 15, 2026",4.88,3.92,-,2.98,3.72,2.98,USD,"May 06, 2016","May 06, 2016"
SIX FLAGS THEME PARKS INC 144A,Consumer Cyclical,Fixed Income,"237,164.35",0.16,"237,164.35","215,000.00",83001WAC8,US83001WAC82,BMF04Y0,106.81,United States,-,USD,0.48,4.86,1.0,"Jul 01, 2025",7.0,3.01,-,0.36,0.49,0.36,USD,"Apr 22, 2020","Apr 22, 2020"
UNITED RENTALS (NORTH AMERICA) INC,Capital Goods,Fixed Income,"236,455.75",0.16,"236,455.75","225,000.00",911365BN3,US911365BN33,-,103.25,United States,-,USD,4.71,3.56,1.0,"Jul 15, 2030",4.0,7.09,-,3.03,3.23,3.03,USD,"Feb 25, 2020","Feb 25, 2020"
MERCER INTERNATIONAL INC.,Basic Industry,Fixed Income,"234,698.44",0.16,"234,698.44","225,000.00",588056BB6,US588056BB60,-,102.18,United States,-,USD,4.34,4.76,1.0,"Feb 01, 2029",5.13,5.78,-,4.53,3.58,4.53,USD,"Jan 26, 2021","Jul 06, 2021"
NEWELL BRANDS INC,Consumer Non-Cyclical,Fixed Income,"234,543.38",0.16,"234,543.38","225,000.00",651229AV8,US651229AV81,BD3J3K5,103.15,United States,-,USD,1.06,1.78,1.0,"Apr 01, 2023",4.35,1.21,-,1.39,1.05,1.39,USD,"Mar 30, 2016","Mar 30, 2016"
SERVICE CORPORATION INTERNATIONAL,Consumer Cyclical,Fixed Income,"233,676.95",0.16,"233,676.95","235,000.00",817565CF9,US817565CF96,-,98.16,United States,-,USD,6.2,3.62,1.0,"Aug 15, 2030",3.38,7.31,-,3.62,7.31,3.62,USD,"Aug 10, 2020","Aug 10, 2020"
LIVE NATION ENTERTAINMENT INC 144A,Consumer Cyclical,Fixed Income,"233,569.75",0.16,"233,569.75","225,000.00",538034AR0,US538034AR08,-,102.81,United States,-,USD,3.41,4.2,1.0,"Oct 15, 2027",4.75,4.99,-,3.94,3.42,3.94,USD,"Oct 17, 2019","Oct 17, 2019"
UNITED RENTALS NORTH AM,Capital Goods,Fixed Income,"233,274.31",0.16,"233,274.31","220,000.00",911365BF0,US911365BF09,BYX1YP0,103.96,United States,-,USD,0.53,4.66,1.0,"May 15, 2027",5.5,4.54,-,2.17,0.36,2.17,USD,"Nov 07, 2016","Nov 07, 2016"
ZIGGO BV 144A,Communications,Fixed Income,"232,916.91",0.16,"232,916.91","225,000.00",98955DAA8,US98955DAA81,-,102.5,Netherlands,-,USD,4.83,4.5,1.0,"Jan 15, 2030",4.88,6.55,-,4.21,3.41,4.21,USD,"Oct 28, 2019","Oct 28, 2019"
LAMB WESTON HOLDINGS INC 144A,Consumer Non-Cyclical,Fixed Income,"232,502.16",0.16,"232,502.16","225,000.00",513272AD6,US513272AD65,-,102.73,United States,-,USD,5.08,3.73,1.0,"Jan 31, 2030",4.13,6.81,-,3.53,4.54,3.53,USD,"Nov 08, 2021","Nov 08, 2021"
SENSATA TECHNOLOGIES BV 144A,Technology,Fixed Income,"231,894.75",0.16,"231,894.75","225,000.00",81725WAK9,US81725WAK99,-,102.23,United States,-,USD,4.51,3.65,1.0,"Apr 15, 2029",4.0,6.24,-,3.43,3.83,3.43,USD,"Mar 29, 2021","Mar 29, 2021"
CLEVELAND-CLIFFS INC 144A,Basic Industry,Fixed Income,"231,691.52",0.16,"231,691.52","215,000.00",185899AG6,US185899AG62,-,105.78,United States,-,USD,1.7,5.2,1.0,"Mar 15, 2026",6.75,3.59,-,4.12,1.11,4.12,USD,"Mar 13, 2020","Mar 13, 2020"
PRIME SECURITY SERVICES BORROWER L 144A,Consumer Cyclical,Fixed Income,"231,648.00",0.16,"231,648.00","240,000.00",74166MAF3,US74166MAF32,BMFBJS2,96.37,United States,-,USD,4.99,4.1,1.0,"Aug 31, 2027",3.38,5.08,-,4.1,5.08,4.1,USD,"Aug 20, 2020","Aug 20, 2020"
ELANCO ANIMAL HEALTH INC,Consumer Non-Cyclical,Fixed Income,"231,062.98",0.16,"231,062.98","195,000.00",28414HAG8,US28414HAG83,BK6ZHZ2,116.48,United States,-,USD,5.4,3.14,1.0,"Aug 28, 2028",5.9,5.51,-,3.05,5.34,3.05,USD,"Feb 28, 2019","Jun 26, 2019"
BALL CORP,Capital Goods,Fixed Income,"231,004.64",0.16,"231,004.64","220,000.00",058498AS5,US058498AS54,B976RJ1,104.49,United States,-,USD,1.81,1.56,1.0,"Nov 15, 2023",4.0,1.8,-,1.56,1.8,1.56,USD,"May 16, 2013","May 16, 2013"
ELEMENT SOLUTIONS INC 144A,Basic Industry,Fixed Income,"230,815.50",0.16,"230,815.50","225,000.00",28618MAA4,US28618MAA45,-,101.29,United States,-,USD,4.17,3.65,1.0,"Sep 01, 2028",3.88,5.77,-,3.5,3.35,3.5,USD,"Aug 18, 2020","Aug 18, 2020"
CDK GLOBAL INC,Technology,Fixed Income,"229,541.95",0.16,"229,541.95","220,000.00",12508EAF8,US12508EAF88,BFFW726,103.93,United States,-,USD,0.47,4.06,1.0,"Jun 01, 2027",4.88,4.73,-,1.24,0.41,1.24,USD,"Dec 01, 2017","Apr 16, 2018"
HOLOGIC INC 144A,Consumer Non-Cyclical,Fixed Income,"228,824.50",0.16,"228,824.50","225,000.00",436440AP6,US436440AP62,BL6L5L9,100.47,United States,-,USD,4.53,3.18,1.0,"Feb 15, 2029",3.25,6.24,-,3.12,3.46,3.12,USD,"Sep 28, 2020","Sep 28, 2020"
PARK INTERMEDIATE HOLDINGS LLC 144A,Reits,Fixed Income,"228,295.06",0.16,"228,295.06","215,000.00",70052LAB9,US70052LAB99,BMGWP75,104.72,United States,-,USD,3.46,5.04,1.0,"Oct 01, 2028",5.88,5.48,-,4.49,3.31,4.49,USD,"Sep 18, 2020","Sep 18, 2020"
TEMPUR SEALY INTERNATIONAL INC 144A,Consumer Non-Cyclical,Fixed Income,"227,830.70",0.16,"227,830.70","225,000.00",88023UAJ0,US88023UAJ07,-,100.21,United States,-,USD,6.75,3.85,1.0,"Oct 15, 2031",3.88,8.0,-,3.84,6.6,3.84,USD,"Sep 24, 2021","Sep 24, 2021"
ELANCO ANIMAL HEALTH INC,Consumer Non-Cyclical,Fixed Income,"227,081.96",0.16,"227,081.96","210,000.00",28414HAE3,US28414HAE36,BK6NCQ2,106.33,United States,-,USD,1.5,1.39,1.0,"Aug 28, 2023",5.27,1.57,-,1.2,1.5,1.2,USD,"Feb 28, 2019","Jun 26, 2019"
HERTZ CORPORATION (THE) 144A,Transportation,Fixed Income,"226,774.73",0.16,"226,774.73","225,000.00",428040DB2,US428040DB25,-,100.26,United States,-,USD,5.35,4.96,1.0,"Dec 01, 2029",5.0,6.44,-,4.94,4.29,4.94,USD,"Nov 23, 2021","Nov 23, 2021"
XEROX HOLDINGS CORP 144A,Technology,Fixed Income,"225,743.47",0.16,"225,743.47","210,000.00",98421MAA4,US98421MAA45,BMDZF00,105.61,United States,-,USD,3.24,3.34,1.0,"Aug 15, 2025",5.0,3.25,-,3.31,3.18,3.31,USD,"Aug 06, 2020","Aug 06, 2020"
NATIONSTAR MORTGAGE HOLDINGS INC 144A,Financial Other,Fixed Income,"225,607.62",0.16,"225,607.62","215,000.00",63861CAC3,US63861CAC38,BMD7LH5,102.86,United States,-,USD,3.8,4.99,1.0,"Aug 15, 2028",5.5,5.41,-,4.63,3.2,4.63,USD,"Aug 06, 2020","Aug 06, 2020"
VICI PROPERTIES LP 144A,Consumer Cyclical,Fixed Income,"225,586.90",0.16,"225,586.90","210,000.00",92564RAE5,US92564RAE53,BKMH5T2,105.86,United States,-,USD,4.56,3.34,1.0,"Aug 15, 2030",4.13,7.16,-,2.79,2.89,2.79,USD,"Feb 05, 2020","Feb 05, 2020"
GARTNER INC 144A,Technology,Fixed Income,"224,235.90",0.16,"224,235.90","210,000.00",366651AC1,US366651AC11,-,104.53,United States,-,USD,2.9,3.71,1.0,"Jul 01, 2028",4.5,5.51,-,2.87,1.42,2.87,USD,"Jun 22, 2020","Jun 22, 2020"
HILTON DOMESTIC OPERATING COMPANY 144A,Consumer Cyclical,Fixed Income,"223,084.42",0.15,"223,084.42","220,000.00",432833AJ0,US432833AJ07,-,100.78,United States,-,USD,4.87,3.63,1.0,"May 01, 2029",3.75,6.33,-,3.55,3.95,3.55,USD,"Dec 01, 2020","Dec 01, 2020"
ENERGIZER HOLDINGS INC 144A,Consumer Non-Cyclical,Fixed Income,"222,155.44",0.15,"222,155.44","225,000.00",29272WAD1,US29272WAD11,BMD3QC3,97.64,United States,-,USD,5.2,4.76,1.0,"Mar 31, 2029",4.38,6.06,-,4.76,6.06,4.76,USD,"Sep 30, 2020","Sep 30, 2020"
CSC HOLDINGS LLC 144A,Communications,Fixed Income,"219,312.67",0.15,"219,312.67","200,000.00",126307AY3,US126307AY37,BGSQL08,107.45,United States,-,USD,1.87,6.05,1.0,"Apr 01, 2028",7.5,4.9,-,4.27,1.17,4.27,USD,"Oct 01, 2018","Oct 18, 2018"
POST HOLDINGS INC 144A,Consumer Non-Cyclical,Fixed Income,"219,163.43",0.15,"219,163.43","202,000.00",737446AN4,US737446AN44,BD2BTD7,105.9,United States,-,USD,1.19,4.5,1.0,"Jan 15, 2028",5.63,4.99,-,2.14,0.87,2.14,USD,"Dec 01, 2017","Dec 01, 2017"
APX GROUP INC 144A,Consumer Cyclical,Fixed Income,"218,758.68",0.15,"218,758.68","215,000.00",00213MAW4,US00213MAW47,-,99.0,United States,-,USD,5.13,5.92,1.0,"Jul 15, 2029",5.75,5.87,-,5.92,5.87,5.92,USD,"Jul 09, 2021","Jul 09, 2021"
WMG ACQUISITION CORP 144A,Communications,Fixed Income,"218,667.00",0.15,"218,667.00","225,000.00",92933BAR5,US92933BAR50,-,96.05,United States,-,USD,6.86,3.51,1.0,"Feb 15, 2031",3.0,7.79,-,3.51,7.79,3.51,USD,"Aug 12, 2020","Aug 12, 2020"
HUGHES SATELLITE SYSTEMS CORP,Communications,Fixed Income,"218,049.98",0.15,"218,049.98","195,000.00",444454AD4,US444454AD48,BZ12322,109.63,United States,-,USD,4.05,2.98,1.0,"Aug 01, 2026",5.25,4.02,-,2.98,4.02,2.98,USD,"Feb 01, 2017","May 11, 2017"
AMS AG 144A,Technology,Fixed Income,"218,001.33",0.15,"218,001.33","200,000.00",03217CAA4,US03217CAA45,-,106.08,Austria,-,USD,1.79,5.12,1.0,"Jul 31, 2025",7.0,3.08,-,4.07,1.46,4.07,USD,"Jul 06, 2020","Jul 06, 2020"
HOWARD HUGHES CORP 144A,Financial Other,Fixed Income,"217,717.17",0.15,"217,717.17","200,000.00",44267DAD9,US44267DAD93,-,106.62,United States,-,USD,2.38,4.21,1.0,"Aug 01, 2028",5.38,5.44,-,2.75,1.49,2.75,USD,"Aug 18, 2020","Aug 18, 2020"
B&G FOODS INC,Consumer Non-Cyclical,Fixed Income,"216,987.75",0.15,"216,987.75","210,000.00",05508RAE6,US05508RAE62,BYQ1WZ3,102.02,United States,-,USD,0.3,4.57,1.0,"Apr 01, 2025",5.25,2.93,-,2.36,0.25,2.36,USD,"Apr 03, 2017","Apr 03, 2017"
ADVANTAGE SALES & MARKETING INC 144A,Communications,Fixed Income,"216,960.84",0.15,"216,960.84","205,000.00",00775PAA5,US00775PAA57,-,105.0,United States,-,USD,3.61,5.61,1.0,"Nov 15, 2028",6.5,5.49,-,5.06,3.38,5.06,USD,"Oct 28, 2020","Oct 28, 2020"
MICHAELS COMPANIES INC 144A,Consumer Cyclical,Fixed Income,"216,603.90",0.15,"216,603.90","215,000.00",55916AAA2,US55916AAA25,-,99.87,United States,-,USD,4.51,5.27,1.0,"May 01, 2028",5.25,5.28,-,5.27,5.28,5.27,USD,"Apr 15, 2021","Apr 15, 2021"
PERRIGO FINANCE PLC,Consumer Non-Cyclical,Fixed Income,"215,692.39",0.15,"215,692.39","200,000.00",71429MAB1,US71429MAB19,BDB49P9,106.56,United States,-,USD,3.68,2.71,1.0,"Mar 15, 2026",4.38,3.8,-,2.62,3.59,2.62,USD,"Mar 10, 2016","Mar 10, 2016"
GARTNER INC 144A,Technology,Fixed Income,"215,444.25",0.15,"215,444.25","210,000.00",366651AE7,US366651AE76,-,101.66,United States,-,USD,5.25,3.53,1.0,"Oct 01, 2030",3.75,7.35,-,3.28,3.45,3.28,USD,"Sep 28, 2020","Sep 28, 2020"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"214,990.08",0.15,"214,990.08","170,000.00",50077LAZ9,US50077LAZ94,BKSYG05,125.25,United States,-,USD,16.19,3.45,1.0,"Oct 01, 2049",4.88,16.39,-,3.44,16.23,3.44,USD,"Oct 01, 2020","Jan 19, 2021"
HORIZON PHARMA USA INC 144A,Consumer Non-Cyclical,Fixed Income,"214,727.33",0.15,"214,727.33","200,000.00",44055PAA4,US44055PAA49,BKFH1G8,105.07,United States,-,USD,1.93,4.46,1.0,"Aug 01, 2027",5.5,4.69,-,3.69,0.56,3.69,USD,"Jul 16, 2019","Jul 16, 2019"
VICI PROPERTIES LP 144A,Consumer Cyclical,Fixed Income,"214,720.42",0.15,"214,720.42","205,000.00",92564RAD7,US92564RAD70,BKMH5X6,103.33,United States,-,USD,2.44,3.04,1.0,"Feb 15, 2027",3.75,4.58,-,2.39,1.08,2.39,USD,"Feb 05, 2020","Feb 05, 2020"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"214,038.84",0.15,"214,038.84","204,000.00",50077LAD8,US50077LAD82,BD31G91,104.67,United States,-,USD,4.01,1.89,1.0,"Jun 01, 2026",3.0,4.13,-,1.83,3.91,1.83,USD,"May 24, 2016","Aug 19, 2016"
ONEMAIN FINANCE CORP,Finance Companies,Fixed Income,"213,920.22",0.15,"213,920.22","215,000.00",682691AA8,US682691AA80,-,98.32,United States,-,USD,6.19,4.23,1.0,"Sep 15, 2030",4.0,7.19,-,4.23,7.19,4.23,USD,"Dec 17, 2020","Dec 17, 2020"
CENTENE CORPORATION,Insurance,Fixed Income,"213,659.56",0.15,"213,659.56","215,000.00",15135BAZ4,US15135BAZ40,-,98.36,United States,-,USD,8.31,2.82,1.0,"Aug 01, 2031",2.63,8.32,-,2.82,8.32,2.82,USD,"Aug 12, 2021","Aug 12, 2021"
UPC HOLDING BV 144A,Communications,Fixed Income,"213,411.67",0.15,"213,411.67","200,000.00",90320LAG2,US90320LAG23,BF7PBD2,104.19,Netherlands,-,USD,1.97,4.7,1.0,"Jan 15, 2028",5.5,5.0,-,3.55,0.75,3.55,USD,"Oct 18, 2017","Oct 18, 2017"
SPRINGLEAF FINANCE CORP,Finance Companies,Fixed Income,"213,376.42",0.15,"213,376.42","195,000.00",85172FAR0,US85172FAR01,BKTMHD8,108.74,United States,-,USD,6.25,4.07,1.0,"Nov 15, 2029",5.38,6.42,-,3.99,6.08,3.99,USD,"Nov 07, 2019","Nov 07, 2019"
VEON HOLDINGS BV RegS,Communications,Fixed Income,"213,127.78",0.15,"213,127.78","200,000.00",-,XS1400710726,BZ00DD8,105.28,Russian Federation,-,USD,1.04,3.14,1.0,"Apr 26, 2023",7.25,1.25,-,2.24,1.03,2.24,USD,"Apr 26, 2016","Apr 26, 2016"
JAMES HARDIE INTERNATIONAL FINANCE 144A,Capital Goods,Fixed Income,"212,899.33",0.15,"212,899.33","200,000.00",47032FAB5,US47032FAB58,BFD9PR0,104.16,United States,-,USD,2.35,4.21,1.0,"Jan 15, 2028",5.0,5.09,-,3.28,0.99,3.28,USD,"Dec 13, 2017","Dec 13, 2017"
HOWMET AEROSPACE INC,Capital Goods,Fixed Income,"212,446.50",0.15,"212,446.50","210,000.00",443201AB4,US443201AB48,-,100.17,United States,-,USD,6.23,2.97,1.0,"Jan 15, 2029",3.0,6.24,-,2.97,6.24,2.97,USD,"Sep 01, 2021","Sep 01, 2021"
CSC HOLDINGS LLC 144A,Communications,Fixed Income,"211,207.17",0.15,"211,207.17","200,000.00",126307AS6,US126307AS68,BF2BQ30,103.36,United States,-,USD,2.94,4.73,1.0,"Feb 01, 2028",5.38,5.05,-,4.29,1.92,4.29,USD,"Jan 29, 2018","Jan 29, 2018"
TELENET FINANCE LUX NOTE 144A,Communications,Fixed Income,"211,163.67",0.15,"211,163.67","200,000.00",AQ2322842,BE6300372289,BF955D8,103.06,Belgium,-,USD,2.93,4.92,1.0,"Mar 01, 2028",5.5,5.08,-,4.52,1.76,4.52,USD,"Dec 13, 2017","Dec 13, 2017"
GRAY TELEVISION INC 144A,Communications,Fixed Income,"211,135.63",0.15,"211,135.63","210,000.00",389375AL0,US389375AL09,-,99.54,United States,-,USD,6.03,4.81,1.0,"Oct 15, 2030",4.75,7.04,-,4.81,7.04,4.81,USD,"Oct 19, 2020","Oct 19, 2020"
HILTON GRAND VACATIONS BORROWER LL 144A,Consumer Cyclical,Fixed Income,"211,147.27",0.15,"211,147.27","205,000.00",43284MAA6,US43284MAA62,-,102.58,United States,-,USD,4.6,4.58,1.0,"Jun 01, 2029",5.0,6.14,-,4.35,3.92,4.35,USD,"Jun 04, 2021","Jun 04, 2021"
TRANSDIGM INC,Capital Goods,Fixed Income,"211,093.28",0.15,"211,093.28","205,000.00",893647BB2,US893647BB29,BF01TB1,102.69,United States,-,USD,0.93,5.68,1.0,"Jun 15, 2026",6.38,3.84,-,3.86,0.45,3.86,USD,"Dec 15, 2016","Feb 23, 2017"
TRANSDIGM UK HOLDINGS PLC,Capital Goods,Fixed Income,"210,754.75",0.15,"210,754.75","200,000.00",89365DAB9,US89365DAB91,BJ02967,104.52,United States,-,USD,0.83,5.69,1.0,"May 15, 2026",6.88,3.73,-,3.79,0.37,3.79,USD,"Nov 15, 2018","May 09, 2019"
VIMPELCOM HOLDINGS BV RegS,Communications,Fixed Income,"210,415.00",0.15,"210,415.00","200,000.00",-,XS1625994618,BZ01308,105.02,Russian Federation,-,USD,2.14,2.83,1.0,"Jun 16, 2024",4.95,2.31,-,2.6,2.09,2.6,USD,"Jun 16, 2017","Jun 16, 2017"
ASBURY AUTOMOTIVE GROUP INC 144A,Consumer Cyclical,Fixed Income,"210,302.50",0.15,"210,302.50","205,000.00",043436AW4,US043436AW48,-,102.05,United States,-,USD,5.04,4.31,1.0,"Nov 15, 2029",4.63,6.53,-,4.16,4.31,4.16,USD,"Nov 19, 2021","Nov 19, 2021"
CONSOLIDATED COMMUNICATIONS INC 144A,Communications,Fixed Income,"209,938.95",0.15,"209,938.95","195,000.00",20903XAF0,US20903XAF06,-,106.04,United States,-,USD,3.78,5.42,1.0,"Oct 01, 2028",6.5,5.38,-,5.05,4.02,5.05,USD,"Oct 02, 2020","Oct 02, 2020"
CIT GROUP INC,Banking,Fixed Income,"209,822.44",0.15,"209,822.44","195,000.00",125581GY8,US125581GY89,BGHJVN1,105.82,United States,-,USD,1.79,1.94,1.0,"Feb 16, 2024",4.75,2.0,-,1.59,1.77,1.59,USD,"Aug 17, 2018","Aug 17, 2018"
PRIMO WATER HOLDINGS INC 144A,Consumer Non-Cyclical,Fixed Income,"209,807.15",0.15,"209,807.15","210,000.00",74168LAA4,US74168LAA44,-,99.18,Canada,-,USD,5.16,4.51,1.0,"Apr 30, 2029",4.38,6.16,-,4.51,6.16,4.51,USD,"Apr 30, 2021","Apr 30, 2021"
PERENTI FINANCE PTY LTD MTN 144A,Basic Industry,Fixed Income,"209,471.22",0.15,"209,471.22","200,000.00",71367VAA7,US71367VAA70,-,103.24,Australia,-,USD,2.47,5.53,1.0,"Oct 07, 2025",6.5,3.27,-,5.23,2.48,5.23,USD,"Oct 07, 2020","Oct 07, 2020"
MERLIN ENTERTAINMENTS PLC 144A,Consumer Cyclical,Fixed Income,"209,367.17",0.15,"209,367.17","200,000.00",59010QAB2,US59010QAB23,BDT58L3,104.44,United Kingdom,-,USD,3.86,4.63,1.0,"Jun 15, 2026",5.75,3.91,-,4.58,3.72,4.58,USD,"May 09, 2018","May 09, 2018"
AXALTA COATING SYSTEMS LLC 144A,Basic Industry,Fixed Income,"209,155.83",0.15,"209,155.83","200,000.00",05454NAA7,US05454NAA72,-,104.38,United States,-,USD,2.83,3.85,1.0,"Jun 15, 2027",4.75,4.79,-,3.25,1.4,3.25,USD,"Jun 15, 2020","Jun 15, 2020"
OPEN TEXT CORP 144A,Technology,Fixed Income,"209,096.44",0.14,"209,096.44","205,000.00",683715AD8,US683715AD87,-,101.6,Canada,-,USD,5.17,3.64,1.0,"Dec 01, 2029",3.88,6.75,-,3.52,4.43,3.52,USD,"Nov 24, 2021","Nov 24, 2021"
NIELSEN FINANCE LLC 144A,Technology,Fixed Income,"208,752.86",0.14,"208,752.86","195,000.00",65409QBF8,US65409QBF81,-,105.58,United States,-,USD,5.11,5.08,1.0,"Oct 01, 2030",5.88,6.76,-,4.89,5.49,4.89,USD,"Sep 24, 2020","Sep 24, 2020"
QUEBECOR MEDIA INC,Communications,Fixed Income,"208,635.11",0.14,"208,635.11","200,000.00",74819RAP1,US74819RAP10,BBDJK11,104.06,Canada,-,USD,1.03,1.79,1.0,"Jan 15, 2023",5.75,1.01,-,1.79,1.01,1.79,USD,"Dec 15, 2012","May 14, 2013"
NEWELL BRANDS INC,Consumer Non-Cyclical,Fixed Income,"207,692.80",0.14,"207,692.80","160,000.00",651229AY2,US651229AY21,BD3J3M7,128.31,United States,-,USD,13.8,4.14,1.0,"Apr 01, 2046",6.0,13.95,-,4.12,13.79,4.12,USD,"Mar 30, 2016","Mar 30, 2016"
ONEMAIN FINANCE CORP,Finance Companies,Fixed Income,"206,755.83",0.14,"206,755.83","205,000.00",682691AB6,US682691AB63,-,99.02,United States,-,USD,4.14,3.71,1.0,"Jan 15, 2027",3.5,4.49,-,3.71,4.49,3.71,USD,"Jun 22, 2021","Jun 22, 2021"
DIEBOLD NIXDORF INC 144A,Technology,Fixed Income,"206,713.30",0.14,"206,713.30","185,000.00",253657AA8,US253657AA82,-,107.41,United States,-,USD,0.52,6.97,1.0,"Jul 15, 2025",9.38,2.89,-,4.02,0.51,4.02,USD,"Jul 20, 2020","Jul 20, 2020"
VICI PROPERTIES LP 144A,Consumer Cyclical,Fixed Income,"206,568.44",0.14,"206,568.44","200,000.00",92564RAC9,US92564RAC97,BKMH622,101.96,United States,-,USD,0.53,2.84,1.0,"Feb 15, 2025",3.5,2.91,-,1.71,0.12,1.71,USD,"Feb 05, 2020","Feb 05, 2020"
HUGHES SATELLITE SYSTEMS CORP,Communications,Fixed Income,"206,401.35",0.14,"206,401.35","180,000.00",444454AF9,US444454AF95,BYQN8F1,111.91,United States,-,USD,3.94,3.77,1.0,"Aug 01, 2026",6.63,3.89,-,3.77,3.89,3.77,USD,"Feb 01, 2017","May 11, 2017"
BALL CORPORATION,Capital Goods,Fixed Income,"206,248.02",0.14,"206,248.02","185,000.00",058498AV8,US058498AV83,BF4JKQ3,110.05,United States,-,USD,3.62,2.35,1.0,"Mar 15, 2026",4.88,3.78,-,2.21,3.58,2.21,USD,"Mar 09, 2018","Mar 09, 2018"
ISTAR INC,Reits,Fixed Income,"206,071.12",0.14,"206,071.12","195,000.00",45031UCF6,US45031UCF66,-,104.49,United States,-,USD,2.41,3.03,1.0,"Oct 01, 2024",4.75,2.55,-,2.88,2.33,2.88,USD,"Sep 16, 2019","Sep 16, 2019"
LITHIA MOTORS INC 144A,Consumer Cyclical,Fixed Income,"205,833.83",0.14,"205,833.83","200,000.00",536797AG8,US536797AG85,-,102.59,United States,-,USD,4.55,3.47,1.0,"Jun 01, 2029",3.88,6.4,-,3.24,4.03,3.24,USD,"May 27, 2021","May 27, 2021"
1011778 BC UNLIMITED LIABILITY CO 144A,Consumer Cyclical,Fixed Income,"205,652.36",0.14,"205,652.36","205,000.00",68245XAP4,US68245XAP42,-,99.0,Canada,-,USD,4.53,3.66,1.0,"Feb 15, 2029",3.5,6.16,-,3.66,6.16,3.66,USD,"Nov 09, 2020","Nov 09, 2020"
