,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2029 Term Corporate ETF
HOST HOTELS & RESORTS LP,Corporates,Fixed Income,"353,921.70",0.24,"353,921.70","345,000.00",44107TAY2,US44107TAY29,-,102.44,United States,-,USD,6.89,3.03,1.0,"Dec 15, 2029",3.38,6.94,-,3.02,6.75,3.02,USD,"Sep 26, 2019","Sep 26, 2019"
CROWN CASTLE INTERNATIONAL CORP,Corporates,Fixed Income,"353,230.66",0.24,"353,230.66","338,000.00",22822VAN1,US22822VAN10,BJMS6C8,104.11,United States,-,USD,6.87,2.52,1.0,"Nov 15, 2029",3.1,6.95,-,2.5,6.76,2.5,USD,"Aug 15, 2019","Aug 15, 2019"
CAMDEN PROPERTY TRUST,Corporates,Fixed Income,"352,409.26",0.24,"352,409.26","326,000.00",133131AX0,US133131AX02,BJF8QF8,106.53,United States,-,USD,6.49,2.2,1.0,"Jul 01, 2029",3.15,6.6,-,2.17,6.4,2.17,USD,"Jun 17, 2019","Jun 17, 2019"
WASTE CONNECTIONS INC,Corporates,Fixed Income,"350,652.63",0.24,"350,652.63","322,000.00",941053AJ9,US941053AJ91,BJMYR89,108.32,United States,-,USD,6.35,2.26,1.0,"May 01, 2029",3.5,6.46,-,2.22,6.27,2.22,USD,"Apr 16, 2019","Apr 16, 2019"
AHOLD FINANCE USA LLC,Corporates,Fixed Income,"349,837.44",0.24,"349,837.44","266,000.00",008685AB5,US008685AB51,2560182,130.37,Netherlands,-,USD,5.98,2.34,1.0,"May 01, 2029",6.88,5.97,-,2.34,5.97,2.34,USD,"Apr 29, 1999","Apr 29, 1999"
L3HARRIS TECHNOLOGIES INC,Corporates,Fixed Income,"348,717.23",0.23,"348,717.23","336,000.00",502431AF6,US502431AF64,BL3LYP9,103.66,United States,-,USD,7.0,2.39,1.0,"Dec 15, 2029",2.9,7.09,-,2.38,6.89,2.38,USD,"Nov 27, 2019","Nov 27, 2019"
PACKAGING CORP OF AMERICA,Corporates,Fixed Income,"345,992.90",0.23,"345,992.90","330,000.00",695156AU3,US695156AU37,BKMKKQ3,104.71,United States,-,USD,6.98,2.35,1.0,"Dec 15, 2029",3.0,7.07,-,2.33,6.87,2.33,USD,"Nov 21, 2019","Nov 21, 2019"
REALTY INCOME CORPORATION,Corporates,Fixed Income,"345,984.53",0.23,"345,984.53","325,000.00",756109BK9,US756109BK93,-,106.32,United States,-,USD,6.95,2.23,1.0,"Dec 15, 2029",3.1,7.06,-,2.2,6.86,2.2,USD,"Jun 15, 2021","Jun 15, 2021"
BAT CAPITAL CORP,Corporates,Fixed Income,"342,934.44",0.23,"342,934.44","327,000.00",05526DBH7,US05526DBH70,-,103.77,United Kingdom,-,USD,6.6,2.91,1.0,"Sep 06, 2029",3.46,6.66,-,2.89,6.47,2.89,USD,"Sep 06, 2019","Sep 06, 2019"
GEORGIA POWER COMPANY,Corporates,Fixed Income,"340,047.15",0.23,"340,047.15","331,000.00",373334KL4,US373334KL43,-,101.95,United States,-,USD,6.82,2.37,1.0,"Sep 15, 2029",2.65,6.89,-,2.36,6.69,2.36,USD,"Sep 10, 2019","Sep 10, 2019"
PRINCIPAL FINANCIAL GROUP INC,Corporates,Fixed Income,"335,282.75",0.23,"335,282.75","302,000.00",74251VAR3,US74251VAR33,BK62TK2,110.55,United States,-,USD,6.35,2.15,1.0,"May 15, 2029",3.7,6.47,-,2.1,6.28,2.1,USD,"May 10, 2019","May 10, 2019"
GATX CORPORATION,Corporates,Fixed Income,"334,148.36",0.22,"334,148.36","287,000.00",361448BE2,US361448BE25,BJ78X44,115.25,United States,-,USD,6.05,2.4,1.0,"Apr 01, 2029",4.7,6.17,-,2.33,5.99,2.33,USD,"Jan 31, 2019","Jan 31, 2019"
ARIZONA PUBLIC SERVICE COMPANY,Corporates,Fixed Income,"334,141.92",0.22,"334,141.92","324,000.00",040555CZ5,US040555CZ51,BKPT335,102.15,United States,-,USD,6.75,2.29,1.0,"Aug 15, 2029",2.6,6.83,-,2.28,6.62,2.28,USD,"Aug 19, 2019","Aug 19, 2019"
OMEGA HEALTHCARE INVESTORS INC,Corporates,Fixed Income,"333,636.85",0.22,"333,636.85","318,000.00",681936BL3,US681936BL34,-,104.01,United States,-,USD,6.63,3.04,1.0,"Oct 01, 2029",3.63,6.69,-,3.02,6.5,3.02,USD,"Sep 20, 2019","Sep 20, 2019"
ALEXANDRIA REAL ESTATE EQUITIES IN,Corporates,Fixed Income,"331,959.11",0.22,"331,959.11","320,000.00",015271AT6,US015271AT64,BK0VJL6,103.61,United States,-,USD,7.04,2.25,1.0,"Dec 15, 2029",2.75,7.13,-,2.24,6.93,2.24,USD,"Sep 12, 2019","Sep 12, 2019"
VIRGINIA ELECTRIC AND POWER COMPAN,Corporates,Fixed Income,"327,336.45",0.22,"327,336.45","306,000.00",927804GB4,US927804GB45,BKB0280,105.65,United States,-,USD,6.59,2.06,1.0,"Jul 15, 2029",2.88,6.7,-,2.04,6.5,2.04,USD,"Jul 10, 2019","Jul 10, 2019"
RPM INTERNATIONAL INC,Corporates,Fixed Income,"325,675.46",0.22,"325,675.46","283,000.00",749685AX1,US749685AX13,-,113.56,United States,-,USD,5.99,2.47,1.0,"Mar 01, 2029",4.55,6.11,-,2.41,5.93,2.41,USD,"Feb 27, 2019","Feb 27, 2019"
WISCONSIN POWER AND LIGHT COMPANY,Corporates,Fixed Income,"325,291.65",0.22,"325,291.65","305,000.00",976826BM8,US976826BM89,BJLK283,105.15,United States,-,USD,6.53,2.25,1.0,"Jul 01, 2029",3.0,6.63,-,2.23,6.43,2.23,USD,"Jun 24, 2019","Jun 24, 2019"
CHARLES SCHWAB CORPORATION (THE),Corporates,Fixed Income,"324,633.54",0.22,"324,633.54","308,000.00",808513BX2,US808513BX22,-,104.71,United States,-,USD,6.83,2.09,1.0,"Oct 01, 2029",2.75,6.94,-,2.07,6.73,2.07,USD,"Apr 01, 2021","Sep 22, 2021"
HCP INC,Corporates,Fixed Income,"319,684.08",0.21,"319,684.08","290,000.00",40414LAR0,US40414LAR06,BKDK998,108.62,United States,-,USD,6.45,2.25,1.0,"Jul 15, 2029",3.5,6.56,-,2.21,6.37,2.21,USD,"Jul 05, 2019","Jul 05, 2019"
AMPHENOL CORPORATION,Corporates,Fixed Income,"319,464.60",0.21,"319,464.60","280,000.00",032095AH4,US032095AH42,BJ1STV9,113.73,United States,-,USD,6.27,2.32,1.0,"Jun 01, 2029",4.35,6.4,-,2.26,6.21,2.26,USD,"Jan 09, 2019","Jan 09, 2019"
RENAISSANCERE HOLDINGS LTD,Corporates,Fixed Income,"319,401.28",0.21,"319,401.28","292,000.00",75968NAD3,US75968NAD30,BJ5SCG1,108.63,United States,-,USD,6.29,2.31,1.0,"Apr 15, 2029",3.6,6.4,-,2.27,6.2,2.27,USD,"Apr 02, 2019","Apr 02, 2019"
LEGGETT & PLATT INC,Corporates,Fixed Income,"316,063.91",0.21,"316,063.91","279,000.00",524660AZ0,US524660AZ09,BJR2197,111.99,United States,-,USD,6.05,2.57,1.0,"Mar 15, 2029",4.4,6.17,-,2.51,5.98,2.51,USD,"Mar 07, 2019","Mar 07, 2019"
DUKE ENERGY PROGRESS LLC,Corporates,Fixed Income,"313,581.46",0.21,"313,581.46","287,000.00",26442UAH7,US26442UAH77,BHWV322,108.25,United States,-,USD,6.23,2.21,1.0,"Mar 15, 2029",3.45,6.35,-,2.17,6.15,2.17,USD,"Mar 07, 2019","Mar 07, 2019"
DEERE & CO,Corporates,Fixed Income,"313,214.48",0.21,"313,214.48","250,000.00",244199BD6,US244199BD66,B544DL4,124.17,United States,-,USD,6.51,2.01,1.0,"Oct 16, 2029",5.38,6.5,-,2.01,6.5,2.01,USD,"Oct 16, 2009","Oct 16, 2009"
ROCKWELL AUTOMATION INC,Corporates,Fixed Income,"310,807.47",0.21,"310,807.47","280,000.00",773903AH2,US773903AH27,BJK31W0,109.84,United States,-,USD,6.18,2.02,1.0,"Mar 01, 2029",3.5,6.31,-,1.97,6.12,1.97,USD,"Mar 01, 2019","Mar 01, 2019"
LEAR CORPORATION,Corporates,Fixed Income,"310,315.11",0.21,"310,315.11","279,000.00",521865BA2,US521865BA22,BKBTH15,110.68,United States,-,USD,6.24,2.65,1.0,"May 15, 2029",4.25,6.35,-,2.6,6.16,2.6,USD,"May 01, 2019","May 01, 2019"
DUKE ENERGY OHIO INC,Corporates,Fixed Income,"308,987.93",0.21,"308,987.93","280,000.00",26442EAF7,US26442EAF79,BHZRWT7,108.83,United States,-,USD,6.08,2.29,1.0,"Feb 01, 2029",3.65,6.19,-,2.25,5.99,2.25,USD,"Jan 08, 2019","Jan 08, 2019"
SANDS CHINA LTD 144A,Corporates,Fixed Income,"307,774.73",0.21,"307,774.73","325,000.00",80007RAP0,US80007RAP01,-,93.93,Macau,-,USD,6.39,3.82,1.0,"Mar 08, 2029",2.85,6.35,-,3.82,6.35,3.82,USD,"Sep 23, 2021","Sep 23, 2021"
FIDELITY NATIONAL INFORMATION SERV,Corporates,Fixed Income,"306,839.87",0.21,"306,839.87","280,000.00",31620MBJ4,US31620MBJ45,BHT5FN2,109.17,United States,-,USD,6.35,2.39,1.0,"May 21, 2029",3.75,6.47,-,2.35,6.27,2.35,USD,"May 21, 2019","May 21, 2019"
STEELCASE INC.,Corporates,Fixed Income,"300,153.77",0.2,"300,153.77","259,000.00",858155AE4,US858155AE40,BH4KPH6,113.57,United States,-,USD,5.77,2.98,1.0,"Jan 18, 2029",5.13,5.87,-,2.91,5.69,2.91,USD,"Jan 18, 2019","Jan 18, 2019"
NATIONAL RURAL UTILITIES COOPERATI,Corporates,Fixed Income,"296,264.39",0.2,"296,264.39","267,000.00",637432NS0,US637432NS00,BJJH996,109.87,United States,-,USD,6.18,2.21,1.0,"Mar 15, 2029",3.7,6.3,-,2.16,6.11,2.16,USD,"Jan 31, 2019","Jan 31, 2019"
BLACK HILLS CORPORATION,Corporates,Fixed Income,"294,856.49",0.2,"294,856.49","280,000.00",092113AR0,US092113AR00,-,104.66,United States,-,USD,6.8,2.39,1.0,"Oct 15, 2029",3.05,6.89,-,2.37,6.69,2.37,USD,"Oct 03, 2019","Oct 03, 2019"
BOARDWALK PIPELINES LP,Corporates,Fixed Income,"293,756.67",0.2,"293,756.67","260,000.00",096630AG3,US096630AG32,BJTJG91,112.21,United States,-,USD,6.11,2.94,1.0,"May 03, 2029",4.8,6.21,-,2.88,6.03,2.88,USD,"May 03, 2019","May 03, 2019"
EVERSOURCE ENERGY,Corporates,Fixed Income,"291,102.69",0.2,"291,102.69","258,000.00",30040WAF5,US30040WAF59,BHX1VD8,111.77,United States,-,USD,6.13,2.47,1.0,"Apr 01, 2029",4.25,6.24,-,2.41,6.05,2.41,USD,"Dec 13, 2018","Dec 13, 2018"
REALTY INCOME CORPORATION,Corporates,Fixed Income,"288,948.59",0.19,"288,948.59","267,000.00",756109AW4,US756109AW41,BK6TYH5,108.08,United States,-,USD,6.52,2.08,1.0,"Jun 15, 2029",3.25,6.64,-,2.04,6.44,2.04,USD,"Jun 19, 2019","Jun 19, 2019"
AUTOZONE INC,Corporates,Fixed Income,"287,839.72",0.19,"287,839.72","261,000.00",053332AW2,US053332AW26,BJLVV45,109.52,United States,-,USD,6.26,2.32,1.0,"Apr 18, 2029",3.75,6.38,-,2.28,6.19,2.28,USD,"Apr 18, 2019","Apr 18, 2019"
UDR INC MTN,Corporates,Fixed Income,"287,653.61",0.19,"287,653.61","250,000.00",90265EAP5,US90265EAP51,BF1BCP5,113.17,United States,-,USD,5.92,2.37,1.0,"Jan 26, 2029",4.4,6.04,-,2.3,5.86,2.3,USD,"Oct 26, 2018","Oct 26, 2018"
HUDSON PACIFIC PROPERTIES LP,Corporates,Fixed Income,"286,688.75",0.19,"286,688.75","250,000.00",44409MAB2,US44409MAB28,-,113.51,United States,-,USD,6.05,2.59,1.0,"Apr 01, 2029",4.65,6.17,-,2.53,5.98,2.53,USD,"Feb 27, 2019","Feb 27, 2019"
ESSEX PORTFOLIO LP,Corporates,Fixed Income,"285,743.23",0.19,"285,743.23","254,000.00",29717PAT4,US29717PAT49,BFMWWB3,111.16,United States,-,USD,6.09,2.3,1.0,"Mar 01, 2029",4.0,6.21,-,2.25,6.02,2.25,USD,"Feb 11, 2019","Feb 11, 2019"
NORFOLK SOUTHERN CORPORATION,Corporates,Fixed Income,"285,292.92",0.19,"285,292.92","276,000.00",655844CE6,US655844CE60,-,102.94,United States,-,USD,6.97,2.14,1.0,"Nov 01, 2029",2.55,7.06,-,2.13,6.85,2.13,USD,"Nov 04, 2019","Nov 04, 2019"
SUMITOMO MITSUI FINANCIAL GROUP IN,Corporates,Fixed Income,"283,586.46",0.19,"283,586.46","270,000.00",86562MBS8,US86562MBS89,BKVJXJ5,104.11,Japan,-,USD,6.8,2.61,1.0,"Sep 17, 2029",3.2,6.77,-,2.61,6.77,2.61,USD,"Sep 17, 2019","Sep 17, 2019"
OWENS CORNING,Corporates,Fixed Income,"283,229.07",0.19,"283,229.07","255,000.00",690742AJ0,US690742AJ00,-,109.58,United States,-,USD,6.43,2.56,1.0,"Aug 15, 2029",3.95,6.54,-,2.52,6.35,2.52,USD,"Aug 12, 2019","Aug 12, 2019"
PENTAIR FINANCE SA,Corporates,Fixed Income,"282,794.92",0.19,"282,794.92","245,000.00",709629AR0,US709629AR06,-,113.19,United States,-,USD,6.2,2.56,1.0,"Jul 01, 2029",4.5,6.32,-,2.5,6.14,2.5,USD,"Jun 21, 2019","Jun 21, 2019"
CHOICE HOTELS INTERNATIONAL INC,Corporates,Fixed Income,"282,464.38",0.19,"282,464.38","265,000.00",169905AF3,US169905AF36,-,106.28,United States,-,USD,6.78,2.81,1.0,"Dec 01, 2029",3.7,6.85,-,2.78,6.67,2.78,USD,"Nov 27, 2019","Nov 27, 2019"
GEORGIA-PACIFIC LLC,Corporates,Fixed Income,"282,088.56",0.19,"282,088.56","200,000.00",373298BR8,US373298BR83,2519913,140.05,United States,-,USD,6.26,2.18,1.0,"Nov 15, 2029",7.75,6.25,-,2.18,6.25,2.18,USD,"Nov 10, 1999","Nov 10, 1999"
DUKE ENERGY CAROLINAS LLC,Corporates,Fixed Income,"278,938.50",0.19,"278,938.50","270,000.00",26442CAY0,US26442CAY03,BKFV9X3,102.39,United States,-,USD,6.78,2.11,1.0,"Aug 15, 2029",2.45,6.87,-,2.1,6.67,2.1,USD,"Aug 14, 2019","Aug 14, 2019"
DUKE ENERGY FLORIDA LLC,Corporates,Fixed Income,"278,220.34",0.19,"278,220.34","271,000.00",26444HAH4,US26444HAH49,BK6X9F0,102.46,United States,-,USD,7.07,2.16,1.0,"Dec 01, 2029",2.5,7.15,-,2.15,6.94,2.15,USD,"Nov 26, 2019","Nov 26, 2019"
AMERICAN HOMES 4 RENT LP,Corporates,Fixed Income,"277,970.50",0.19,"277,970.50","236,000.00",02666TAB3,US02666TAB35,BJCYLG5,115.93,United States,-,USD,5.89,2.45,1.0,"Feb 15, 2029",4.9,6.01,-,2.37,5.83,2.37,USD,"Jan 23, 2019","Jan 23, 2019"
AVALONBAY COMMUNITIES INC MTN,Corporates,Fixed Income,"277,409.28",0.19,"277,409.28","256,000.00",05348EBF5,US05348EBF51,BFY9751,108.09,United States,-,USD,6.47,2.12,1.0,"Jun 01, 2029",3.3,6.59,-,2.08,6.39,2.08,USD,"May 15, 2019","May 15, 2019"
SPIRIT REALTY LP,Corporates,Fixed Income,"273,903.74",0.18,"273,903.74","245,000.00",84861TAD0,US84861TAD00,-,109.95,United States,-,USD,6.34,2.54,1.0,"Jul 15, 2029",4.0,6.44,-,2.5,6.26,2.5,USD,"Jun 27, 2019","Jun 27, 2019"
LIFE STORAGE LP,Corporates,Fixed Income,"273,418.61",0.18,"273,418.61","246,000.00",53227JAB0,US53227JAB08,BKF1BN7,110.97,United States,-,USD,6.37,2.39,1.0,"Jun 15, 2029",4.0,6.49,-,2.34,6.3,2.34,USD,"Jun 03, 2019","Jun 03, 2019"
STORE CAPITAL CORP,Corporates,Fixed Income,"272,524.33",0.18,"272,524.33","240,000.00",862121AB6,US862121AB61,BJ7MB42,112.19,United States,-,USD,6.01,2.75,1.0,"Mar 15, 2029",4.63,6.12,-,2.69,5.94,2.69,USD,"Feb 28, 2019","Feb 28, 2019"
EPR PROPERTIES,Corporates,Fixed Income,"271,351.19",0.18,"271,351.19","265,000.00",26884UAF6,US26884UAF66,BHQZFR9,100.98,United States,-,USD,6.47,3.6,1.0,"Aug 15, 2029",3.75,6.5,-,3.6,6.31,3.6,USD,"Aug 15, 2019","Aug 15, 2019"
TEXTRON INC,Corporates,Fixed Income,"270,885.55",0.18,"270,885.55","244,000.00",883203CA7,US883203CA75,BK9SF09,109.89,United States,-,USD,6.53,2.48,1.0,"Sep 17, 2029",3.9,6.64,-,2.44,6.45,2.44,USD,"May 07, 2019","May 07, 2019"
SUMITOMO MITSUI FINANCIAL GROUP IN,Corporates,Fixed Income,"265,152.73",0.18,"265,152.73","257,000.00",86562MBU3,US86562MBU36,-,102.46,Japan,-,USD,6.94,2.37,1.0,"Sep 27, 2029",2.72,6.91,-,2.37,6.91,2.37,USD,"Sep 27, 2019","Sep 27, 2019"
AIR LEASE CORPORATION,Corporates,Fixed Income,"262,944.61",0.18,"262,944.61","254,000.00",00914AAE2,US00914AAE29,-,102.71,United States,-,USD,6.71,2.86,1.0,"Oct 01, 2029",3.25,6.78,-,2.85,6.58,2.85,USD,"Sep 16, 2019","Sep 16, 2019"
PARTNERRE FINANCE B LLC,Corporates,Fixed Income,"260,409.47",0.18,"260,409.47","233,000.00",70213BAB7,US70213BAB71,BJXXZD6,109.92,Bermuda,-,USD,6.37,2.25,1.0,"Jul 02, 2029",3.7,6.49,-,2.21,6.3,2.21,USD,"Jun 19, 2019","Jun 19, 2019"
AMERICAN CAMPUS COMMUNITIES OPERAT,Corporates,Fixed Income,"258,697.40",0.17,"258,697.40","260,000.00",024836AH1,US024836AH19,-,98.97,United States,-,USD,6.41,2.41,1.0,"Jan 15, 2029",2.25,6.43,-,2.41,6.43,2.41,USD,"Oct 07, 2021","Oct 07, 2021"
ROHM AND HAAS COMPANY,Corporates,Fixed Income,"257,874.69",0.17,"257,874.69","185,000.00",775371AU1,US775371AU10,2535812,135.77,United States,-,USD,5.9,2.59,1.0,"Jul 15, 2029",7.85,5.87,-,2.59,5.87,2.59,USD,"Jul 06, 1999","Nov 05, 1999"
NEVADA POWER COMPANY,Corporates,Fixed Income,"257,482.86",0.17,"257,482.86","233,000.00",641423CC0,US641423CC04,BHWF863,109.89,United States,-,USD,6.31,2.23,1.0,"May 01, 2029",3.7,6.43,-,2.19,6.24,2.19,USD,"Jan 30, 2019","Jan 30, 2019"
SOUTHERN CALIFORNIA EDISON COMPANY,Corporates,Fixed Income,"256,707.95",0.17,"256,707.95","207,000.00",842400EB5,US842400EB53,2632917,122.35,United States,-,USD,5.89,3.17,1.0,"Apr 01, 2029",6.65,5.85,-,3.17,5.85,3.17,USD,"Apr 01, 1999","Apr 06, 1999"
REGENCY CENTERS LP,Corporates,Fixed Income,"255,537.81",0.17,"255,537.81","244,000.00",75884RAZ6,US75884RAZ64,BJQZJV5,103.86,United States,-,USD,6.75,2.4,1.0,"Sep 15, 2029",2.95,6.83,-,2.38,6.63,2.38,USD,"Aug 20, 2019","Aug 20, 2019"
SABRA HEALTH CARE LP,Corporates,Fixed Income,"253,140.80",0.17,"253,140.80","240,000.00",78572XAG6,US78572XAG60,-,104.65,United States,-,USD,6.6,3.22,1.0,"Oct 15, 2029",3.9,6.66,-,3.2,6.47,3.2,USD,"Oct 07, 2019","Oct 07, 2019"
PROLOGIS LP,Corporates,Fixed Income,"250,977.92",0.17,"250,977.92","215,000.00",74340XBL4,US74340XBL47,-,114.91,United States,-,USD,5.94,2.1,1.0,"Feb 01, 2029",4.38,6.08,-,2.03,5.89,2.03,USD,"Feb 01, 2020","Feb 10, 2020"
MARKEL CORPORATION,Corporates,Fixed Income,"250,938.69",0.17,"250,938.69","230,000.00",570535AU8,US570535AU83,BJYDFK2,108.14,United States,-,USD,6.65,2.2,1.0,"Sep 17, 2029",3.35,6.76,-,2.16,6.57,2.16,USD,"Sep 17, 2019","Sep 17, 2019"
UNION ELECTRIC CO,Corporates,Fixed Income,"248,201.24",0.17,"248,201.24","226,000.00",906548CP5,US906548CP55,BH3VZB4,108.79,United States,-,USD,6.22,2.17,1.0,"Mar 15, 2029",3.5,6.34,-,2.13,6.15,2.13,USD,"Mar 06, 2019","Mar 06, 2019"
HESS CORPORATION,Corporates,Fixed Income,"245,924.55",0.17,"245,924.55","180,000.00",023551AF1,US023551AF16,2517638,134.66,United States,-,USD,6.09,2.86,1.0,"Oct 01, 2029",7.88,6.05,-,2.86,6.05,2.86,USD,"Oct 01, 1999","Oct 01, 1999"
ARCELORMITTAL,Corporates,Fixed Income,"245,667.22",0.17,"245,667.22","220,000.00",03938LBC7,US03938LBC72,BJK5449,109.72,Luxembourg,-,USD,6.42,2.81,1.0,"Jul 16, 2029",4.25,6.38,-,2.81,6.38,2.81,USD,"Jul 16, 2019","Jul 16, 2019"
KEYBANK NATIONAL ASSOCIATION,Corporates,Fixed Income,"245,466.91",0.16,"245,466.91","221,000.00",49327V2B9,US49327V2B93,BJNXWY6,110.23,United States,-,USD,6.36,2.36,1.0,"Apr 13, 2029",3.9,6.34,-,2.35,6.27,2.35,USD,"Mar 13, 2019","Mar 13, 2019"
DUKE REALTY LP,Corporates,Fixed Income,"243,025.48",0.16,"243,025.48","232,000.00",26441YBC0,US26441YBC03,BL0MHR8,104.39,United States,-,USD,6.92,2.26,1.0,"Nov 15, 2029",2.88,7.02,-,2.25,6.82,2.25,USD,"Nov 15, 2019","Nov 15, 2019"
CNA FINANCIAL CORP,Corporates,Fixed Income,"241,978.87",0.16,"241,978.87","217,000.00",126117AV2,US126117AV22,BH3T9Z0,110.86,United States,-,USD,6.27,2.28,1.0,"May 01, 2029",3.9,6.39,-,2.23,6.2,2.23,USD,"May 06, 2019","May 06, 2019"
ENTERGY TEXAS INC,Corporates,Fixed Income,"239,076.52",0.16,"239,076.52","214,000.00",29365TAG9,US29365TAG94,BJ2NY30,110.72,United States,-,USD,6.17,2.38,1.0,"Mar 30, 2029",4.0,6.29,-,2.33,6.09,2.33,USD,"Jan 08, 2019","Jan 08, 2019"
UNITED PARCEL SERVICE INC,Corporates,Fixed Income,"235,278.75",0.16,"235,278.75","225,000.00",911312BU9,US911312BU95,BJM06D5,103.74,United States,-,USD,6.82,1.97,1.0,"Sep 01, 2029",2.5,6.92,-,1.96,6.71,1.96,USD,"Aug 16, 2019","Aug 16, 2019"
JOHN DEERE CAPITAL CORP MTN,Corporates,Fixed Income,"233,865.45",0.16,"233,865.45","210,000.00",24422EUU1,US24422EUU18,BJJTN12,110.27,United States,-,USD,6.35,1.91,1.0,"Mar 07, 2029",3.45,6.34,-,1.91,6.34,1.91,USD,"Mar 07, 2019","Mar 07, 2019"
WP CAREY INC,Corporates,Fixed Income,"229,378.17",0.15,"229,378.17","204,000.00",92936UAF6,US92936UAF66,BGBN0J8,110.67,United States,-,USD,6.37,2.3,1.0,"Jul 15, 2029",3.85,6.49,-,2.26,6.3,2.26,USD,"Jun 14, 2019","Jun 14, 2019"
WEBSTER FINANCIAL CORPORATION,Corporates,Fixed Income,"227,468.68",0.15,"227,468.68","205,000.00",947890AJ8,US947890AJ87,-,109.87,United States,-,USD,6.13,2.59,1.0,"Mar 25, 2029",4.1,6.24,-,2.55,6.05,2.55,USD,"Mar 25, 2019","Mar 25, 2019"
CHARLES SCHWAB CORPORATION (THE),Corporates,Fixed Income,"225,576.78",0.15,"225,576.78","198,000.00",808513AZ8,US808513AZ88,BFY3NT9,112.26,United States,-,USD,6.01,2.13,1.0,"Feb 01, 2029",4.0,6.14,-,2.07,5.95,2.07,USD,"Oct 31, 2018","Oct 31, 2018"
KILROY REALTY LP,Corporates,Fixed Income,"222,916.44",0.15,"222,916.44","197,000.00",49427RAK8,US49427RAK86,BPRW702,111.55,United States,-,USD,6.37,2.57,1.0,"Aug 15, 2029",4.25,6.48,-,2.52,6.3,2.52,USD,"Aug 06, 2014","Aug 06, 2014"
SOUTHERN CALIFORNIA EDISON COMPANY,Corporates,Fixed Income,"219,051.86",0.15,"219,051.86","209,000.00",842400GS6,US842400GS60,BJQ1ZT3,103.62,United States,-,USD,6.65,2.33,1.0,"Aug 01, 2029",2.85,6.73,-,2.31,6.53,2.31,USD,"Aug 06, 2019","Aug 06, 2019"
FEDERAL REALTY INVESTMENT TRUST,Corporates,Fixed Income,"218,436.68",0.15,"218,436.68","206,000.00",313747AZ0,US313747AZ04,BJN4K12,105.9,United States,-,USD,6.53,2.33,1.0,"Jun 15, 2029",3.2,6.63,-,2.31,6.43,2.31,USD,"Jun 07, 2019","Jun 07, 2019"
PACIFICORP,Corporates,Fixed Income,"215,551.82",0.14,"215,551.82","198,000.00",695114CU0,US695114CU02,BJBCC78,108.71,United States,-,USD,6.47,2.23,1.0,"Jun 15, 2029",3.5,6.59,-,2.19,6.39,2.19,USD,"Mar 01, 2019","Mar 01, 2019"
PHILLIPS 66 PARTNERS LP,Corporates,Fixed Income,"212,695.70",0.14,"212,695.70","205,000.00",718549AH1,US718549AH14,-,103.61,United States,-,USD,6.94,2.64,1.0,"Dec 15, 2029",3.15,7.02,-,2.63,6.82,2.63,USD,"Sep 06, 2019","Sep 06, 2019"
APTIV PLC,Corporates,Fixed Income,"212,577.64",0.14,"212,577.64","185,000.00",03835VAG1,US03835VAG14,BHL3SF7,113.63,United States,-,USD,6.06,2.29,1.0,"Mar 15, 2029",4.35,6.19,-,2.22,6.01,2.22,USD,"Mar 14, 2019","Mar 14, 2019"
CABOT CORPORATION,Corporates,Fixed Income,"210,102.00",0.14,"210,102.00","190,000.00",127055AL5,US127055AL59,BJVR1F4,108.58,United States,-,USD,6.3,2.73,1.0,"Jul 01, 2029",4.0,6.4,-,2.69,6.21,2.69,USD,"Jun 20, 2019","Jun 20, 2019"
ALLEGION PLC,Corporates,Fixed Income,"209,438.34",0.14,"209,438.34","195,000.00",01748TAB7,US01748TAB70,BJXDDM1,106.54,United States,-,USD,6.66,2.56,1.0,"Oct 01, 2029",3.5,6.75,-,2.54,6.56,2.54,USD,"Sep 27, 2019","Sep 27, 2019"
WASTE MANAGEMENT INC,Corporates,Fixed Income,"209,289.50",0.14,"209,289.50","210,000.00",94106LBQ1,US94106LBQ14,-,99.5,United States,-,USD,6.8,2.07,1.0,"Jun 01, 2029",2.0,6.85,-,2.07,6.85,2.07,USD,"May 12, 2021","May 12, 2021"
PPG INDUSTRIES INC,Corporates,Fixed Income,"205,170.09",0.14,"205,170.09","194,000.00",693506BR7,US693506BR74,BKKGQM1,104.7,United States,-,USD,6.69,2.13,1.0,"Aug 15, 2029",2.8,6.8,-,2.11,6.59,2.11,USD,"Aug 15, 2019","Aug 15, 2019"
AQUA AMERICA INC,Corporates,Fixed Income,"203,066.95",0.14,"203,066.95","188,000.00",03836WAB9,US03836WAB90,BK1WFF4,107.42,United States,-,USD,6.34,2.45,1.0,"May 01, 2029",3.57,6.44,-,2.42,6.24,2.42,USD,"Apr 26, 2019","Apr 26, 2019"
NSTAR ELECTRIC CO,Corporates,Fixed Income,"202,922.08",0.14,"202,922.08","188,000.00",67021CAN7,US67021CAN74,BJXKL51,107.52,United States,-,USD,6.44,2.14,1.0,"May 15, 2029",3.25,6.55,-,2.11,6.35,2.11,USD,"May 17, 2019","May 17, 2019"
