,,,,,,,,,,,,,,,,,,,,,,,,,,iShares International High Yield Bond ETF
JAGUAR LAND ROVER AUTOMOTIVE PLC RegS,Consumer Cyclical,Fixed Income,"123,492.51",0.18,"123,492.51","100,000.00",-,XS2010037849,BL0L894,122.66,United Kingdom,-,USD,2.47,3.00,0.88,"Nov 15, 2024",5.88,2.64,-,2.75,2.43,2.75,EUR,"Nov 26, 2019","Nov 26, 2019"
TEREOS FINANCE GROUPE I SA RegS,Consumer Non-Cyclical,Fixed Income,"123,245.95",0.18,"123,245.95","100,000.00",-,XS2244837162,BN44VJ4,121.82,France,-,USD,0.82,5.49,0.88,"Oct 30, 2025",7.5,3.29,-,3.28,0.8,3.28,EUR,"Oct 23, 2020","Oct 23, 2020"
BANCO DE SABADELL SA MTN RegS,Banking,Fixed Income,"123,049.92",0.18,"123,049.92","100,000.00",-,XS1918887156,BGL9J33,122.73,Spain,-,USD,2.15,3.87,0.88,"Dec 12, 2028",5.38,1.78,-,3.87,1.89,3.87,EUR,"Dec 12, 2018","Dec 12, 2018"
AMS AG RegS,Technology,Fixed Income,"122,978.27",0.18,"122,978.27","100,000.00",-,XS2195511006,BMHKQN1,120.14,Austria,-,USD,0.57,3.86,0.88,"Jul 31, 2025",6.0,0.56,-,3.86,0.56,3.86,EUR,"Jul 06, 2020","Jul 06, 2020"
FORD MOTOR CREDIT COMPANY LLC MTN,Consumer Cyclical,Fixed Income,"122,912.24",0.18,"122,912.24","100,000.00",-,XS2229875989,-,121.83,United States,-,USD,3.54,1.27,0.88,"Sep 15, 2025",3.25,3.49,-,1.27,3.49,1.27,EUR,"Sep 15, 2020","Sep 15, 2020"
PPF TELECOM GROUP BV MTN RegS,Communications,Fixed Income,"122,607.69",0.18,"122,607.69","100,000.00",-,XS2238777374,-,121.67,Netherlands,-,USD,5.17,1.95,0.88,"Sep 29, 2027",3.25,5.21,-,1.90,5.01,1.90,EUR,"Sep 29, 2020","Sep 29, 2020"
PPF TELECOM GROUP BV MTN RegS,Communications,Fixed Income,"122,360.68",0.18,"122,360.68","100,000.00",-,XS2176872849,-,119.91,Netherlands,-,USD,2.07,0.91,0.88,"May 20, 2024",3.5,2.04,-,0.91,2.04,0.91,EUR,"May 20, 2020","May 20, 2020"
TELECOM ITALIA SPA MTN RegS,Communications,Fixed Income,"121,993.03",0.18,"121,993.03","100,000.00",-,XS1419869885,BYQQ634,119.51,Italy,-,USD,4.08,2.39,0.88,"May 25, 2026",3.63,3.98,-,2.39,3.98,2.39,EUR,"May 25, 2016","May 25, 2016"
AIB GROUP PLC MTN RegS,Banking,Fixed Income,"121,801.48",0.18,"121,801.48","100,000.00",-,XS2230399441,BMBQMG0,119.88,Ireland,-,USD,4.16,2.44,0.88,"May 30, 2031",2.88,4.05,-,1.59,4.12,1.59,EUR,"Sep 30, 2020","Sep 30, 2020"
VIDEOTRON LTD,Communications,Fixed Income,"121,609.84",0.18,"121,609.84","150,000.00",92660FAL8,CA92660FAL81,-,80.32,Canada,-,USD,3.98,4.28,1.26,"Jan 15, 2030",4.5,6.64,-,3.94,2.58,3.94,CAD,"Oct 08, 2019","Oct 08, 2019"
FORD MOTOR CREDIT COMPANY LLC MTN,Consumer Cyclical,Fixed Income,"121,365.13",0.18,"121,365.13","100,000.00",-,XS1959498160,BHL3S68,118.54,United States,-,USD,2.1,1.04,0.88,"Mar 06, 2024",3.02,2.07,-,1.04,2.07,1.04,EUR,"Mar 06, 2019","Mar 06, 2019"
SEALED AIR CORPORATION MTN RegS,Capital Goods,Fixed Income,"121,339.98",0.18,"121,339.98","100,000.00",-,XS1247796185,BYM0YS1,119.85,United States,-,USD,1.41,1.30,0.88,"Sep 15, 2023",4.5,1.63,-,0.78,1.41,0.78,EUR,"Jun 16, 2015","Jun 16, 2015"
UNICREDIT SPA MTN RegS,Banking,Fixed Income,"121,278.00",0.18,"121,278.00","100,000.00",-,XS0849517650,B88WZJ7,119.96,Italy,-,USD,0.84,0.34,0.88,"Oct 31, 2022",6.95,0.83,-,0.34,0.83,0.34,EUR,"Oct 31, 2012","Oct 31, 2012"
SPIE SA RegS,Capital Goods,Fixed Income,"121,156.73",0.18,"121,156.73","100,000.00",-,FR0013245263,BF2CX09,118.39,France,-,USD,1.67,1.24,0.88,"Mar 22, 2024",3.13,2.11,-,0.72,1.66,0.72,EUR,"Mar 22, 2017","Mar 22, 2017"
CROWN EUROPEAN HOLDINGS SA RegS,Capital Goods,Fixed Income,"121,060.55",0.18,"121,060.55","100,000.00",-,XS1758723883,BZ1CRR5,119.71,United States,-,USD,3.48,1.55,0.88,"Feb 01, 2026",2.88,3.82,-,1.37,3.38,1.37,EUR,"Jan 26, 2018","Jan 26, 2018"
PARTS EUROPE SA RegS,Consumer Cyclical,Fixed Income,"121,061.62",0.18,"121,061.62","100,000.00",-,XS2205088896,BMZ6M11,117.67,France,-,USD,0.46,5.49,0.88,"Jul 16, 2025",6.5,3.06,-,4.64,0.11,4.64,EUR,"Jul 17, 2020","Jul 17, 2020"
BOXER PARENT CO INC RegS,Technology,Fixed Income,"121,019.34",0.18,"121,019.34","100,000.00",-,XS2177476947,-,119.19,United States,-,USD,0.41,5.08,0.88,"Oct 02, 2025",6.5,3.27,-,2.67,0.41,2.67,EUR,"Jun 01, 2020","Jun 01, 2020"
INTERNATIONAL GAME TECHNOLOGY PLC RegS,Consumer Cyclical,Fixed Income,"120,859.53",0.18,"120,859.53","100,000.00",-,XS1844997970,BG31VR5,119.04,United States,-,USD,1.97,1.62,0.88,"Jul 15, 2024",3.5,2.4,-,1.18,1.95,1.18,EUR,"Jun 27, 2018","Jun 27, 2018"
ILIAD HOLDING SAS RegS,Communications,Fixed Income,"120,838.07",0.18,"120,838.07","100,000.00",-,XS2397781944,BLCW936,119.7,France,-,USD,4.22,4.75,0.88,"Oct 15, 2028",5.63,5.58,-,4.43,4.15,4.43,EUR,"Oct 27, 2021","Oct 27, 2021"
CELLNEX TELECOM SA MTN RegS,Communications,Fixed Income,"120,564.69",0.18,"120,564.69","100,000.00",-,XS1468525057,BYYB880,117.98,Spain,-,USD,1.74,0.53,0.88,"Jan 16, 2024",2.38,1.97,-,0.27,1.74,0.27,EUR,"Aug 10, 2016","Aug 10, 2016"
ORANO SA MTN RegS,Owned No Guarantee,Fixed Income,"120,498.98",0.18,"120,498.98","100,000.00",-,FR0013533031,-,117.95,France,-,USD,5.57,2.10,0.88,"Mar 08, 2028",2.75,5.54,-,2.07,5.35,2.07,EUR,"Sep 08, 2020","Sep 08, 2020"
NOVO BANCO SA RegS,Banking,Fixed Income,"120,301.21",0.18,"120,301.21","100,000.00",-,PTNOBFOM0017,BG21MG2,115.59,Portugal,-,USD,0.73,6.80,0.88,"Jul 06, 2028",8.5,0.34,-,7.11,1.4,7.11,EUR,"Jul 06, 2018","Jul 06, 2018"
LEONARDO SPA MTN RegS,Capital Goods,Fixed Income,"120,110.58",0.18,"120,110.58","100,000.00",-,XS2199716304,-,117.47,Italy,-,USD,3.65,1.52,0.88,"Jan 08, 2026",2.38,3.74,-,1.47,3.53,1.47,EUR,"Jul 08, 2020","Jul 08, 2020"
MOTION FINCO SARL RegS,Consumer Cyclical,Fixed Income,"119,816.38",0.18,"119,816.38","100,000.00",-,XS2166184916,-,118.82,United Kingdom,-,USD,0.38,5.53,0.88,"May 15, 2025",7.0,2.97,-,4.22,0.37,4.22,EUR,"Apr 29, 2020","Apr 29, 2020"
ZF FINANCE GMBH MTN RegS,Consumer Cyclical,Fixed Income,"119,755.09",0.18,"119,755.09","100,000.00",-,XS2231715322,-,118.81,Germany,-,USD,3.38,1.75,0.88,"Sep 21, 2025",3.0,3.5,-,1.66,3.28,1.66,EUR,"Sep 21, 2020","Sep 21, 2020"
ORANO SA MTN RegS,Owned No Guarantee,Fixed Income,"119,702.23",0.18,"119,702.23","100,000.00",-,FR0011791391,BKRVS12,116.92,France,-,USD,0.95,0.79,0.88,"Mar 20, 2023",3.13,1.18,-,0.22,0.95,0.22,EUR,"Mar 20, 2014","Mar 20, 2014"
AKELIUS RESIDENTIAL PROPERTY AB (P RegS,Financial Other,Fixed Income,"119,682.83",0.18,"119,682.83","100,000.00",-,XS1788973573,BD5GPN1,118.63,Sweden,-,USD,1.5,3.81,0.88,"Oct 05, 2078",3.88,1.25,-,1.00,1.49,1.00,EUR,"Apr 05, 2018","Apr 05, 2018"
VERTICAL MIDCO GMBH RegS,Capital Goods,Fixed Income,"119,632.04",0.18,"119,632.04","100,000.00",-,XS2199597456,-,117.35,Germany,-,USD,3.08,3.77,0.88,"Jul 15, 2027",4.38,4.81,-,3.44,3.21,3.44,EUR,"Jul 15, 2020","Jul 15, 2020"
TEVA PHARMACEUTICAL FINANCE NETHER,Consumer Non-Cyclical,Fixed Income,"119,587.76",0.18,"119,587.76","100,000.00",-,XS1813724603,BD8YS55,117.9,Israel,-,USD,2.77,3.30,0.88,"Mar 01, 2025",4.5,2.9,-,3.20,2.68,3.20,EUR,"Mar 14, 2018","May 17, 2018"
LIBERTY MUTUAL GROUP INC RegS,Insurance,Fixed Income,"119,580.93",0.18,"119,580.93","100,000.00",-,XS2000504444,-,117.07,United States,-,USD,0.39,3.80,0.88,"May 23, 2059",3.63,1.9,-,-3.63,0.4,-3.63,EUR,"May 23, 2019","May 23, 2019"
TELECOM ITALIA SPA MTN RegS,Communications,Fixed Income,"119,568.78",0.18,"119,568.78","100,000.00",-,XS0486101024,B3PPY64,114.27,Italy,-,USD,0.11,0.90,0.88,"Feb 10, 2022",5.25,0.11,-,0.90,0.11,0.90,EUR,"Feb 10, 2010","Feb 10, 2010"
ICELAND BONDCO PLC RegS,Consumer Non-Cyclical,Fixed Income,"119,340.87",0.18,"119,340.87","100,000.00",-,XS2304198331,-,118.6,United Kingdom,-,USD,5.45,6.81,0.74,"May 15, 2028",4.38,5.35,-,6.81,5.35,6.81,GBP,"Feb 22, 2021","Feb 22, 2021"
VOLVO CAR AB MTN RegS,Consumer Cyclical,Fixed Income,"119,269.74",0.18,"119,269.74","100,000.00",-,XS1971935223,BJXMXV7,117.46,Sweden,-,USD,1.97,0.65,0.88,"Apr 02, 2024",2.13,2.18,-,0.47,1.95,0.47,EUR,"Apr 02, 2019","Apr 02, 2019"
SPIE SA RegS,Capital Goods,Fixed Income,"119,268.91",0.18,"119,268.91","100,000.00",-,FR0013426376,BKC9PQ5,117.67,France,-,USD,3.92,1.81,0.88,"Jun 18, 2026",2.63,4.14,-,1.71,3.71,1.71,EUR,"Jun 18, 2019","Jun 18, 2019"
SIG COMBIBLOC PURCHASECO SARL RegS,Basic Industry,Fixed Income,"119,207.49",0.18,"119,207.49","100,000.00",-,XS2189594315,-,119.21,Luxembourg,-,USD,3.16,0.71,0.88,"Jun 18, 2025",2.13,3.35,-,0.61,3.12,0.61,EUR,"Jun 18, 2020","Jun 18, 2020"
NOKIA OYJ MTN RegS,Technology,Fixed Income,"119,139.40",0.18,"119,139.40","100,000.00",-,XS1577731604,BF0D8M1,117.33,Finland,-,USD,1.92,0.55,0.88,"Mar 15, 2024",2.0,2.13,-,0.37,1.91,0.37,EUR,"Mar 15, 2017","Mar 15, 2017"
HANESBRANDS FINANCE LUXEMBOURG SCA RegS,Consumer Cyclical,Fixed Income,"119,131.94",0.18,"119,131.94","100,000.00",-,XS1419661118,BZ01X97,118.97,United States,-,USD,2.15,1.58,0.88,"Jun 15, 2024",3.5,2.36,-,1.37,2.13,1.37,EUR,"Jun 03, 2016","Jun 03, 2016"
GARFUNKELUX HOLDCO 3 SA RegS,Financial Other,Fixed Income,"119,099.35",0.17,"119,099.35","100,000.00",-,XS2250153769,BLN9TD6,117.84,Luxembourg,-,USD,0.86,5.69,0.88,"Nov 01, 2025",6.75,3.32,-,4.30,0.8,4.30,EUR,"Nov 04, 2020","Nov 04, 2020"
BANCA POPOLARE DI SONDRIO SCPA MTN RegS,Banking,Fixed Income,"119,068.94",0.17,"119,068.94","100,000.00",-,XS1975757789,BJ5X6H5,117.06,Italy,-,USD,2.2,1.05,0.88,"Apr 03, 2024",2.38,2.16,-,1.05,2.16,1.05,EUR,"Apr 03, 2019","Apr 03, 2019"
INTESA SANPAOLO SPA MTN RegS,Banking,Fixed Income,"119,064.67",0.17,"119,064.67","100,000.00",-,XS2243298069,-,118.35,Italy,-,USD,7.86,2.40,0.88,"Oct 14, 2030",2.92,7.67,-,2.40,7.67,2.40,EUR,"Oct 14, 2020","Oct 14, 2020"
DOMETIC GROUP AB (PUBL) MTN RegS,Consumer Non-Cyclical,Fixed Income,"119,040.27",0.17,"119,040.27","100,000.00",-,XS1878856803,BFY0F83,118.02,Sweden,-,USD,1.6,0.75,0.88,"Sep 13, 2023",3.0,1.66,-,0.63,1.59,0.63,EUR,"Sep 13, 2018","Sep 13, 2018"
ROSSINI SARL RegS,Consumer Non-Cyclical,Fixed Income,"118,958.23",0.17,"118,958.23","100,000.00",-,XS1881594946,BGLSMW0,117.68,Italy,-,USD,0.88,5.74,0.88,"Oct 30, 2025",6.75,3.32,-,4.51,0.8,4.51,EUR,"Oct 26, 2018","Oct 26, 2018"
GBP CASH,Cash and/or Derivatives,Cash,"118,879.85",0.17,"118,879.85","87,770.00",-,-,-,135.44,United Kingdom,-,USD,0.0,0.19,0.74,-,0.0,0.0,-,0.19,0.0,0.19,GBP,-,"Jan 01, 1989"
BERTELSMANN SE & CO KGAA RegS,Communications,Fixed Income,"118,807.29",0.17,"118,807.29","100,000.00",-,XS1222591023,BWX61V6,116.45,Germany,-,USD,1.29,3.08,0.88,"Apr 23, 2075",3.0,0.88,-,1.14,1.27,1.14,EUR,"Apr 23, 2015","Apr 23, 2015"
UNICREDIT SPA MTN RegS,Banking,Fixed Income,"118,654.36",0.17,"118,654.36","100,000.00",-,XS1426039696,BDF1B50,113.72,Italy,-,USD,0.01,4.33,0.88,"Jan 03, 2027",4.38,0.0,-,4.19,0.0,4.19,EUR,"Jun 03, 2016","Jun 03, 2016"
BANCO DE CREDITO SOCIAL COOPERATIV MTN RegS,Banking,Fixed Income,"118,555.60",0.17,"118,555.60","100,000.00",-,XS2332590632,-,118.0,Spain,-,USD,4.04,4.84,0.88,"Nov 27, 2031",5.25,4.28,-,4.29,3.95,4.29,EUR,"May 27, 2021","May 27, 2021"
FORD MOTOR CREDIT COMPANY LLC,Consumer Cyclical,Fixed Income,"118,530.14",0.17,"118,530.14","100,000.00",-,XS2052337503,BL4KJT4,118.27,United States,-,USD,3.78,1.27,0.88,"Nov 25, 2025",2.33,3.72,-,1.27,3.72,1.27,EUR,"Nov 25, 2019","Nov 25, 2019"
AUTOSTRADE PER LITALIA SPA MTN RegS,Transportation,Fixed Income,"118,499.23",0.17,"118,499.23","100,000.00",-,XS1528093799,BDJ0K56,116.68,Italy,-,USD,4.85,1.22,0.88,"Feb 01, 2027",1.75,4.78,-,1.22,4.78,1.22,EUR,"Dec 01, 2016","Dec 01, 2016"
K&S AG RegS,Basic Industry,Fixed Income,"118,348.70",0.17,"118,348.70","100,000.00",-,XS1591416679,BYQCJG6,116.15,Germany,-,USD,1.0,1.06,0.88,"Apr 06, 2023",2.63,1.22,-,0.68,1.0,0.68,EUR,"Apr 06, 2017","Apr 06, 2017"
ZF FINANCE GMBH MTN RegS,Consumer Cyclical,Fixed Income,"118,321.09",0.17,"118,321.09","100,000.00",-,XS2262961076,-,116.44,Germany,-,USD,4.92,2.27,0.88,"May 25, 2027",2.75,4.9,-,2.25,4.71,2.25,EUR,"Nov 25, 2020","Nov 25, 2020"
SCIENTIFIC GAMES INTERNATIONAL INC RegS,Consumer Cyclical,Fixed Income,"118,268.80",0.17,"118,268.80","100,000.00",-,XS1766775891,BG12YF9,115.92,United States,-,USD,2.19,4.93,0.88,"Feb 15, 2026",5.5,3.59,-,4.46,1.95,4.46,EUR,"Feb 14, 2018","Feb 14, 2018"
ATLANTIA SPA RegS,Transportation,Fixed Income,"118,269.19",0.17,"118,269.19","100,000.00",-,XS2301390089,-,116.39,Italy,-,USD,5.67,1.47,0.88,"Feb 12, 2028",1.88,5.67,-,1.45,5.45,1.45,EUR,"Feb 12, 2021","Feb 12, 2021"
PLT VII FINANCE SARL RegS,Communications,Fixed Income,"118,215.68",0.17,"118,215.68","100,000.00",-,XS2200172653,-,115.81,Luxembourg,-,USD,2.62,4.13,0.88,"Jan 05, 2026",4.63,3.56,-,3.86,2.33,3.86,EUR,"Jul 16, 2020","Jul 16, 2020"
SCHAEFFLER AG MTN RegS,Consumer Cyclical,Fixed Income,"118,191.92",0.17,"118,191.92","100,000.00",-,DE000A2YB7A7,BJVP3C9,116.56,Germany,-,USD,1.96,0.74,0.88,"Mar 26, 2024",1.88,2.16,-,0.60,1.94,0.60,EUR,"Mar 26, 2019","Mar 26, 2019"
BANCO BPM SPA MTN RegS,Banking,Fixed Income,"118,144.23",0.17,"118,144.23","100,000.00",-,XS2271367315,-,114.28,Italy,-,USD,3.73,3.48,0.88,"Jan 14, 2031",3.25,3.6,-,3.12,3.67,3.12,EUR,"Dec 14, 2020","Dec 14, 2020"
TELENET FINANCE LUXEMBOURG NOTES S RegS,Communications,Fixed Income,"118,064.94",0.17,"118,064.94","100,000.00",-,BE6300371273,BFF9MD3,116.24,Belgium,-,USD,2.53,3.10,0.88,"Mar 01, 2028",3.5,5.44,-,2.75,1.82,2.75,EUR,"Dec 13, 2017","Dec 13, 2017"
AVIS BUDGET FINANCE PLC RegS,Transportation,Fixed Income,"117,991.76",0.17,"117,991.76","100,000.00",-,XS1889107931,BD2PFV9,115.74,United States,-,USD,1.77,4.30,0.88,"Jan 30, 2026",4.75,3.61,-,3.76,1.64,3.76,EUR,"Oct 04, 2018","Oct 04, 2018"
PUBLIC POWER CORPORATION SA RegS,Owned No Guarantee,Fixed Income,"117,939.49",0.17,"117,939.49","100,000.00",-,XS2314265237,-,116.84,Greece,-,USD,2.44,3.17,0.88,"Mar 30, 2026",3.88,3.87,-,2.97,3.02,2.97,EUR,"Mar 18, 2021","Mar 18, 2021"
ZF EUROPE FINANCE BV RegS,Consumer Cyclical,Fixed Income,"117,926.64",0.17,"117,926.64","100,000.00",-,XS2010039894,-,117.28,Germany,-,USD,6.98,2.55,0.88,"Oct 23, 2029",3.0,6.88,-,2.54,6.69,2.54,EUR,"Oct 23, 2019","Oct 23, 2019"
JAGUAR LAND ROVER AUTOMOTIVE PLC RegS,Consumer Cyclical,Fixed Income,"117,911.73",0.17,"117,911.73","100,000.00",-,XS2364593579,-,115.55,United Kingdom,-,USD,4.76,4.24,0.88,"Jul 15, 2028",4.5,5.52,-,4.13,4.0,4.13,EUR,"Jul 14, 2021","Jul 14, 2021"
AUTOSTRADE PER LITALIA SPA MTN RegS,Transportation,Fixed Income,"117,898.31",0.17,"117,898.31","100,000.00",-,XS1327504087,BYVX7Q0,116.87,Italy,-,USD,4.33,1.11,0.88,"Jun 26, 2026",1.75,4.27,-,1.11,4.27,1.11,EUR,"Nov 30, 2015","Nov 30, 2015"
UPCB FINANCE VII LIMITED RegS,Communications,Fixed Income,"117,784.11",0.17,"117,784.11","100,000.00",-,XS1634252628,BD5F4G4,115.9,Cayman Islands,-,USD,2.48,3.35,0.88,"Jun 15, 2029",3.63,6.4,-,2.95,1.39,2.95,EUR,"Jun 21, 2017","Jun 21, 2017"
VERISURE HOLDING AB RegS,Consumer Cyclical,Fixed Income,"117,675.23",0.17,"117,675.23","100,000.00",-,XS2204842384,-,115.66,Sweden,-,USD,2.67,3.52,0.88,"Jul 15, 2026",3.88,4.07,-,3.24,2.37,3.24,EUR,"Jul 20, 2020","Jul 20, 2020"
BANCO DE SABADELL SA MTN RegS,Banking,Fixed Income,"117,659.09",0.17,"117,659.09","100,000.00",-,XS1991397545,BJGV6M3,116.38,Spain,-,USD,2.31,0.75,0.88,"May 10, 2024",1.75,2.29,-,0.75,2.29,0.75,EUR,"May 10, 2019","May 10, 2019"
TELECOM ITALIA SPA MTN RegS,Communications,Fixed Income,"117,575.72",0.17,"117,575.72","100,000.00",-,XS1551678409,BDR5CQ8,116.29,Italy,-,USD,1.53,1.02,0.88,"Jul 19, 2023",2.5,1.51,-,1.02,1.51,1.02,EUR,"Jan 19, 2017","Jan 19, 2017"
TEREOS FINANCE GROUPE I SA RegS,Consumer Non-Cyclical,Fixed Income,"117,561.09",0.17,"117,561.09","100,000.00",-,FR0013183571,BD4GC19,115.02,France,-,USD,1.18,3.29,0.88,"Jun 16, 2023",4.13,1.37,-,3.10,1.15,3.10,EUR,"Jun 16, 2016","Jun 16, 2016"
QUATRIM SAS RegS,Consumer Non-Cyclical,Fixed Income,"117,504.27",0.17,"117,504.27","100,000.00",-,XS2010039118,BG0WPN5,116.67,France,-,USD,1.4,4.59,0.88,"Jan 15, 2024",5.88,1.9,-,4.47,1.75,4.47,EUR,"Nov 20, 2019","Nov 20, 2019"
NOVELIS SHEET INGOT GMBH RegS,Basic Industry,Fixed Income,"117,504.74",0.17,"117,504.74","100,000.00",-,XS2326493728,-,116.71,United States,-,USD,4.41,2.99,0.88,"Apr 15, 2029",3.38,6.4,-,2.74,3.96,2.74,EUR,"Mar 31, 2021","Mar 31, 2021"
ALPHA BANK SA RegS,Banking,Fixed Income,"117,415.14",0.17,"117,415.14","100,000.00",-,XS2307437629,-,113.94,Greece,-,USD,3.76,5.63,0.88,"Jun 11, 2031",5.5,3.78,-,5.43,3.66,5.43,EUR,"Mar 11, 2021","Mar 11, 2021"
UPC HOLDING BV RegS,Communications,Fixed Income,"117,386.47",0.17,"117,386.47","100,000.00",-,XS1629969327,BYVMY33,115.73,Netherlands,-,USD,3.0,3.65,0.88,"Jun 15, 2029",3.88,6.35,-,3.38,1.39,3.38,EUR,"Jun 21, 2017","Jun 21, 2017"
VERALLIA SAS RegS,Capital Goods,Fixed Income,"117,347.64",0.17,"117,347.64","100,000.00",-,FR0014003G27,-,116.18,France,-,USD,5.97,1.27,0.88,"May 14, 2028",1.63,5.97,-,1.25,5.76,1.25,EUR,"May 14, 2021","May 14, 2021"
UNITED GROUP BV RegS,Communications,Fixed Income,"117,291.03",0.17,"117,291.03","100,000.00",-,XS1647815775,BD41TL3,114.75,Netherlands,-,USD,0.49,4.56,0.88,"Jul 01, 2024",4.88,2.28,-,3.22,0.48,3.22,EUR,"Jul 27, 2017","Jul 27, 2017"
ELIS SA MTN RegS,Consumer Cyclical,Fixed Income,"117,247.44",0.17,"117,247.44","100,000.00",-,FR0013413556,BJQS9F8,115.81,France,-,USD,2.03,0.93,0.88,"Apr 11, 2024",1.75,2.21,-,0.83,1.98,0.83,EUR,"Apr 11, 2019","Apr 11, 2019"
CONTOURGLOBAL POWER HOLDINGS SA RegS,Electric,Fixed Income,"117,215.52",0.17,"117,215.52","100,000.00",-,XS1859543073,BFY8RZ8,115.27,Spain,-,USD,1.5,3.71,0.88,"Aug 01, 2025",4.13,3.26,-,3.23,1.5,3.23,EUR,"Jul 26, 2018","Jul 26, 2018"
SAIPEM FINANCE INTERNATIONAL BV MTN RegS,Energy,Fixed Income,"117,180.49",0.17,"117,180.49","100,000.00",-,XS1711584430,BDBRBR4,114.25,Italy,-,USD,2.88,2.46,0.88,"Jan 07, 2025",2.63,2.8,-,2.46,2.8,2.46,EUR,"Nov 07, 2017","Nov 07, 2017"
EL CORTE INGLES SA RegS,Consumer Cyclical,Fixed Income,"117,127.27",0.17,"117,127.27","100,000.00",-,XS2239813301,BMCLTV8,116.27,Spain,-,USD,0.2,1.53,0.88,"Mar 15, 2024",3.63,0.21,-,1.53,0.21,1.53,EUR,"Oct 13, 2020","Oct 13, 2020"
ATLANTIA SPA MTN RegS,Transportation,Fixed Income,"117,083.99",0.17,"117,083.99","100,000.00",-,XS1558491855,BYQFSP7,115.41,Italy,-,USD,3.01,1.13,0.88,"Feb 03, 2025",1.63,2.97,-,1.13,2.97,1.13,EUR,"Feb 03, 2017","Feb 03, 2017"
LEVI STRAUSS & CO,Consumer Cyclical,Fixed Income,"117,067.21",0.17,"117,067.21","100,000.00",-,XS1602130947,BYW5YJ7,115.95,United States,-,USD,0.38,2.97,0.88,"Mar 15, 2027",3.38,4.71,-,2.01,0.21,2.01,EUR,"Feb 28, 2017","Jun 08, 2017"
SPECTRUM BRANDS INC RegS,Consumer Non-Cyclical,Fixed Income,"117,005.23",0.17,"117,005.23","100,000.00",-,XS1493296500,BDGJP51,115.87,United States,-,USD,1.6,3.57,0.88,"Oct 01, 2026",4.0,4.26,-,3.22,0.73,3.22,EUR,"Sep 20, 2016","Sep 20, 2016"
BPER BANCA SPA MTN RegS,Banking,Fixed Income,"116,941.68",0.17,"116,941.68","100,000.00",-,XS2190502323,-,115.91,Italy,-,USD,3.42,1.31,0.88,"Jul 07, 2025",1.88,3.36,-,1.31,3.36,1.31,EUR,"Jun 17, 2020","Jun 17, 2020"
PINNACLE BIDCO PLC RegS,Consumer Cyclical,Fixed Income,"116,821.71",0.17,"116,821.71","100,000.00",-,XS2251627514,-,116.04,United Kingdom,-,USD,1.98,4.79,0.88,"Feb 15, 2025",5.5,2.83,-,4.44,1.9,4.44,EUR,"Nov 17, 2020","Nov 17, 2020"
PRIMO WATER HOLDINGS INC RegS,Consumer Non-Cyclical,Fixed Income,"116,767.79",0.17,"116,767.79","100,000.00",-,XS2241804462,-,116.03,United States,-,USD,4.24,3.54,0.88,"Oct 31, 2028",3.88,5.94,-,3.30,3.52,3.30,EUR,"Oct 22, 2020","Oct 22, 2020"
SOFTBANK GROUP CORP RegS,Communications,Fixed Income,"116,765.17",0.17,"116,765.17","100,000.00",-,XS1811213781,BFM5L26,115.88,Japan,-,USD,1.04,2.51,0.88,"Apr 20, 2023",4.0,1.26,-,2.17,1.03,2.17,EUR,"Apr 20, 2018","Apr 20, 2018"
FASTIGHETS AB BALDER RegS,Financial Other,Fixed Income,"116,679.62",0.17,"116,679.62","100,000.00",-,XS1677911825,BF0LKC9,113.89,Sweden,-,USD,1.16,3.41,0.88,"Mar 07, 2078",3.0,0.73,-,2.90,1.14,2.90,EUR,"Sep 07, 2017","Sep 07, 2017"
TRIVIUM PACKAGING FINANCE BV RegS,Capital Goods,Fixed Income,"116,675.30",0.17,"116,675.30","100,000.00",-,XS2034068432,BK598Z2,115.08,Netherlands,-,USD,3.14,3.54,0.88,"Aug 15, 2026",3.75,4.16,-,3.37,2.45,3.37,EUR,"Aug 02, 2019","Aug 02, 2019"
COTY INC RegS,Consumer Non-Cyclical,Fixed Income,"116,672.14",0.17,"116,672.14","100,000.00",-,XS2354326410,-,115.75,United States,-,USD,3.15,3.41,0.88,"Apr 15, 2026",3.88,3.9,-,3.28,3.05,3.28,EUR,"Jun 16, 2021","Jun 16, 2021"
PAPREC HOLDING SA RegS,Capital Goods,Fixed Income,"116,666.74",0.17,"116,666.74","100,000.00",-,XS1794209459,BD3MYZ6,115.16,France,-,USD,0.43,3.60,0.88,"Mar 31, 2025",4.0,2.99,-,2.79,0.25,2.79,EUR,"Mar 29, 2018","Mar 29, 2018"
ASHLAND SERVICES BV RegS,Basic Industry,Fixed Income,"116,580.77",0.17,"116,580.77","100,000.00",-,XS2103218538,-,115.63,United States,-,USD,5.64,1.71,0.88,"Jan 30, 2028",2.0,5.67,-,1.70,5.45,1.70,EUR,"Jan 23, 2020","Jan 23, 2020"
CROWN EUROPEAN HOLDINGS SA RegS,Capital Goods,Fixed Income,"116,560.76",0.17,"116,560.76","100,000.00",-,XS1758716085,BZ1CRJ7,115.5,United States,-,USD,0.83,0.80,0.88,"Feb 01, 2023",2.25,1.07,-,0.37,0.82,0.37,EUR,"Jan 26, 2018","Jan 26, 2018"
